;#covid19;watch;live;beshear;update;gov;kentucky;4;visit;kentuckians;#teamkentucky;andy;commonwealth;via;#togetherky;june;full;together;et;todays;fight;information;conference;news;state;ab;updated;states;louisville;health;governor;help;across;remember;tune;events;cases;#healthyatwork;thank;reopening;continue;locations;new;safe;protect;contact;county;economy;place;next;tomorrow;unemployment;call;tracing;thing;hold;@ltgovcoleman;2;ensure;care;spread;edt;take;social;schools;juneteenth;daily;following;confirmed;least;voting;step;people;change;case;monday;vote;efforts;equitable;answer;week;virus;request;recent;numbers;mask;appointments;commissions;taylors;still;boards;testing;listening;system;saturday;tested;freedom;equality;share;newly
#covid19;0;28;34;32;42;32;24;34;20;24;12;22;16;12;12;22;12;6;10;14;18;18;6;6;8;0;18;16;4;12;4;8;14;10;12;4;12;10;0;10;4;8;8;6;8;12;4;8;8;8;6;6;8;10;2;2;4;0;8;8;8;8;4;8;2;2;6;2;8;8;0;2;4;0;8;6;0;8;0;6;6;8;0;2;8;6;0;0;0;6;0;6;0;0;6;6;2;0;2;6
watch;0;0;54;16;38;4;2;20;20;2;2;8;2;20;0;0;16;0;10;20;2;4;12;10;0;0;2;2;12;0;14;0;0;2;8;12;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;8;2;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
live;0;0;0;14;32;4;8;36;2;0;4;6;4;24;4;10;0;2;16;10;0;4;10;10;0;0;0;0;10;0;10;0;2;2;12;10;0;2;0;0;0;0;2;0;0;0;0;0;6;8;6;2;0;0;0;10;4;0;0;0;0;10;4;6;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;6;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
beshear;0;0;0;0;8;48;16;16;4;20;0;32;2;12;0;10;4;0;12;2;14;2;16;16;2;0;18;12;12;2;14;0;0;2;0;12;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;2;0;2;0;0;0;0;0;2;0;6;2;8;0;0;0;0;2;4;0;8;0;0;0;0;0;6;0;0;6;6;2;0;6;0;0;0;6;0;2;0;0;6
update;0;0;0;0;0;10;10;28;20;0;4;2;4;12;4;14;20;2;10;18;0;10;4;2;0;0;0;0;2;0;2;0;0;2;12;2;2;2;0;4;0;0;4;0;0;0;0;0;6;8;8;4;0;0;0;0;6;0;0;0;0;8;4;4;4;2;4;0;0;2;0;0;0;0;2;4;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2
gov;0;0;0;0;0;0;16;12;4;20;0;26;2;4;0;10;4;0;6;2;16;2;10;8;2;0;18;12;2;2;0;0;2;2;0;2;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;2;0;6;2;8;0;0;0;0;2;4;0;8;0;0;0;0;0;2;2;0;6;6;2;0;6;0;0;0;6;0;2;0;0;6
kentucky;0;0;0;0;0;0;0;16;0;0;4;8;6;4;4;14;2;8;0;0;0;2;2;2;4;2;0;2;0;0;0;2;2;0;6;0;10;0;0;0;2;0;4;0;2;0;6;0;4;0;2;2;0;0;2;0;2;4;0;0;0;4;0;4;2;4;4;6;4;8;0;2;4;2;2;0;0;0;0;0;4;6;0;0;4;2;6;6;0;4;6;0;0;0;4;0;4;0;4;6
4;0;0;0;0;0;0;0;0;2;0;4;4;4;24;4;18;2;2;14;2;0;6;8;8;0;0;0;0;4;0;4;0;2;2;14;4;8;2;0;2;0;0;2;0;0;0;2;0;6;8;8;2;0;0;0;8;6;0;0;0;0;10;4;6;2;0;6;0;2;8;0;0;0;0;0;4;0;0;0;0;4;0;0;2;6;0;0;0;0;2;0;0;0;0;4;0;0;0;4;6
visit;0;0;0;0;0;0;0;0;0;2;6;2;8;0;0;4;20;0;0;8;2;10;4;2;2;0;2;2;0;4;2;4;4;2;2;0;0;6;0;4;4;6;6;2;0;2;0;4;0;2;2;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;0;4;0;0;0;0;0;0;0;0;4;0;2;0;6;0;0;0;0
kentuckians;0;0;0;0;0;0;0;0;0;0;0;16;6;0;6;0;0;2;2;2;16;2;2;2;2;0;18;14;0;4;0;2;0;4;0;0;0;0;2;0;4;0;0;2;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
