;covid19;update;arkansas;live;governor;hutchinson;provide;state;news;health;provides;conference;watch;holding;response;130pm;media;ar;arkansans;work;continue;great;public;thanks;may;care;thank;states;cases;people;announced;social;spread;testing;week;guidance;#askgovhutchinson;help;distancing;guidelines;school;businesses;students;support;service;new;grateful;emergency;weeks;next;address;federal;follow;working;number;governors;safe;@adhpio;national;business;home;workers;efforts;good;arkansass;discuss;across;year;outbreak;daily;hard;lives;masks;economic;protect;honor;honored;crisis;law;13;encourage;little;education;medical;month;leadership;23;33;experts;department;community;safety;order;local;million;enforcement;2020;important;radio;hope
covid19;0;304;58;174;168;168;160;34;132;48;144;132;128;126;108;114;96;14;18;20;14;6;28;2;4;20;10;10;24;6;26;14;28;14;10;6;4;12;12;10;8;12;2;12;12;14;16;12;10;4;12;4;6;10;16;16;6;18;6;12;14;8;4;0;16;14;6;6;24;16;6;4;4;6;8;0;4;12;0;12;6;6;2;12;2;4;6;2;0;12;8;10;8;2;2;0;0;6;6;2
update;0;0;6;170;168;170;160;2;126;4;138;128;126;126;94;116;100;0;0;6;2;0;4;0;2;0;0;4;2;2;6;2;2;0;0;2;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;4;2;0;0;0;0;4;0;0;0;0;0;0;2;0;10;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;2;0;0;4;2;0;0;2;0;0
arkansas;0;0;0;8;6;4;6;56;10;34;2;8;2;2;12;0;2;8;22;34;12;18;20;6;12;12;30;18;20;22;18;2;12;12;16;4;8;14;2;10;14;14;12;6;10;4;6;12;16;6;12;8;2;8;12;10;8;10;10;10;10;8;8;6;12;8;16;6;6;4;14;2;10;6;2;8;4;8;6;8;6;4;6;4;10;6;0;0;0;12;10;8;6;6;4;4;8;4;8;2
live;0;0;0;0;194;196;32;4;4;2;138;6;2;0;2;0;106;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;0;0;0;0
governor;0;0;0;0;0;192;30;8;4;0;138;4;2;0;2;0;100;0;0;2;0;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;0
hutchinson;0;0;0;0;0;0;32;4;4;0;138;4;2;0;2;0;102;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0
provide;0;0;0;0;0;0;0;2;128;6;0;126;126;126;88;114;32;2;2;4;4;2;4;0;2;2;0;2;2;2;2;2;0;2;0;0;0;2;2;0;2;2;2;4;2;4;4;2;2;0;2;0;0;2;4;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;0;0;36;2;0;2;0;6;0;0;20;14;12;22;14;14;16;2;12;16;10;10;10;8;4;10;10;18;24;16;18;2;6;10;4;6;10;8;6;8;10;8;12;16;22;20;6;6;6;8;4;6;12;4;8;4;0;6;4;16;10;8;2;6;2;8;8;4;14;4;4;2;4;2;2;8;2;2;4;6;0;18;2;4;4;6;6;6;2;4;4;6;16
news;0;0;0;0;0;0;0;0;0;0;0;136;128;130;88;114;0;8;2;4;0;10;0;0;2;0;2;4;2;4;4;4;0;2;0;0;0;0;4;4;2;4;0;2;4;6;0;0;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;14;0;8;2;2;0;0;2;0;2;0;2;0;0;0;6;0;0;0;2;0;0;2;4;0;0;0;0;0;0;4;2;8;0;0;0;2
health;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;24;20;14;32;6;50;22;8;34;6;4;8;4;12;4;10;10;16;32;16;16;4;14;4;6;2;12;6;4;6;24;2;14;0;18;26;12;4;8;6;8;8;8;0;18;10;0;8;4;2;0;4;4;8;4;8;4;10;0;0;18;0;2;4;2;0;12;4;4;4;4;24;16;4;12;8;2;4;0;0;4;0;16
