;people;president;great;trump;think;american;country;new;states;house;obama;united;government;health;administration;white;may;million;vote;coming;game;death;republican;best;party;military;announced;called;texas;workers;security;york;democrats;four;help;thank;secretary;care;decision;women;news;federal;across;play;department;able;congressman;voted;incredible;theresa;names;something;act;santa;says;donald;disgraced;gov;times;article;economy;approved;history;clinton;fraud;players;stronger;andrew;hard;democrat;thing;talking;minor;media;foreign;trying;state;world;hillary;series;penalty;families;song;work;2017;national;left;businesses;family;strong;working;decided;half;expected;win;nobody;imperial;syria;doctors;entire
people;0;6;6;4;2;0;4;2;4;4;0;2;4;2;0;4;2;4;4;0;0;0;4;0;2;0;0;4;4;2;0;0;2;0;0;2;0;2;4;2;0;0;2;0;0;2;0;2;2;2;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;2;2
president;0;0;6;8;0;2;2;2;4;2;4;4;0;4;2;2;0;0;0;0;0;2;4;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;2;0;0;6;2;6;2;2;6;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
trump;0;0;0;0;0;0;4;6;2;0;2;0;0;0;4;0;0;0;0;2;0;2;2;2;2;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
think;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;6;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;4;0;4;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;4;4;0;0;0;0
american;0;0;0;0;0;0;0;2;0;0;2;0;0;4;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;4;0;0;0;0;0;0;0;4;0;4;2;0;0;0;2;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;6;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;4;2;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;8;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;0;0;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
