;great;president;states;trump;new;united;democrats;state;administration;news;congress;house;country;york;people;working;police;media;america;american;obama;man;federal;think;times;amazing;letter;investigation;government;job;national;thing;deal;information;justice;possible;left;official;following;military;making;donald;democratic;criminal;department;@foxnews;stop;communications;school;nation;world;radical;act;fbi;help;senate;member;ways;important;year;amendment;republicans;decision;court;powerful;order;week;schools;provide;proud;pakistan;democrat;shooting;oil;opponent;white;accused;support;hard;special;law;forward;destroy;fired;source;set;woman;life;days;china;article;count;night;supreme;book;cant;worry;live;north;entire
great;0;8;4;4;2;4;4;0;4;2;0;2;4;2;4;2;0;2;6;4;6;0;0;0;2;2;0;0;2;2;2;0;0;2;0;2;2;0;0;4;0;2;2;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0
president;0;0;10;8;0;6;4;0;0;0;2;0;2;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;4;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;0;0;0
states;0;0;0;6;0;18;2;2;0;2;2;0;4;0;2;2;2;0;2;4;0;0;0;0;0;2;0;0;4;0;2;0;0;2;4;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0
trump;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;8;4;0;0;4;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;4;2;0;2;2;0;0;0
new;0;0;0;0;0;0;2;2;4;0;4;0;0;12;2;0;2;2;0;0;4;0;4;2;8;0;2;2;2;2;2;0;6;0;0;2;2;2;0;2;2;0;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0
united;0;0;0;0;0;0;2;2;0;2;2;0;4;0;2;2;2;0;2;4;0;0;0;0;0;2;0;0;4;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0
democrats;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;0;2;0;0;2;6;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;4;0;2;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2
administration;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;10;0;2;2;4;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
