;united;president;states;great;democrats;trump;federal;real;new;country;help;government;party;election;times;house;report;york;court;republican;former;china;may;economy;billion;people;world;thank;women;american;police;year;national;using;largest;article;best;money;sent;editorial;greatest;michael;senate;reserve;hillary;general;given;fbi;administration;state;clinton;j;win;remember;white;board;part;ohio;letter;trumps;end;lost;believe;anyone;bill;dems;could;bernie;history;reports;rico;land;obama;thing;shooting;working;friends;grow;sex;preparing;cost;announced;investigation;assessment;happy;monday;health;week;killed;releasing;guy;office;science;technology;wonderful;recover;supreme;simpson;james;donald
united;0;4;22;6;0;2;0;0;0;10;4;4;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;2;4;4;2;0;0;2;0;2;2;2;4;0;2;2;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;2
president;0;0;4;6;0;8;0;0;2;2;0;0;0;0;2;6;0;2;0;0;4;0;0;2;0;2;0;6;2;2;2;0;4;0;0;0;0;0;0;0;2;2;4;0;0;2;0;4;0;0;0;0;0;0;4;0;0;0;0;4;2;0;2;2;2;2;2;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;4;2;0;2;0;0;2;2;0;0;2;0;0;0;2;0
states;0;0;0;4;0;2;0;0;0;6;2;2;2;2;0;0;2;0;0;2;0;0;0;0;2;6;0;2;4;4;2;0;0;2;0;2;2;2;4;0;2;2;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;2
great;0;0;0;0;4;4;0;2;2;4;2;2;2;4;0;6;0;2;0;0;0;0;0;2;0;2;0;2;2;2;4;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2
democrats;0;0;0;0;0;0;0;0;0;2;0;0;6;2;0;2;0;0;0;6;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0
trump;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;0;0;2;4;0;4;0;0;0;0;2;2;0;0;0;8;0;0;0;0;0;0;0;2;0;2;0;2;2;0;6;2;0;2;6;0;0;2;0;2;0;0;0;4;0;2;2;2;4;2;0;0;2;0;0;0;0;2;2;0;0;2;0;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;6
federal;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;4;0;0;0;0;4;2;0;0;2;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
real;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;10;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;2;0;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
