;texas;#covid19;state;texans;health;lone;star;continue;communities;care;help;provide;spread;testing;local;new;@texasdshs;together;#txlege;response;honor;public;businesses;work;across;covid19;human;@texashhsc;services;resources;@tdem;combat;support;may;trafficking;tx;safety;workforce;#texasbizstrong;executive;emergency;social;business;certain;economy;safe;county;survivors;jobs;protect;information;continues;@texasflca;essential;medical;serve;workers;federal;service;@gsf_opentexas;community;force;additional;protocols;home;governors;million;funding;ensure;national;phase;texan;announcing;women;issued;hospital;child;officials;respond;working;great;music;year;leaders;2020;food;states;disaster;action;capacity;job;safely;order;family;throughout;expand;military;part;providing;stay
texas;0;74;90;54;32;36;36;32;38;20;28;32;22;12;20;22;16;20;34;14;20;14;28;18;20;20;16;10;12;18;14;18;16;10;12;2;8;20;16;10;14;4;20;8;20;12;10;12;24;12;10;18;10;10;10;8;10;8;10;12;14;14;8;4;6;16;16;8;10;10;4;4;12;8;12;12;4;10;16;10;6;10;10;14;10;8;14;10;10;10;6;10;10;12;12;12;12;12;10;2
#covid19;0;0;36;70;46;14;14;20;10;24;26;36;32;30;20;14;34;12;0;30;2;20;16;16;6;4;2;26;12;12;18;14;18;8;0;8;12;4;10;6;10;12;4;8;6;10;6;2;0;12;6;12;2;8;14;8;10;12;2;8;8;4;10;12;8;4;8;10;8;2;8;6;6;2;10;8;4;6;16;14;0;0;2;8;2;8;2;2;4;8;6;12;2;4;10;8;2;8;8;4
state;0;0;0;22;20;56;56;18;12;14;4;10;10;4;18;16;8;10;20;6;8;8;4;10;22;8;2;8;6;12;16;8;4;6;2;2;8;10;0;2;4;6;8;2;6;8;8;0;14;6;4;12;2;4;4;6;4;2;2;0;4;4;10;0;2;12;2;6;6;4;0;6;0;4;6;10;2;12;8;10;6;4;8;10;2;4;6;8;6;10;0;2;0;0;4;4;6;2;6;2
texans;0;0;0;0;30;2;2;26;6;14;26;22;20;6;14;4;14;20;4;22;2;8;14;12;6;10;2;10;10;14;8;6;14;2;0;8;10;4;8;6;6;12;2;10;6;8;0;2;2;10;4;10;6;8;6;6;12;6;6;8;4;2;6;10;12;4;2;2;16;0;0;4;2;0;4;2;4;6;12;4;0;0;2;0;0;6;0;2;4;6;8;2;2;2;4;2;2;4;6;10
health;0;0;0;0;0;4;4;10;6;18;8;12;22;14;8;8;18;10;0;12;2;18;2;12;2;6;2;8;8;4;4;6;0;8;0;4;14;2;2;0;8;4;0;8;2;0;2;0;2;12;0;4;2;4;0;4;10;4;0;6;2;0;8;14;0;6;2;2;6;0;4;2;2;2;6;4;2;6;4;4;0;0;0;4;0;6;0;2;2;4;0;4;0;4;8;2;2;2;2;2
lone;0;0;0;0;0;0;64;2;8;2;0;2;2;2;4;8;0;4;8;2;2;2;6;2;14;2;2;0;0;4;2;6;2;4;2;0;4;6;0;0;0;2;6;0;2;6;2;2;6;2;4;6;2;0;2;2;2;0;0;0;2;0;0;0;0;4;0;2;0;2;0;4;0;2;2;2;0;2;0;6;0;4;4;6;2;0;8;4;4;2;2;2;0;0;4;2;2;2;0;0
star;0;0;0;0;0;0;0;2;8;2;0;2;2;2;4;8;0;4;8;2;2;2;6;2;14;2;2;0;0;4;2;6;2;4;2;0;4;6;0;0;0;2;6;0;2;6;2;2;6;2;4;6;2;0;2;2;2;0;0;0;2;0;0;0;0;4;0;2;0;2;0;4;0;2;2;2;0;2;0;6;0;4;4;6;2;0;8;4;4;2;2;2;0;0;4;2;2;2;0;0
continue;0;0;0;0;0;0;0;0;4;2;6;4;16;4;4;4;8;10;4;6;2;4;6;10;4;12;2;2;4;0;2;2;4;2;0;2;0;2;0;0;0;4;2;4;4;6;2;2;2;8;0;2;0;4;0;0;2;2;0;2;4;0;2;4;0;2;0;2;6;0;0;0;2;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;4;0
communities;0;0;0;0;0;0;0;0;0;2;10;4;2;6;6;4;2;10;6;2;6;4;0;6;10;4;6;0;0;4;6;2;8;0;6;0;4;0;0;0;2;0;0;0;0;10;6;4;10;10;0;0;2;4;0;4;2;2;2;0;2;0;0;0;0;4;6;2;2;2;0;0;8;4;2;0;2;4;4;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;4;0;6;2;0;0
care;0;0;0;0;0;0;0;0;0;0;4;6;0;2;4;2;0;0;0;10;2;0;0;4;2;6;0;8;4;2;0;2;4;0;0;2;2;2;0;0;6;0;0;8;0;2;2;0;0;0;0;6;2;8;2;6;14;0;2;0;0;0;6;0;0;2;0;0;8;0;0;0;2;0;2;6;10;0;6;4;0;0;0;0;0;2;0;2;0;8;0;0;0;0;4;4;2;0;2;0
