;#covid19;live;#akgov;outbreak;watch;update;health;alaskans;officials;public;alaskas;#flattenthecurve;@alaska_dhss;alaska;state;covid19;ak;giving;joined;local;help;spread;slow;protect;facebook;information;businesses;together;approximately;town;tonight;providing;learn;hall;response;stay;virus;stabilize;partners;dr;thank;top;weekend;sector;crum;commissioner;hands;5pm;plan;cases;new;meetings;@who;communities;travel;ways;economy;continue;whether;care;may;@sendansullivan;service;team;world;good;week;hosting;jber;encouraged;measures;give;@lisamurkowski;latest;@repdonyoung;yesterday;12;anne;away;adam;community;private;scheduled;page;pandemic;provide;another;announcing;tips;zink;impacted;isnt;earthquakes;goods;patients;prosperity;proactive;news;without;crowds
#covid19;0;30;32;30;30;30;28;20;28;24;22;22;18;14;12;4;12;16;14;4;6;8;8;8;6;0;4;6;8;2;8;8;6;2;4;2;4;4;2;6;4;6;4;4;4;4;0;4;0;2;2;0;2;2;2;4;2;2;2;4;2;4;4;4;2;0;0;2;2;4;4;4;4;0;4;4;0;4;0;4;2;4;2;4;0;2;4;4;2;4;4;0;0;2;0;0;0;2;2;0
live;0;0;28;26;32;30;24;4;26;24;22;20;14;10;6;4;6;16;12;0;2;0;0;4;6;2;2;0;8;2;8;8;0;2;2;0;4;4;0;6;2;4;0;0;4;4;0;4;2;0;2;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;2;2;0;2;4;4;0;4;0;0;4;0;4;2;0;0;4;2;0;2;4;0;4;2;0;0;0;0;0;0;0;0;0
#akgov;0;0;0;24;28;26;24;6;22;22;20;22;14;8;4;4;10;16;12;0;4;0;0;4;2;2;2;0;8;0;8;6;0;0;2;0;4;4;0;4;0;2;2;0;2;2;0;4;2;0;2;0;0;2;2;4;4;0;0;2;2;4;0;2;2;0;0;0;0;0;4;4;4;0;4;2;0;2;0;2;0;0;0;2;2;0;2;4;0;2;4;0;0;0;0;0;0;0;0;0
outbreak;0;0;0;0;26;24;22;6;22;20;20;16;14;8;6;8;6;12;12;2;6;2;2;4;6;2;2;0;8;2;8;6;2;2;2;2;4;6;0;6;2;4;4;0;4;4;0;4;2;2;2;0;0;0;2;2;4;0;0;4;0;2;2;4;0;0;0;2;2;2;4;4;2;0;2;0;0;4;0;4;2;0;0;4;2;0;0;4;0;4;2;0;0;0;0;0;2;0;0;0
watch;0;0;0;0;0;30;24;4;26;24;22;20;14;10;6;4;6;16;12;0;2;0;0;4;6;2;2;0;8;2;8;8;0;2;2;0;4;4;0;6;2;4;0;0;4;4;0;4;2;0;2;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;2;2;0;2;4;4;0;4;0;0;4;0;4;2;0;0;4;2;0;2;4;0;4;2;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;0;24;4;26;24;20;20;14;10;6;2;6;16;12;0;2;0;0;4;6;0;2;0;8;2;8;8;0;2;2;0;4;2;0;6;2;4;0;0;4;4;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;0;2;2;0;2;4;4;0;4;0;0;4;0;4;2;0;0;4;0;0;2;4;0;4;2;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;6;24;26;18;16;12;8;8;2;10;14;12;0;4;0;0;6;4;0;2;0;6;0;6;6;2;0;0;0;4;2;0;2;0;6;2;0;2;2;0;4;0;0;2;0;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;4;4;4;0;4;2;0;2;0;2;0;0;0;4;0;0;4;4;0;2;2;0;0;0;0;0;2;0;0;0
alaskans;0;0;0;0;0;0;0;0;6;4;4;4;6;4;6;2;6;2;2;4;4;6;6;8;0;2;2;8;2;0;0;2;6;0;0;2;4;0;2;0;4;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;0;2;2;0;2;2;2;4;4;0;2;0;2;2;2;0;0;2;2;0
officials;0;0;0;0;0;0;0;0;0;24;18;16;12;10;6;0;6;14;10;2;2;0;0;4;6;0;2;0;6;2;6;6;0;2;0;2;4;2;0;2;2;4;0;0;2;2;0;4;0;2;2;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;2;2;2;2;4;4;0;4;0;0;2;0;2;2;0;0;4;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;18;16;10;8;6;2;6;14;10;2;4;0;0;4;4;2;2;0;6;2;6;6;2;2;0;0;4;2;2;2;0;4;0;0;2;2;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;2;4;4;0;4;0;2;2;0;2;2;0;2;4;0;0;2;4;0;2;2;0;0;0;0;0;2;0;0;0
