;covid19;north;todays;ct;watch;press;briefing;state;330;dakota;testing;live;fargo;health;lives;grateful;work;citizens;join;#ndsmartrestart;protect;nd;continue;dakotas;care;emergency;begin;officers;service;public;spread;law;county;communities;@ndnationalguard;@nddoh;honor;cass;memorial;help;@potus;team;schools;safety;local;leaders;protecting;students;cases;fighting;able;national;west;gratitude;workers;slow;share;forward;together;support;update;capacity;enforcement;honored;dakotans;fortunate;responsibility;begins;federal;important;rate;brave;plans;sacrifice;#inthistogethernd;contact;protest;moving;joined;family;line;per;coronavirus;thank;welcome;continues;discuss;new;members;week;distance;looking;provide;tirelessly;ensure;guidelines;duty;livelihoods;capita;targeted
covid19;0;6;28;22;22;22;22;10;18;2;10;12;4;8;8;4;6;2;10;10;2;4;4;2;4;2;10;0;0;0;6;0;4;2;2;8;0;4;0;2;4;2;0;0;0;4;4;0;6;4;2;0;2;2;4;2;2;2;0;4;4;4;0;2;2;4;2;4;4;2;2;0;0;0;4;4;0;4;4;0;0;2;0;2;0;2;4;4;0;0;0;2;0;0;0;2;0;4;2;0
north;0;0;4;0;0;0;0;4;0;16;2;0;2;8;2;8;6;6;2;2;6;2;6;10;10;4;0;2;4;4;0;4;0;2;2;0;2;0;2;0;0;4;2;4;2;2;4;4;0;0;2;2;0;2;6;0;0;0;4;0;0;2;4;2;6;0;0;0;0;0;2;2;2;0;2;0;2;2;0;0;0;2;0;2;2;2;0;0;4;4;4;0;4;4;2;0;0;0;2;0
todays;0;0;0;20;22;22;22;2;18;0;2;12;4;2;0;0;0;0;6;0;0;0;0;2;2;0;10;0;4;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;2;0;0;0;2;0;4;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ct;0;0;0;0;22;16;16;4;18;0;2;14;4;0;0;0;0;0;8;2;0;0;0;0;0;0;8;0;0;0;0;0;2;0;2;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
watch;0;0;0;0;0;18;18;4;16;0;2;12;2;0;0;0;0;0;4;2;0;0;0;0;0;0;10;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
press;0;0;0;0;0;0;22;4;14;0;2;10;4;0;0;0;0;0;4;0;0;0;0;0;0;2;10;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
briefing;0;0;0;0;0;0;0;2;14;0;2;10;2;0;0;0;0;0;4;0;0;0;0;0;0;0;10;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;4;6;2;6;2;6;2;6;2;2;2;2;2;0;0;0;4;0;2;2;2;4;2;8;0;2;2;2;6;0;2;0;0;0;2;2;0;2;0;2;0;0;2;6;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0
330;0;0;0;0;0;0;0;0;0;0;2;12;2;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dakota;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;6;4;6;0;2;2;2;4;2;2;2;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;0;0;4;2;2;0;2;2;2;0;0;0;2;0
testing;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;0;0;4;2;4;2;0;0;0;0;0;0;0;4;0;2;2;0;4;0;2;0;0;0;0;2;0;0;2;0;2;4;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;2;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;4;2
live;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fargo;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;4;0;0;0;2;0;2;6;0;4;0;0;6;2;0;0;0;0;0;2;0;2;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
