;spoke;canadians;call;new;canada;help;work;people;together;iran;investigation;working;ottawa;earlier;world;family;life;nafta;across;national;conversation;morning;talk;year;safe;president;climate;meeting;forward;friends;support;details;afternoon;change;everyone;families;loved;celebrating;situation;victims;thorough;hope;tragic;flight;congratulations;talked;continue;focused;phone;condolences;thoughts;growing;country;tragedy;full;crash;plane;answers;lost;next;jobs;update;fight;affordable;making;great;live;developments;community;good;news;stand;communities;summary;iraq;cabinet;matter;looking;canadian;weeks;days;watch;stay;role;house;press;@harjitsajjan;thanks;ones;incident;talking;john;latest;happy;australia;theatre;mourning;remember;lives;mental_health
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;2;2;0;2;0;0;6;0;0;0;2;2;0;4;2;0;0;0;2;2;0;0;0;0;2;0;4;6;0;2;0;2;2;2;0;2;4;0;0;2;2;0;0;0;0;0;2;2;0;4;0;0;2;4;0;2;0;2;0;0;0;2;0;0;0;4;0;0;2;0;2;0;0;4;0;2;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;6;0;8;4;2;0;0;2;0;8;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;2;2;0;2;0;0;0;0;6;2;0;6;10;4;0;0;0;2;0;0;0;6;0;0;4;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0
nafta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;0;2;2;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;4;0;0;0;0;0;0;2;8;0;0;2;4;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;8;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6;2;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;4;0;8;0;2;0;0;0;0;2;0;0;8;0;0;0;0
conversation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;4;2;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;0;0;2;0;2;2;0;2;0;0;0;4;2;0;2;0;4;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;4;2;4;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;2;0;2;2;0;0;4;0;2;0;2;0;2;0
talk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;6;2;0;4;4;0;2;0;0;0;0;0;0;2;0;0;2;4;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;2;4;0;0;6;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;6;0;0;0;0;0;2
