;great;trump;president;people;united;states;new;house;government;news;state;white;federal;national;world;american;democrats;republican;party;obama;department;administration;washington;working;country;may;thank;help;election;history;big;york;campaign;donald;million;russia;military;police;man;court;fake;media;fbi;post;2016;job;investigating;bill;act;article;report;left;law;vote;city;senate;terrorist;released;presidential;security;former;senator;support;stop;economy;best;team;think;sunday;night;says;money;decision;year;americans;full;game;voted;making;iran;supreme;congress;greatest;2017;general;life;committee;win;told;source;set;free;work;bad;continue;thing;morning;hard;justice;story
great;0;22;22;38;18;18;16;14;8;12;22;14;6;8;12;20;12;10;8;4;4;6;4;12;14;2;16;6;6;8;10;2;2;8;8;4;8;6;6;4;4;2;2;0;2;20;2;4;6;2;4;2;4;6;6;4;4;2;0;2;0;10;8;0;4;2;0;4;0;6;2;4;4;8;6;8;2;4;4;2;4;4;4;2;4;10;0;8;0;0;2;0;14;2;2;2;2;10;4;2
trump;0;0;78;14;20;22;14;30;4;18;12;24;10;6;4;8;8;14;6;18;18;22;18;8;10;12;2;2;10;8;12;8;28;40;4;14;12;4;2;10;4;6;14;10;14;6;12;4;2;4;6;2;2;6;2;8;4;8;16;6;6;2;2;8;0;2;2;4;4;4;2;4;6;2;2;2;0;6;6;6;6;6;6;8;12;2;12;4;4;2;2;0;2;6;2;0;4;4;16;0
president;0;0;0;26;28;26;12;30;6;4;18;32;6;6;6;14;8;2;6;22;12;12;12;8;8;10;0;4;12;8;8;2;6;14;6;8;8;0;6;6;0;6;14;12;10;4;6;0;2;2;2;4;2;0;2;6;8;2;10;4;2;0;2;0;0;0;2;2;0;0;4;2;6;2;2;4;0;6;6;4;2;10;8;6;8;4;4;4;4;0;6;2;4;10;4;6;0;2;8;0
people;0;0;0;0;14;10;20;12;8;10;14;10;6;12;12;24;2;8;6;8;2;8;4;18;8;6;4;8;6;14;2;6;0;4;6;6;0;2;0;2;4;8;2;2;2;6;0;0;4;0;2;2;8;2;8;6;6;4;0;2;0;6;6;4;0;4;2;8;2;2;2;6;2;0;6;0;0;6;6;0;2;2;6;4;0;8;4;4;6;2;2;2;4;2;4;2;0;10;2;2
united;0;0;0;0;0;124;12;4;14;6;8;4;8;8;8;8;2;2;2;4;2;10;4;0;10;4;2;2;4;4;4;4;2;6;4;4;10;0;2;12;4;6;2;2;0;2;4;4;6;2;6;2;6;4;2;4;12;2;2;4;2;0;8;8;0;0;2;2;0;4;4;2;6;4;0;0;0;6;4;4;10;4;2;4;4;2;0;4;2;2;6;4;2;0;8;0;0;0;2;4
states;0;0;0;0;0;0;10;4;20;8;8;4;14;8;8;6;0;4;2;4;2;8;2;0;8;4;0;4;2;4;4;4;6;10;6;4;8;0;2;8;4;4;2;2;0;2;4;4;4;0;4;0;6;4;2;2;10;0;4;6;2;2;4;6;0;0;2;2;0;4;4;2;6;4;0;0;0;6;4;4;8;4;2;4;6;0;0;4;2;2;6;4;0;0;8;0;0;0;2;4
new;0;0;0;0;0;0;0;6;6;12;10;8;2;10;6;6;2;6;2;6;4;8;6;2;2;8;4;2;0;0;2;48;0;2;6;2;2;2;2;4;4;2;4;8;2;2;2;0;0;2;10;2;0;2;10;0;2;6;2;2;6;0;2;4;4;2;2;2;6;4;2;8;2;8;2;2;8;0;0;2;0;2;10;2;2;4;4;6;4;4;6;6;0;2;2;2;2;0;0;0
house;0;0;0;0;0;0;0;0;2;12;8;60;4;0;4;6;6;8;6;6;8;0;2;6;6;4;6;6;12;2;0;2;4;6;2;4;0;2;0;0;8;6;2;4;6;2;6;12;2;6;2;2;2;6;0;6;0;4;6;2;6;4;0;0;0;2;6;0;4;2;2;2;2;0;4;2;0;6;0;2;0;2;2;4;8;2;8;6;2;2;4;0;6;0;0;2;2;6;4;2
government;0;0;0;0;0;0;0;0;0;4;2;2;28;4;4;4;4;0;0;4;2;4;4;2;4;2;2;12;0;2;2;4;2;0;8;0;2;0;0;6;0;2;2;4;0;4;2;6;4;2;2;2;2;2;2;4;6;0;2;4;2;0;4;6;6;2;0;4;0;0;2;4;0;0;2;4;0;2;0;6;2;2;0;2;2;4;0;0;2;0;0;0;2;0;2;4;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;2;18;2;2;4;8;6;6;2;0;4;0;4;6;2;4;4;4;2;8;2;6;0;4;2;0;0;0;2;0;24;8;0;2;0;2;2;2;2;2;0;4;0;2;0;4;0;0;0;0;2;0;0;4;0;6;2;4;4;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;2;4;0;2;6;0;0;0;4;0;4;6;2;0;0
