;oregonians;covid19;oregon;health;coronavirus;home;help;stay;distancing;social;new;safe;possible;state;spread;care;times;crisis;working;take;people;order;families;protect;work;businesses;public;action;access;thank;proud;unprecedented;learn;together;employees;taking;measures;lives;continue;workers;blood;healthy;difficult;save;climate;important;everyone;business;please;oregons;info;students;staying;community;executive;resources;homes;critical;rules;pandemic;anyone;response;still;@ohaoregon;hard;global;schools;school;change;available;#stayhomesavelives;team;reduce;donate;share;thanks;oregonian;professionals;clear;vote;following;easy;actions;follow;ways;learning;watch;put;thing;quickly;asked;agencies;step;providing;@dickhughes;urge;across;grocery;voter;urgent
oregonians;0;26;16;14;14;18;20;8;14;14;8;16;12;6;6;4;16;8;12;2;4;4;6;4;10;6;10;2;6;4;2;6;8;6;6;6;6;4;4;8;2;10;6;4;0;6;4;4;0;2;2;4;8;4;4;4;8;6;6;2;0;8;4;4;6;0;0;4;2;2;4;4;4;2;6;0;0;4;2;0;6;2;0;2;4;4;0;2;4;6;4;4;2;0;0;2;2;4;0;0
covid19;0;0;22;14;14;4;12;6;12;12;8;16;8;6;18;2;4;6;6;6;4;2;6;8;2;4;6;6;2;0;2;4;12;0;6;2;8;4;4;6;0;8;2;4;0;4;4;8;6;2;2;2;0;0;2;2;4;4;6;4;2;8;0;4;2;4;0;2;0;2;2;0;4;0;4;2;2;2;2;0;4;0;2;8;0;2;2;2;2;6;0;2;2;0;0;0;0;0;0;2
oregon;0;0;0;18;14;6;8;4;4;4;8;10;4;8;8;6;4;2;0;2;8;4;10;2;8;6;4;4;0;0;8;2;2;8;2;6;6;2;6;4;2;6;6;2;4;2;2;2;0;0;2;0;0;2;2;6;4;6;4;2;4;4;0;4;0;0;0;0;4;2;2;2;0;0;2;2;2;2;0;2;2;2;0;2;0;2;2;4;2;2;0;2;0;2;0;0;2;0;2;6
health;0;0;0;0;14;6;2;4;4;4;8;4;6;4;10;6;0;8;2;4;2;4;2;4;2;0;14;2;4;0;2;4;0;2;0;2;2;0;0;4;2;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;4;6;4;4;4;2;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;4;2;0;4;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;2;0;0;2
coronavirus;0;0;0;0;0;6;2;4;6;6;12;2;8;6;10;2;0;6;0;4;0;0;2;4;0;2;8;2;0;0;2;6;4;0;0;4;6;0;2;2;2;2;0;0;0;2;0;0;2;4;2;2;0;2;0;4;0;4;4;6;2;2;0;10;0;4;2;0;0;0;0;4;2;0;4;4;2;2;2;0;2;0;0;4;2;0;2;0;2;6;0;2;0;0;0;0;0;0;0;2
home;0;0;0;0;0;0;2;20;6;6;6;6;4;2;2;4;4;4;2;0;4;4;0;6;4;0;4;0;0;2;0;4;2;2;0;4;2;6;0;0;0;4;4;6;0;4;6;0;4;0;0;0;8;4;2;0;2;0;0;0;4;2;4;0;2;0;0;2;2;2;2;0;2;0;2;2;0;0;4;0;4;2;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0
help;0;0;0;0;0;0;0;2;6;6;0;10;0;2;2;4;10;4;4;0;8;2;4;2;0;2;4;0;0;2;4;2;4;4;4;0;0;2;2;0;6;4;0;2;0;2;2;4;0;0;0;2;2;0;2;0;2;4;6;2;2;2;0;0;4;0;0;2;0;0;2;2;4;4;2;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;6;6;4;0;8;2;2;2;0;2;4;0;4;2;2;2;0;2;2;0;0;2;0;2;0;2;0;0;2;2;0;0;0;4;2;2;0;4;4;0;4;0;4;0;0;2;0;0;2;0;0;2;4;0;2;0;0;0;0;0;2;0;2;0;2;0;4;0;0;0;2;0;4;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;30;4;4;0;0;8;0;0;2;0;2;2;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;12;4;0;2;4;4;0;4;0;0;4;2;2;4;0;4;2;0;2;0;0;4;2;0;0;0;0;0;2;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;6;0;0;2;0;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;4;4;0;0;8;0;0;2;0;2;2;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;12;4;0;2;4;4;0;4;0;0;4;2;2;4;0;4;2;0;2;0;0;4;2;0;0;0;0;0;2;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;6;0;0;2;0;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;2;0;0;0;6;0;6;0;2;0;0;4;4;0;0;2;2;6;0;0;2;6;4;0;2;0;0;0;4;2;0;0;2;2;0;0;0;2;0;4;2;0;0;2;2;0;0;4;4;0;0;0;0;4;0;0;2;0;2;2;0;0;2;2;0;0;0;0;4;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;4
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;2;2;4;0;2;0;0;4;2;2;0;0;0;2;0;2;2;0;2;4;2;4;10;0;2;0;4;0;0;0;0;0;2;2;0;4;2;0;4;0;0;0;8;2;0;2;0;0;2;0;2;4;0;0;4;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;8;2;2;4;0;0;0;2;4;2;2;2;0;0;2;4;0;2;0;0;0;4;0;0;4;0;0;0;0;0;2;0;6;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;6;0;0;2;2;0;0;0;0;4;2;0;2;0;0;8;2;6;2;0;2;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;2;4;0;2;0;0;2;4;0;2;4;2;4;0;0;2;0;2;2;0;0;0;0;2;2;4;0;2;2;2;2;2;0;2;4;2;0;2;0;0;2;2;0;6;0;0;2;2;2;0;0;2;2;0;2;0;0;2;2;0;0;0;0;2;2;0;2;2;2;2;2;8;2;2;0;0;2;0;0;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;2;0;6;2;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;2;0;2;2;2;2;2;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;2;2;4;0;0;0;2;2;4;2;0;6;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;2;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;4;2;0;0;0;0;2;4;2;2;4;6;4;0;0;2;0;2;0;0;4;2;0;2;0;4;0;0;0;2;2;2;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;6;0;0;6;2;0;6;4;8;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;4;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0
