;president;new;united;great;trump;states;national;house;news;love;people;media;man;american;article;government;election;real;good;russia;state;york;called;world;thank;big;washington;help;administration;2016;office;republican;report;country;created;take;white;donald;police;hero;following;old;bernie;obama;sanders;kind;coup;china;america;best;health;fake;presidential;campaign;times;clinton;team;vets;saturday;vegas;protest;iowa;share;south;crisis;leader;proud;shows;story;looking;use;social;mr;jobs;ray;protect;deserve;website;sent;decision;jacksonville;wwe;end;las;depleted;test;list;show;majority;eastern;friend;adjustment;classified;justice;history;plan;study;amazing;democrats;j
president;0;4;4;4;10;4;2;6;4;2;2;8;4;6;0;4;4;0;2;8;0;4;2;2;0;0;0;2;0;6;2;0;2;0;2;2;6;2;2;2;0;2;0;2;0;0;0;0;4;0;0;4;6;4;4;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2
new;0;0;0;0;2;0;2;0;2;0;2;2;4;0;0;2;4;0;4;4;0;12;0;2;0;0;0;2;2;2;0;0;0;2;4;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;2;0;8;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0
united;0;0;0;2;0;16;0;4;0;2;2;0;0;2;0;4;0;0;2;0;2;0;0;4;2;0;2;0;0;0;2;0;2;2;2;4;4;0;2;0;2;0;0;0;0;2;2;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
great;0;0;0;0;2;2;0;0;2;6;4;0;2;4;2;0;2;0;2;0;4;0;4;2;6;0;2;2;0;0;2;0;0;2;2;0;0;2;0;2;0;6;0;0;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;2
trump;0;0;0;0;0;0;0;0;6;2;2;8;4;2;2;4;2;0;0;6;0;2;0;0;2;2;2;0;6;2;0;0;0;0;0;0;0;8;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;6
states;0;0;0;0;0;0;0;4;0;2;2;0;0;2;0;4;0;0;2;0;2;0;0;4;2;0;0;0;0;0;2;0;2;2;2;4;4;0;2;0;2;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
national;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;0;4;2;0;2;0;0;0;0;0;4;2;0;0;2;10;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;2;2;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2
love;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;4;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;2;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;4;0;2;4;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;6;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;2;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
real;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;2;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
