;help;people;government;care;canadians;workers;work;needs;health;everyone;canada;families;safe;new;support;indigenous;still;take;thank;cant;democrats;prime;cerb;stay;racism;public;minister;sick;#covid19;home;lives;liberals;crisis;meet;end;rent;together;federal;family;act;police;country;communities;celebrate;systemic;longterm;pay;access;plan;across;businesses;national;job;year;healthcare;paid;companies;stand;lets;black;love;canadian;fight;wage;chiefs;continue;deserve;call;trudeau;another;month;loved;says;women;asked;direct;wetsuweten;money;hereditary;pharmacare;universal;good;away;parents;taking;put;liberal;governments;action;violence;leave;fighting;enough;wont;lost;remember;working;days;jobs;build
help;0;64;52;20;46;20;24;32;18;26;10;18;6;20;8;6;22;10;4;20;20;6;22;12;0;10;10;6;10;16;4;20;10;8;2;10;2;10;2;4;0;0;6;4;0;4;18;8;12;0;18;0;6;6;2;2;16;0;8;0;0;10;2;14;4;8;2;0;2;4;10;4;8;4;8;16;2;8;2;8;18;12;12;2;4;4;6;6;2;4;6;8;0;6;4;0;6;10;6;2
people;0;0;46;20;30;18;30;18;18;18;12;14;20;18;18;16;22;10;10;22;16;14;14;14;10;6;14;8;4;8;8;18;6;6;12;10;8;8;0;18;6;10;8;8;6;2;14;20;14;12;8;8;0;6;10;8;8;6;10;8;12;4;8;6;6;4;2;8;2;8;6;4;2;10;10;14;2;6;4;4;6;8;4;0;10;8;10;4;8;6;6;6;0;12;6;6;12;4;4;8
government;0;0;0;14;24;26;24;36;6;12;8;8;8;8;14;12;12;10;2;12;4;2;10;10;4;8;4;6;10;8;4;4;2;6;6;14;0;18;0;16;6;10;4;0;6;8;18;14;10;4;10;10;8;2;6;6;10;6;2;0;0;4;2;12;4;12;6;2;0;8;6;2;4;10;10;2;4;4;2;4;8;6;6;10;2;10;14;0;4;0;6;2;10;2;4;0;6;2;6;2
care;0;0;0;0;14;24;22;0;32;2;10;6;10;8;8;2;0;28;6;4;2;0;2;8;2;4;0;8;22;4;6;2;14;4;0;4;12;6;0;0;0;8;4;2;0;24;4;4;2;0;4;10;6;2;8;6;2;0;6;2;0;2;0;0;0;2;10;6;0;8;0;4;2;2;0;4;0;4;0;4;0;6;4;12;10;0;0;8;2;0;6;2;2;0;2;0;0;2;4;10
canadians;0;0;0;0;0;6;16;20;8;12;10;14;8;8;16;4;10;6;6;6;6;8;12;8;2;4;6;6;4;8;6;18;10;4;0;2;2;6;2;0;0;8;10;6;0;2;8;6;8;8;6;0;14;6;0;4;8;0;6;6;4;6;4;4;0;12;4;0;2;2;8;6;2;0;2;16;0;6;0;8;8;2;2;2;2;6;6;10;4;0;4;2;0;4;10;0;4;6;8;2
workers;0;0;0;0;0;0;14;6;16;0;8;12;22;2;10;0;4;4;12;10;2;0;0;16;4;10;6;18;10;12;8;2;10;2;0;0;6;6;0;4;8;4;0;0;2;6;8;4;4;2;10;4;10;0;10;14;2;6;2;2;0;8;2;8;0;4;4;0;0;4;2;4;6;0;2;4;2;12;2;2;0;4;0;8;2;2;6;8;2;0;12;2;2;4;0;0;2;8;4;0
work;0;0;0;0;0;0;0;12;6;0;8;10;10;6;2;0;4;6;8;6;4;2;0;6;2;2;2;10;8;6;6;8;0;0;2;10;10;4;4;2;2;4;2;4;0;6;12;4;4;0;2;8;2;4;2;10;2;0;2;2;6;4;8;2;2;6;4;6;2;8;4;0;4;2;2;8;4;0;4;4;2;2;0;6;2;2;0;4;0;0;6;0;2;0;6;2;2;6;0;10
needs;0;0;0;0;0;0;0;0;0;14;6;4;2;4;6;10;8;2;0;8;4;14;16;2;6;0;12;6;2;8;2;4;2;4;8;2;0;4;0;4;4;2;4;0;8;0;10;10;8;2;2;2;0;0;0;4;0;4;0;2;0;0;0;0;4;4;0;0;4;6;6;2;2;2;4;2;4;2;2;0;8;0;6;4;2;4;4;0;2;2;4;2;4;2;0;0;0;6;2;0
health;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;4;0;4;6;2;0;2;0;4;4;12;2;4;16;4;8;4;4;2;2;2;6;2;2;4;2;0;6;0;2;6;0;6;2;0;2;2;0;0;8;4;0;0;6;2;2;4;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;4;0;12;2;2;4;6;0;4;0;0;4;0;0;0;0;0;2;2;2;0
everyone;0;0;0;0;0;0;0;0;0;0;6;6;8;14;2;2;12;2;2;4;12;2;12;2;4;0;2;2;0;0;4;4;0;2;4;0;0;0;8;0;0;2;2;2;0;0;4;10;2;4;0;2;4;2;0;2;0;0;0;0;2;4;6;2;2;4;2;2;2;2;4;2;0;2;4;0;0;2;2;8;14;2;4;2;4;0;2;0;0;4;0;8;0;6;4;0;2;0;0;0
