;idaho;businesses;available;may;thank;covid19;state;cash;rebound;health;stage;grants;idahos;information;support;apply;rebounds;2;idahoans;care;300;workers;new;impacted;plan;million;protocols;additional;economy;ccds;mental;criteria;order;ones;individuals;economic;public;2020;loved;11;employees;buy;application;selfemployed;ballot;#idahocovid19;opening;eligibility;colleagues;condolences;states;memorial;arts;obtain;visit;services;president;help;asian;local;provide;advance;american;reopen;neighbors;general;election;tap;country;account;businessspecific;pandemic;supply;eligible;following;economically;essential;responsibly;week;request;fund;hornets;social;taxpayer;entities;johns;patrons;7500;county;college;testing;ppe;press;happy;join;conference;students;added;giant;thyra
idaho;0;18;14;16;10;10;8;8;8;6;12;12;8;6;8;8;10;8;2;6;8;4;4;8;8;8;2;2;2;2;2;4;2;4;4;0;6;2;4;6;6;2;2;4;0;6;0;2;2;0;4;0;2;4;2;0;2;2;2;4;4;4;2;2;2;0;0;0;2;0;0;4;4;4;2;4;2;2;4;0;0;2;2;0;2;2;4;4;0;2;0;4;2;2;2;2;2;0;2;0
businesses;0;0;8;8;2;12;4;8;10;0;0;12;4;4;6;6;0;0;0;2;8;0;4;8;2;8;2;0;2;0;0;0;4;0;4;0;0;0;0;4;6;0;2;4;0;2;2;2;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;4;4;2;4;0;0;2;0;0;0;2;0;2;0;4;4;0;0;0;4;0;0;0;0;0;2;0;0
available;0;0;0;6;0;6;2;4;4;0;4;6;2;6;2;6;2;4;0;0;8;0;0;4;4;8;4;6;0;0;0;4;2;0;2;0;0;2;0;4;2;0;4;2;0;2;4;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;2;4;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
may;0;0;0;0;2;6;2;6;4;4;0;6;0;4;6;6;0;0;4;2;4;2;0;6;0;4;0;2;0;0;2;0;0;2;6;0;0;0;2;4;2;2;4;6;0;0;2;2;0;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;4;2;4;0;0;0;0;0;2;2;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0
thank;0;0;0;0;0;0;4;0;0;2;2;0;4;2;0;0;2;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0
covid19;0;0;0;0;0;0;2;6;10;2;0;8;4;4;6;4;0;0;0;0;6;0;4;6;2;6;2;0;2;0;0;0;2;0;4;0;0;2;0;2;0;0;2;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;4;0;0;2;0;2;0;0;0;0;0;0;4;2;0;2;0;2;0;0;2;0;2;0;0
state;0;0;0;0;0;0;0;2;2;2;2;2;2;0;2;0;2;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;2;2;0;2;0;2;2;2;0;0;4;0;0;2;0;0;2;0;2;0;2;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2
cash;0;0;0;0;0;0;0;0;6;0;0;8;0;2;6;4;0;0;0;0;4;0;0;6;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;4;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
rebound;0;0;0;0;0;0;0;0;0;2;0;8;4;4;6;2;0;0;0;0;4;0;2;6;2;4;2;0;4;0;0;0;2;0;4;4;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0
health;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;2;0;2;2;0;2;0;0;0;2;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
stage;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;8;0;0;0;0;2;0;6;0;2;2;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
grants;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;4;0;0;0;2;6;0;2;8;2;6;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;4;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
idahos;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;2;2;2;4;2;2;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
