;great;trump;president;united;people;states;new;country;american;national;government;house;federal;world;white;state;news;fbi;administration;article;republican;obama;history;best;working;party;presidential;senate;women;help;2016;called;second;team;washington;1;big;war;americans;thank;love;may;win;good;city;election;report;place;fight;huge;j;reserve;2;conference;york;department;political;final;committee;media;debate;important;man;military;largest;men;high;thing;billion;general;public;killed;bad;deliver;university;times;court;story;work;illegal;possible;whether;copy;says;nations;senator;nation;woman;fake;lives;donald;join;strong;hit;million;massive;russia;access;indian;america
government;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;4;0;2;0;0;0;0;4;0;0;0;2;6;0;2;0;0;0;2;4;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;2;0;2;0;0;0;4;0
house;0;0;0;0;0;0;0;0;0;0;0;0;2;2;30;2;2;2;0;4;2;0;2;0;0;4;2;4;0;0;0;0;0;4;0;0;0;0;0;4;0;2;2;0;4;0;0;4;0;2;0;0;0;2;0;0;0;2;2;2;4;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;4;0;0;2;0;4;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;6;0;2;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;2;0;2;0;0;2;2;2;0;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;2;0;0;4;0;2;0;0;0;2;0;0;0;0;2;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;0;0;0;4;2;4;2;2;4;0;4;0;4;4;4;0;0;0;2;4;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;6;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;6;0;2;2;0;2;0;2;2;2;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;12;0;2;0;2;0;2;0;0;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;6;0;0;0;2;2;0;0;0;2;0;2;2;2;2;4;2;2;0;0;0;0;0;0;4;2;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;2;2;6;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;18;0;0;4;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;4;4;0;2;4;0;2;0;2;0;0;0;2;0;2;0;2;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;4;2;0;6;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;10;8;4;2;2;2;0;4;0;4;2;2;0;0;0;2;0;4;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0
