;south;carolina;education;law;year;state;house;enforcement;@realdonaldtrump;work;new;12;please;forward;carolinas;#scwinning;pay;billion;welcome;winning;general;reform;investment;people;economy;jobs;22;@schousespeaker;prayers;president;10;looking;stay;office;community;working;taxes;capital;county;money;ask;taken;path;childhood;local;excellence;sumter;thank;serve;sc;business;another;assembly;next;market;means;good;free;proud;morning;early;@murrellsmith;teacher;join;nation;call;30000;ive;great;veterans;excuses;efficiency;institution;peter;puts;corporal;collection;respected;cpl;pd;sustainable;eliminate;palmetto;america;parochial;attend;bill;vegetables;roaring;reminder;destined;welldeserved;superior;life;men;bipartisan;military;individuals;peoples;week
south;0;22;2;4;2;4;2;4;8;0;2;2;0;2;6;2;2;2;6;4;4;2;2;2;2;2;0;2;2;4;2;2;0;0;2;0;0;2;2;0;2;0;0;2;0;4;0;2;2;2;2;4;2;0;2;0;4;2;4;4;2;0;2;4;2;2;2;0;2;2;0;0;2;2;0;2;0;2;0;2;0;2;0;2;2;2;0;0;0;2;2;2;2;0;0;2;0;0;2;0
carolina;0;0;2;4;0;2;0;4;8;0;2;0;0;2;2;0;2;2;6;4;4;0;2;2;0;2;0;0;2;4;2;2;0;0;2;0;0;2;2;0;2;0;0;2;0;2;0;0;2;0;0;2;2;0;2;0;4;2;4;4;2;0;2;4;2;2;2;0;2;2;0;0;2;2;0;2;0;2;0;2;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0
education;0;0;0;4;2;0;2;2;0;4;4;2;0;2;0;2;2;2;0;2;0;4;4;2;2;4;4;2;0;0;2;2;0;0;0;4;0;2;0;0;2;0;4;4;2;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;4;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
law;0;0;0;0;2;0;2;8;0;2;2;0;2;0;0;0;4;2;0;2;2;2;2;0;0;2;2;0;2;0;2;0;0;2;2;0;2;2;4;0;2;2;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0
year;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0
state;0;0;0;0;0;0;4;0;2;2;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;2;0;0;0;0;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;4;2;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2
enforcement;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;2;0;2;2;0;2;0;0;2;0;0;2;0;2;0;0;2;2;0;2;2;4;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;4;0;2;0;2;4;0;2;4;0;0;0;0;4;0;0;2;0;2;0;4;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carolinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
#scwinning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;2;4;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
pay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;2;0;0;2;0;2;2;0;2;0;0;2;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;4;0;0;0;0;4;0;0;2;0;0;2;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
welcome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
