;covid19;update;ontario;may;thank;health;people;safety;#covid19;premier;ford;provides;visit;daily;help;2020;updates;check;across;reopen;support;businesses;province;economy;safe;work;week;guidelines;please;continue;working;care;workers;ontarios;action;keeping;everyone;top;homes;ontarians;together;longterm;#nationalnursingweek;join;starting;thanks;testing;mind;public;begin;opening;making;ensure;efforts;supply;best;reopening;service;comes;dedication;proud;weekend;nurses;construction;local;communities;strong;announced;families;face;protect;worried;food;system;1;possible;trades;canada;framework;giving;call;forward;frontline;taking;healthcare;challenges;tested;stay;spread;remain;family;loved;happy;children;surgeries;provide;give;heroes;start;take
covid19;0;88;8;44;4;4;2;2;0;46;46;46;42;42;8;42;42;42;4;2;0;2;2;2;6;4;0;0;2;4;4;4;0;0;2;2;4;2;2;4;4;2;2;0;0;4;0;2;2;0;0;2;4;0;0;4;0;0;4;0;0;2;0;0;0;2;0;0;0;10;0;0;0;0;2;6;0;0;2;2;2;0;0;0;0;6;0;2;6;2;0;2;0;2;2;0;2;0;2;4
update;0;0;2;42;0;0;0;0;2;46;46;46;42;42;0;42;42;42;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
ontario;0;0;0;6;12;6;14;6;10;0;0;0;0;0;8;0;0;0;22;4;4;8;14;2;10;6;4;4;6;6;8;4;6;2;2;4;12;2;2;0;6;6;4;6;2;2;2;0;0;4;2;4;4;4;0;4;8;4;2;2;4;2;2;0;2;8;2;2;4;2;2;0;2;0;6;0;0;2;2;4;2;0;4;2;0;4;0;2;2;0;2;2;4;2;0;6;6;2;2;0
may;0;0;0;0;4;2;4;6;2;0;0;0;42;42;2;42;42;42;2;4;0;6;2;0;2;4;4;4;0;2;0;2;2;0;0;0;4;2;0;4;0;0;2;0;4;6;2;2;0;2;4;0;0;2;0;0;0;0;4;0;2;4;0;2;0;0;0;0;2;0;0;2;0;0;6;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0
thank;0;0;0;0;0;6;8;2;10;0;0;0;0;2;12;0;0;0;6;0;6;2;10;0;6;12;12;0;6;0;2;2;12;4;0;10;4;0;0;4;2;0;14;10;0;2;0;0;0;0;0;6;0;0;4;0;2;8;0;14;6;0;6;2;0;8;4;0;4;0;2;0;0;8;0;0;2;0;0;2;4;0;8;2;10;0;0;2;0;4;0;0;2;0;0;2;4;6;0;0
health;0;0;0;0;0;0;2;32;10;0;0;0;0;2;8;0;0;0;2;14;8;16;8;4;10;8;4;20;8;14;6;6;8;8;6;4;6;6;4;6;2;4;0;2;6;2;0;4;6;4;4;2;10;4;0;2;6;0;0;0;2;0;0;2;0;0;0;0;0;2;8;2;0;0;0;0;2;0;2;0;0;2;2;2;0;2;2;0;0;2;2;6;0;2;0;2;0;2;6;4
people;0;0;0;0;0;0;0;2;10;0;0;0;0;0;14;0;0;0;4;0;8;2;8;6;6;8;0;2;0;2;6;0;8;4;2;2;2;4;0;4;2;4;0;0;2;0;0;4;0;2;0;2;2;4;2;4;2;0;2;0;6;0;0;0;2;0;4;0;2;2;0;0;2;0;2;4;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;2;6;0;0;2;0;0;0;0
safety;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;16;6;18;6;8;10;4;0;20;4;10;6;4;6;4;6;4;2;8;4;6;2;4;0;0;6;2;0;6;2;4;4;2;10;4;2;2;6;0;2;0;2;0;0;6;0;0;0;0;0;0;4;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;2;2;6;0;4;0;4;0;0;4;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;8;4;12;6;12;8;0;6;2;4;4;2;8;0;8;4;2;2;2;2;0;4;2;2;0;2;0;0;8;2;2;2;4;2;0;2;2;4;2;0;2;2;6;0;0;2;2;0;2;2;2;0;4;10;2;0;2;0;2;2;2;0;4;2;0;0;2;0;10;0;0;0;2;2;0;0;0;2;2;0;4;2
premier;0;0;0;0;0;0;0;0;0;0;48;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
ford;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
provides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
