;great;thank;news;people;fake;coronavirus;states;working;federal;mike;mini;job;#kag2020;american;united;house;together;bernie;country;work;good;strong;hard;joe;virus;democrats;white;government;media;conference;sleepy;new;win;america;new_york;democrat;support;bad;state;history;workers;president;order;families;bill;biden;usa;decision;full;governors;world;governor;national;love;reserve;nothing;russia;@foxnews;eastern;cut;endorsement;americans;vote;important;early;nation;best;ventilators;trump;protect;complete;race;corrupt;numbers;ahead;quickly;low;act;congress;possible;bloomberg;lives;wonderful;general;incredible;prevail;safe;borders;situation;presidential;sanders;health;help;senator;soon;msdnc;republicans;enemy;chinese;god
great;0;40;16;20;6;22;18;14;4;0;0;38;2;16;14;10;8;4;16;14;4;10;12;2;6;8;6;6;2;4;2;12;8;14;6;6;12;4;18;6;12;2;4;8;6;4;6;6;4;4;2;6;10;12;0;2;0;2;0;4;10;2;6;4;6;6;2;0;0;4;10;2;0;2;4;2;4;0;12;2;0;4;8;2;14;2;8;10;0;4;2;8;2;10;6;0;4;0;0;4
thank;0;0;10;10;6;10;2;4;4;4;2;8;46;10;2;6;8;0;4;10;0;4;4;0;2;0;6;6;0;6;2;0;2;10;2;2;6;0;4;2;0;4;2;2;0;0;2;2;4;0;2;4;2;4;0;0;0;0;2;0;6;0;0;0;2;4;2;0;2;0;4;0;2;2;0;0;0;0;0;0;2;0;4;2;2;2;2;0;6;0;0;2;6;4;2;0;0;0;0;0
news;0;0;0;10;58;18;2;4;2;0;0;8;0;4;0;22;2;0;6;2;6;0;4;2;8;4;22;4;18;26;2;6;0;4;8;2;0;4;2;0;4;2;4;6;0;0;0;2;0;6;2;4;0;0;0;4;4;2;14;0;2;0;0;2;6;4;2;2;4;0;0;0;10;8;0;0;6;0;4;2;0;4;0;2;2;0;6;4;6;2;0;4;2;2;0;8;2;4;4;0
people;0;0;0;0;8;6;2;6;2;6;6;8;2;10;4;4;8;0;12;12;4;4;4;4;4;8;2;4;8;2;4;0;4;4;2;2;8;2;6;2;0;2;0;4;2;4;6;2;2;0;4;0;0;6;0;0;0;0;0;4;10;4;4;8;2;0;6;0;4;4;8;0;2;6;2;4;0;2;2;2;4;4;0;0;10;2;0;2;4;0;0;4;0;6;4;8;6;6;2;6
fake;0;0;0;0;0;10;0;2;2;2;2;8;0;2;0;4;2;0;6;2;6;0;2;2;4;4;4;4;16;0;2;4;0;0;8;2;0;4;2;0;0;0;6;0;0;0;0;2;2;2;0;4;0;0;0;4;4;0;0;0;4;0;0;0;6;0;2;2;0;0;0;0;12;2;0;0;4;0;0;2;2;4;0;2;2;0;0;4;4;0;0;0;2;0;2;8;0;4;2;0
coronavirus;0;0;0;0;0;0;6;8;6;0;0;14;0;4;4;14;6;0;2;2;4;8;4;0;2;6;10;4;6;4;0;2;0;8;4;4;2;2;0;0;6;8;4;6;4;0;0;2;2;6;4;2;0;0;4;4;0;0;0;4;0;6;0;2;6;4;0;0;2;2;0;0;0;6;0;2;12;2;6;6;0;2;0;2;2;0;4;6;14;0;0;6;0;0;2;4;2;2;0;0
states;0;0;0;0;0;0;0;10;2;0;0;8;0;2;32;4;4;8;2;2;2;0;6;2;6;0;4;2;2;2;2;0;2;2;4;2;0;0;0;4;0;2;0;0;6;0;0;2;4;6;6;0;0;0;0;2;2;0;0;0;0;2;0;4;0;4;0;2;0;2;0;6;0;2;0;2;2;2;0;4;0;0;2;2;0;0;0;2;0;0;6;0;0;2;0;0;0;2;4;0
working;0;0;0;0;0;0;0;0;4;0;0;6;0;2;2;6;4;4;6;4;4;2;22;2;2;6;6;6;0;4;2;2;0;2;4;4;2;0;4;2;0;4;0;2;0;2;0;0;4;8;0;4;0;2;0;0;0;2;0;2;0;2;2;0;0;2;2;2;2;0;0;0;0;4;2;0;4;0;0;2;0;2;2;2;2;2;2;2;0;0;4;2;2;2;0;2;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;26;0;0;0;0;0;0;2;0;0;0;2;0;0;0;6;2;0;0;6;0;8;6;0;2;2;0;18;0;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;2;0;0;0;2;0;2;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0
mike;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;4;0;0;6;4;0;0;0;0;0;0;6;0;0;0;0;6;2;6;2;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
