;#covid19;#teamkentucky;#togetherky;beshear;governor;live;kentuckians;ab;watch;kentucky;information;update;visit;#healthyathome;et;updated;thank;5;help;together;shares;gov;commonwealth;#patriot;facebook;todays;new;state;#healthyatwork;protect;health;safe;via;testing;care;conference;andy;share;news;support;week;4;proud;full;take;work;honor;please;fight;tune;yesterday;capitol;remember;tonight;cases;children;county;families;follow;across;million;lets;lost;important;people;following;public;updates;making;green;guidelines;continue;education;reopening;family;social;june;home;economy;10;thanks;communities;2;stay;students;next;weekend;working;tomorrow;states;positive;register;@ltgovcoleman;may;beat;shared;media;call;locations;spread
#covid19;0;396;394;312;316;304;230;78;232;104;248;214;148;162;188;202;64;174;84;68;150;42;50;80;106;80;48;32;58;52;50;48;62;60;50;48;26;48;44;28;28;42;8;44;38;24;22;42;48;52;38;6;26;22;50;22;14;10;34;30;2;32;34;28;18;26;12;28;26;28;32;20;2;28;18;16;26;24;20;30;20;18;6;24;4;26;20;16;26;26;24;18;6;24;36;26;30;24;24;28
#teamkentucky;0;0;488;104;116;92;192;226;12;100;48;146;98;204;128;4;112;134;90;92;2;6;60;118;74;20;26;24;86;56;34;58;46;40;36;6;4;32;4;32;44;10;40;22;34;30;32;32;20;32;44;26;30;24;12;24;10;18;34;26;30;30;20;30;14;14;8;20;30;24;22;22;8;20;18;24;6;22;24;24;34;12;10;28;28;18;20;20;16;6;6;24;14;14;26;12;8;20;18;22
#togetherky;0;0;0;96;106;92;172;124;12;64;36;148;76;204;132;2;100;140;66;90;2;0;38;116;76;16;22;16;78;46;36;48;46;34;36;4;2;26;2;22;16;6;18;24;28;26;30;30;18;32;32;8;24;30;10;18;0;6;30;22;0;38;32;24;10;12;10;18;28;28;20;18;2;20;16;12;10;26;14;20;24;6;6;22;8;14;20;12;16;8;6;20;2;16;24;16;4;8;16;16
beshear;0;0;0;0;322;264;166;4;170;44;186;108;8;60;134;200;0;108;2;0;148;120;10;0;100;4;14;16;10;6;6;0;34;2;6;20;66;36;18;8;2;22;2;12;2;2;0;0;18;20;0;4;2;6;10;2;6;4;2;2;10;0;0;0;2;10;4;4;0;2;0;2;6;0;2;0;10;0;0;0;0;6;4;0;0;2;6;0;0;16;0;0;0;4;0;4;26;0;0;2
governor;0;0;0;0;0;260;146;20;166;22;180;98;4;66;130;180;8;108;6;6;148;0;8;6;100;0;18;8;14;4;10;2;28;10;14;8;22;32;8;6;8;8;16;10;4;4;2;0;12;20;2;8;2;4;2;2;0;4;4;2;6;4;0;0;4;2;2;2;8;2;4;4;4;2;4;0;0;8;0;0;0;4;0;0;0;4;2;0;0;0;0;0;2;2;0;4;26;0;2;2
live;0;0;0;0;0;0;102;6;218;14;180;128;4;48;134;176;2;104;0;2;148;4;6;6;110;16;2;0;8;0;0;2;34;4;2;12;6;34;12;0;6;40;0;0;10;0;2;0;0;20;0;2;6;2;0;2;0;2;0;2;0;2;0;0;2;0;0;8;0;0;0;0;0;0;2;6;12;0;0;0;0;0;0;2;2;12;4;0;10;0;2;0;4;8;0;0;26;0;0;0
kentuckians;0;0;0;0;0;0;0;58;8;16;40;94;16;84;126;52;28;108;32;22;0;34;20;22;100;4;18;16;20;32;18;18;20;4;12;4;20;44;2;16;14;4;16;2;10;20;14;10;26;20;12;6;8;18;8;2;2;8;8;2;4;12;16;6;10;4;0;4;14;12;4;10;6;0;4;2;0;10;4;8;8;4;6;4;2;6;6;6;4;18;4;2;6;0;2;4;26;2;0;6
ab;0;0;0;0;0;0;0;0;2;74;8;8;8;34;4;2;64;6;30;64;0;0;50;34;0;6;14;16;0;30;20;20;2;0;18;0;2;16;4;18;26;2;32;0;12;12;36;12;6;2;16;30;20;32;0;12;14;32;8;14;20;28;38;18;14;6;8;2;16;32;6;20;10;0;20;14;0;18;6;4;14;12;4;8;22;6;8;20;8;0;4;0;4;0;14;2;4;2;0;4
watch;0;0;0;0;0;0;0;0;0;2;156;60;68;4;24;152;2;12;2;0;148;6;4;2;8;76;2;2;8;0;0;2;32;0;0;60;10;6;54;2;0;20;0;20;0;0;0;0;4;10;0;2;2;2;6;0;0;0;2;0;0;0;0;0;0;0;2;6;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;6;0;2;0;0;0;0;2;0;0
kentucky;0;0;0;0;0;0;0;0;0;0;16;26;28;22;12;4;20;18;16;36;0;32;28;24;0;6;20;22;6;6;10;8;4;6;10;2;18;6;2;18;22;18;18;16;10;10;18;12;2;8;8;22;4;12;24;16;10;24;2;12;12;10;8;2;12;18;4;14;4;8;0;6;14;6;6;8;14;10;8;6;8;14;10;4;8;8;2;8;6;6;8;4;4;8;6;10;0;4;2;6
information;0;0;0;0;0;0;0;0;0;0;0;20;56;12;38;184;4;20;8;4;148;6;16;6;28;10;4;4;22;4;6;18;10;14;8;0;4;36;0;0;12;10;0;8;4;0;0;14;2;10;4;0;8;4;4;0;2;0;6;8;0;0;0;2;0;2;0;4;0;2;12;6;2;14;0;4;2;0;8;6;0;0;0;12;0;0;4;2;4;0;2;6;6;2;4;2;26;6;10;4
