;covid19;public;delaware;health;delawareans;watch;delawares;director;division;de;livestream;reopening;community;may;sussex;economy;briefing;view;state;working;1;safely;giving;thank;steps;distancing;rattay;announced;dr;karyl;face;en;aj;continue;phase;school;schall;important;reopen;new;businesses;social;hands;care;guidance;@delawareema;stay;wear;wash;town;hall;county;crisis;june;vulnerable;celebrate;summer;remember;beach;visit;live;spread;covering;protect;support;hosting;countypreregister;precautions;women;emergency;testing;effort;castle;joining;throughout;take;mothers;together;follow;curve;faith;distance;real;recovery;restrictions;information;able;starting;economic;difficult;español;place;everyone;moving;tracing;statewide;vote;el;contact;foster
covid19;0;28;32;28;10;20;22;18;24;4;20;10;8;6;12;14;20;20;2;4;6;6;20;0;8;4;18;8;18;18;2;2;16;4;4;2;16;6;6;2;6;4;2;2;2;12;2;2;2;2;0;6;4;6;2;0;0;4;2;4;0;12;2;4;4;2;0;6;0;4;4;2;0;0;2;6;0;0;4;0;0;2;6;4;2;4;2;4;4;0;0;0;4;2;6;4;2;2;6;0
public;0;0;18;40;12;26;8;18;28;8;26;0;4;6;4;2;20;20;0;0;4;2;20;4;2;8;18;0;18;18;14;0;16;6;2;0;16;4;4;4;2;8;14;4;4;14;8;10;14;6;6;6;4;6;6;0;0;0;4;0;0;4;10;2;2;8;0;2;0;4;0;6;4;0;0;2;0;0;4;2;0;8;2;6;2;0;2;4;0;2;0;0;4;4;0;0;0;0;0;0
delaware;0;0;0;18;6;8;8;6;14;4;8;8;4;8;4;10;8;8;4;6;8;4;8;0;4;2;6;6;6;6;0;2;6;6;6;4;6;6;6;2;8;2;2;4;8;4;2;0;2;2;2;0;2;6;0;2;2;4;0;2;2;0;0;2;2;2;0;2;4;4;0;0;0;0;6;2;0;2;4;2;2;2;2;2;0;0;4;2;6;2;0;0;0;2;2;0;0;2;2;0
health;0;0;0;0;6;20;2;18;24;8;20;0;4;4;2;2;20;20;0;2;4;2;20;4;2;6;18;2;18;18;2;0;16;6;2;0;16;6;4;0;4;6;2;8;4;14;0;0;2;0;0;0;4;6;4;2;0;2;4;0;0;4;0;4;2;0;0;6;0;4;0;0;0;0;0;8;0;0;6;0;0;0;2;0;2;0;2;4;2;2;0;0;6;4;0;0;0;0;0;0
delawareans;0;0;0;0;0;0;10;0;0;0;0;4;4;0;2;8;0;0;4;2;4;2;0;4;2;4;0;0;0;0;10;0;0;4;2;0;0;4;6;4;2;4;12;0;2;0;8;12;10;0;0;2;0;4;4;2;2;2;4;0;0;6;10;6;0;0;2;6;0;2;0;0;2;0;2;6;0;0;4;2;4;6;0;0;2;0;0;2;2;2;0;2;2;2;4;4;0;0;4;0
watch;0;0;0;0;0;0;6;18;20;2;26;0;0;0;2;0;22;20;0;0;0;0;20;0;0;0;18;0;18;18;0;2;16;0;0;0;16;0;0;4;0;0;0;0;0;12;0;0;0;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;0;0;4;0;6;4;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
delawares;0;0;0;0;0;0;0;0;0;0;6;10;8;8;6;16;0;0;4;0;4;8;0;2;4;4;0;2;0;0;2;0;0;2;6;0;0;2;8;6;4;4;2;0;2;0;2;2;2;6;6;10;4;6;4;2;0;0;0;4;0;4;2;2;0;6;0;2;0;2;4;8;4;0;0;2;0;0;2;0;0;2;4;8;2;4;4;0;6;0;0;0;0;0;6;4;2;0;6;0
director;0;0;0;0;0;0;0;0;18;0;18;0;0;0;0;0;18;18;0;0;0;0;18;0;0;0;18;0;18;18;0;0;16;0;0;0;16;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
division;0;0;0;0;0;0;0;0;0;2;20;0;0;4;0;0;20;20;0;0;0;0;20;0;0;0;18;0;18;18;0;0;16;2;0;0;16;0;0;0;0;0;0;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
de;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;2;4;0;0
