;vermonters;vermont;help;work;state;covid19;health;continue;safe;thank;economic;@healthvermont;support;recovery;relief;businesses;together;public;take;response;efforts;act;data;vermonts;important;virus;pandemic;team;announced;economy;stay;spread;nation;working;outdoor;critical;may;provide;package;testing;emergency;million;safety;still;good;week;care;new;states;months;lives;vt;crisis;watch;service;assistance;takes;#vtpoli;guidance;forward;news;social;local;restart;continues;live;family;limited;community;reopen;link;people;quickly;country;tracing;honor;capacity;everyone;weeks;visit;means;15;across;another;services;hard;protect;hate;25;home;contact;families;clear;please;program;includes;force;restrictions;world;additional
vermonters;0;26;30;22;20;24;22;18;14;16;14;2;16;10;10;6;6;10;4;6;20;10;6;6;16;12;12;2;10;16;18;8;0;10;6;14;6;2;10;6;8;6;8;12;6;2;14;4;4;8;8;6;14;6;10;4;4;8;4;6;6;2;4;4;4;4;8;2;0;10;2;0;6;2;4;8;4;2;6;8;4;8;2;2;2;2;6;4;4;8;2;4;2;2;2;2;0;8;2;0
vermont;0;0;8;12;28;28;6;10;6;8;8;10;14;2;2;4;0;2;8;2;8;4;8;10;6;4;2;2;10;8;6;4;6;6;0;4;2;2;0;6;2;2;0;2;8;10;0;4;4;6;4;2;0;4;6;6;2;2;2;4;6;4;2;10;10;2;6;2;2;4;0;2;2;6;6;12;2;2;0;6;6;2;6;4;4;4;2;2;0;2;4;2;0;6;12;0;2;0;2;0
help;0;0;0;14;6;8;8;6;2;10;14;8;16;14;8;8;12;4;4;4;8;10;0;2;2;12;14;2;0;8;2;8;0;6;0;8;4;6;8;4;6;10;4;4;2;2;8;2;6;4;2;6;6;2;4;4;6;2;6;2;0;0;6;4;0;2;4;0;2;0;0;2;8;2;2;2;0;0;2;2;2;0;2;8;2;6;8;0;0;0;0;6;0;8;0;0;0;2;4;0
work;0;0;0;0;10;8;14;14;6;10;2;10;4;2;2;2;12;6;8;4;8;2;8;4;6;6;2;6;0;4;8;2;6;4;2;14;2;4;2;12;4;0;4;4;0;12;6;6;0;0;2;4;6;2;2;2;6;4;2;6;0;2;2;2;0;0;0;4;0;4;0;4;4;4;8;0;4;4;2;4;4;0;2;2;0;12;0;0;2;8;8;0;2;4;2;2;0;4;0;4
state;0;0;0;0;0;14;12;4;2;8;4;8;4;2;4;4;4;6;4;2;0;4;4;8;4;4;2;0;4;4;2;4;6;2;6;0;6;2;4;2;4;2;2;0;6;2;2;4;0;8;6;2;6;2;4;0;2;6;2;4;6;2;2;0;6;2;2;4;0;2;0;2;2;2;0;8;2;0;6;2;0;6;4;2;4;2;4;6;2;4;2;2;4;2;0;0;2;2;2;0
covid19;0;0;0;0;0;0;14;12;4;2;10;12;4;4;2;2;2;0;2;12;6;4;4;16;4;0;6;12;12;4;2;6;8;2;4;2;4;8;0;4;2;0;6;2;4;6;2;0;2;4;2;2;4;8;4;2;0;2;0;2;10;2;6;0;10;6;0;4;2;6;6;0;2;6;4;8;2;0;0;6;2;2;2;8;0;2;2;6;0;0;2;0;0;4;0;0;6;0;0;2
health;0;0;0;0;0;0;0;12;4;2;8;8;8;6;6;2;4;20;2;6;2;8;12;2;6;6;6;0;8;4;4;6;6;6;8;2;8;2;6;4;2;4;20;0;0;0;6;0;2;2;2;6;12;2;0;2;6;4;8;2;0;4;0;2;4;2;6;10;2;10;2;2;4;0;2;0;2;2;0;6;0;2;2;0;6;0;6;6;2;2;0;4;0;0;2;2;4;4;0;4
continue;0;0;0;0;0;0;0;0;16;2;8;8;6;4;4;4;4;8;2;4;4;4;18;2;4;0;12;2;0;12;6;8;4;6;2;4;0;0;4;0;0;6;4;14;6;2;4;4;0;2;2;2;6;8;2;0;10;4;4;0;4;6;0;2;6;2;0;0;0;12;2;4;0;2;0;0;4;2;6;0;2;0;0;4;2;0;6;2;0;2;2;2;2;6;2;0;2;6;0;0
safe;0;0;0;0;0;0;0;0;0;6;2;2;0;2;2;0;2;2;4;0;2;0;6;0;2;4;4;2;8;2;14;8;0;2;2;2;0;2;2;4;4;0;2;8;2;2;2;4;0;6;4;0;0;4;2;0;0;0;4;2;2;4;0;2;6;0;0;0;0;0;0;8;0;0;2;0;6;6;2;0;6;4;0;0;0;2;4;0;6;2;0;0;2;0;0;0;0;6;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;2;2;2;6;4;0;2;0;6;0;2;0;4;2;0;0;2;0;0;0;2;2;0;2;0;0;0;4;2;2;2;0;4;0;6;2;0;12;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;6;6;4;0;2;0;2;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0
