;north;thanks;dakota;state;grateful;safety;states;across;join;nd;innovation;terrific;energy;conference;citizens;business;strong;economy;infrastructure;governors;military;hosting;agriculture;taking;leaders;education;talk;critical;country;dakotans;great;canada;#statesolutions;building;2020;help;oil;partner;wing;threat;workforce;work;america;industries;alberta;natural;speak;nearly;discuss;important;low;annual;economic;local;people;essential;future;gas;dakotas;issues;administration;grow;#givingheartsday;promoting;together;take;president;working;place;community;@firstladynd;drive;past;contribution;nation;@givingheartsday;solve;opportunity;complex;honor;minot;trading;pursuing;achieve;lead;mandan;airmen;actively;monitoring;development;research;tonight;minutes;coronavirus;historic;droughts;learn;continued;businesses;initiatives
north;0;6;14;4;6;0;4;2;2;2;4;2;2;4;2;4;4;6;6;2;0;2;2;0;2;2;2;2;2;4;0;2;4;0;4;0;0;2;0;0;4;0;2;0;0;0;4;0;2;2;4;2;4;2;2;2;2;0;4;2;2;2;0;0;0;2;2;2;0;2;2;2;2;0;2;0;2;4;2;0;0;2;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;2;2
thanks;0;0;4;2;2;2;0;2;0;4;2;2;0;2;0;4;4;2;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;2;0;0;2;0;2;0;2;2;2;0;2;2;0;0;2;0;0;4;0;2;2;0;2;0;0;4;0;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0
dakota;0;0;0;4;2;0;2;2;0;0;4;2;2;4;2;2;0;2;4;2;0;2;2;0;0;2;2;2;2;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0
state;0;0;0;0;2;0;0;0;0;2;4;2;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
grateful;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;4;2;0;2;0;4;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
safety;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0
states;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;2;4;2;2;0;0;0;0;0;0;2;4;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
across;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;4;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0
join;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;4;0;0;0;4;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
nd;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2
