;united;states;trump;people;president;government;american;police;court;new;news;fbi;washington;great;good;win;supreme;killed;help;americans;america;lot;white;man;2016;thank;bill;arrested;left;team;ruled;job;russia;national;save;woman;conference;illegal;house;bad;full;report;working;administration;ban;hillary;may;north;department;young;exchange;immediately;federal;finally;reuters;media;problem;numbers;complete;investigating;number;texas;press;contract;security;week;congress;city;ready;use;year;death;side;list;hes;party;nfl;take;players;donald;justice;care;case;established;final;state;republican;happy;turkey;thing;clinton;futures;work;signed;budget;green;deal;poll;country;stock
united;0;26;6;6;8;2;6;2;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;2;0;2;2;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;4;0
states;0;0;6;6;8;4;6;2;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0
trump;0;0;0;4;12;4;0;0;0;6;4;2;4;4;2;2;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;4;4;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
people;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;2;0;2;4;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
president;0;0;0;0;0;4;2;0;0;4;2;0;4;4;2;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2
police;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;4
