;people;president;great;trump;new;states;united;american;country;obama;federal;house;administration;republican;media;fbi;state;man;party;government;america;national;campaign;white;committee;department;year;news;may;washington;supreme;democrats;2016;court;police;working;attack;war;former;history;bill;live;big;help;act;senate;world;fake;best;intelligence;political;general;public;texas;show;election;called;military;decision;free;justice;high;donald;part;north;san;thank;presidential;proud;director;china;crime;could;usa;investigation;greatest;russia;congress;york;huge;official;family;says;trying;comey;asked;provide;real;money;area;law;governor;care;woman;office;report;death;border;low;little
people;0;8;4;10;6;6;6;14;14;4;2;6;6;8;4;4;2;2;8;2;0;2;4;2;4;0;2;4;2;2;2;4;4;2;0;6;4;0;4;2;2;2;4;2;4;2;6;4;2;4;0;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;2;0;2;0;0;2;0;0;2;2;4;4;0;2;2;2;2;0;2;2;0;2;2;0;2;2;0;2;2;0;0;0;2
president;0;0;10;28;8;6;8;4;8;10;2;6;4;2;4;10;6;2;0;2;0;2;4;2;2;0;2;4;4;4;0;2;0;0;0;4;2;2;2;8;2;2;2;2;0;2;4;4;0;4;2;6;2;2;0;6;4;2;0;4;0;0;4;2;0;0;0;4;0;2;8;6;2;2;2;4;2;2;0;2;2;2;0;2;4;4;0;2;0;0;0;0;0;0;0;0;2;6;2;0
great;0;0;0;8;6;0;2;8;8;0;2;4;2;6;0;0;2;0;4;4;6;4;0;2;0;0;2;6;0;2;2;6;0;2;0;6;4;4;0;2;2;0;8;0;2;0;2;2;0;0;0;4;4;4;2;2;2;2;2;2;0;4;0;0;4;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;6;0;2;0;2;0;6;2;2;0;0;0;0;0;4;0;4;0;2
trump;0;0;0;0;2;2;6;4;2;2;0;4;10;8;4;6;4;0;2;2;0;4;14;4;2;0;0;2;4;8;0;2;8;0;0;4;2;2;4;4;0;0;2;2;2;0;2;0;0;2;4;2;0;4;0;6;2;0;0;2;0;2;12;2;0;0;0;6;0;0;0;2;2;2;2;2;8;2;0;2;2;2;2;2;2;4;0;2;2;0;0;2;0;0;0;2;0;2;0;0
new;0;0;0;0;0;2;2;4;4;8;8;2;6;2;0;4;4;4;2;6;2;2;2;2;0;2;4;4;4;0;2;0;0;2;2;0;2;2;4;2;4;0;0;0;2;2;2;0;0;0;4;6;6;2;0;0;2;0;0;2;0;4;2;4;0;0;2;0;4;0;2;4;2;2;2;4;2;4;14;2;0;2;0;0;2;2;4;0;2;0;0;0;6;2;2;4;0;2;2;2
states;0;0;0;0;0;0;40;2;4;2;4;4;2;2;2;2;0;2;2;2;4;4;0;6;0;4;2;2;2;2;0;0;2;0;0;0;6;0;2;0;2;2;2;2;4;4;0;2;0;0;2;0;0;0;2;0;4;0;4;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0
united;0;0;0;0;0;0;0;2;4;2;4;4;4;2;2;0;0;2;0;2;2;6;2;6;0;2;2;2;0;2;0;0;0;0;0;0;4;0;4;2;2;2;0;2;2;4;0;2;0;0;0;0;0;0;2;0;4;0;4;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;2;8;0;4;8;2;4;6;2;0;2;0;0;2;4;0;2;2;0;2;4;0;0;6;2;0;0;2;0;2;4;12;0;0;2;0;4;0;4;4;0;4;6;0;2;0;0;2;2;0;0;2;2;0;0;0;2;2;0;2;0;6;0;4;0;0;0;8;2;6;0;2;0;0;2;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;2;2;2;2;2;2;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;4;2;0;4;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;2;2;2;0;2;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;2;6;20;2;0;0;0;0;0;4;2;0;4;2;2;0;2;0;0;0;2;2;0;0;0;0;2;2;2;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;4;2;2;2;2;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2
