;people;obama;great;united;american;new;states;administration;president;congress;country;national;house;party;trump;act;state;government;report;police;left;campaign;department;world;best;fbi;white;navy;take;texas;working;night;leaders;boston;killed;clinton;released;news;republican;think;eliminate;bay;#1;phase;investigating;super;election;away;communities;john;republicans;announced;weinstein;war;could;learned;city;amazing;started;mayor;amendment;hillary;buccaneers;health;release;fact;classified;major;second;says;votes;wall;hottest;iran;resistance;democrats;place;care;del;big;quickly;east;extremely;2;rio;street;middle;name;week;high;supreme;wanted;tuesday;love;obamafordlavalle;beef;video;russia;help;black
people;0;0;2;4;4;2;4;0;6;2;0;0;2;0;0;4;4;2;0;0;4;2;2;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;6;4;2;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2
obama;0;0;0;2;2;0;2;16;4;2;4;4;2;0;0;0;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;2;4;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0
united;0;0;0;0;2;4;14;2;2;0;2;2;0;0;0;0;4;2;4;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;4;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;4;2;0;0;0;4;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;2;2;0;2;4;0;0;0;0;2;2;0;4;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2
states;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;4;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
