;#togetheral;#covid19;#alpolitics;alabama;@alpublichealth;order;#saferathome;thank;state;al;alabamians;proud;social;distancing;people;visit;states;forward;businesses;taking;help;please;next;amended;precautions;may;act;new;cares;support;appreciate;guidance;@alabamang;work;health;protect;encouraged;take;practice;available;partnership;legislature;efforts;week;guidelines;continue;additional;great;working;3;safe;@al_labor;hs;@alhospitals;2020;crisis;country;times;phase;members;athletic;across;expanded;congrats;@alabamagrocers;issued;2;monday;good;high;still;remember;different;watch;ive;pandemic;class;honor;spread;full;harris;hard;live;halfstaff;w;urge;funding;dr;serving;unemployment;news;amendment;stay;maintain;receive;flags;resource;students;year;celebrate
#togetheral;0;28;12;18;32;24;28;10;16;6;14;4;14;14;10;10;8;6;6;6;8;8;8;10;10;10;2;6;2;4;2;8;4;4;6;4;8;8;8;4;2;4;4;8;8;8;4;2;0;4;6;4;0;2;2;2;4;4;6;2;4;4;6;0;2;4;4;6;2;0;4;4;4;4;0;2;2;0;4;2;6;2;6;2;2;4;0;6;2;4;4;0;6;6;2;2;4;0;2;2
#covid19;0;0;14;8;8;2;8;8;14;8;6;2;2;2;2;6;10;2;2;4;4;0;0;0;2;2;2;4;2;4;2;0;4;4;0;0;0;0;0;2;0;4;6;2;2;4;0;2;2;2;2;0;0;0;0;4;4;2;2;2;0;4;0;2;0;2;4;0;0;0;0;0;0;4;2;4;0;0;4;2;4;4;6;2;2;0;0;4;0;0;4;2;4;0;2;2;4;0;0;0
#alpolitics;0;0;0;8;6;4;6;6;2;2;2;4;2;2;2;4;4;4;6;0;2;2;0;2;0;0;4;0;4;0;4;0;2;4;0;2;0;0;0;2;0;4;6;0;2;2;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;2;0;4;0;2;0;0;4;4;0;0;2;0;4;4;2;4;0;2;2;2;4;2;0;6;4;2;0;0;0;0;0;0;0
alabama;0;0;0;0;0;2;4;6;6;0;2;8;2;2;4;4;0;4;2;2;2;2;6;2;2;2;2;2;2;0;2;2;2;0;0;2;0;4;2;4;2;2;0;2;0;2;0;0;2;2;4;0;2;0;4;2;2;4;4;4;0;0;2;4;2;0;0;4;4;4;2;0;2;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;4;2;0;0;0;2;2;2
@alpublichealth;0;0;0;0;0;14;16;2;2;4;4;2;4;4;4;2;6;0;0;0;2;4;0;6;2;4;0;2;0;0;2;2;0;0;4;2;6;4;2;2;2;0;4;4;4;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;4;0;0;0;0;0;0;4;0;4;0;0;2;0;4;2;0;4;0;0;4;0;0;2;0;0;0
order;0;0;0;0;0;0;22;0;0;2;4;0;6;6;4;2;2;0;2;6;2;2;2;10;4;6;0;6;0;0;0;2;0;0;4;2;4;0;0;0;2;0;0;0;4;4;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;6;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0
#saferathome;0;0;0;0;0;0;0;2;2;2;8;0;8;8;2;4;2;0;2;6;2;2;0;8;4;4;0;6;0;0;0;2;0;0;4;2;4;0;0;0;2;0;0;0;6;8;2;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;2;0;0;0;4;2;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;4;4;4;0;0;0;4;2;0;2;2;2;0;0;0;0;0;0;2;0;2;2;4;0;6;2;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;2;2;4;0;0;0;0;2;0;0;2;0;4;2;0;2;2;2;4;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;2;4;0;2;0;0;6;0;0;0;2;0;0;2;2;0;0;0;0;4;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0
al;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;6;4;2;2;2;0;0;0;0;2;6;2;6;2;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0
alabamians;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;4;2;2;4;2;0;2;0;0;4;0;4;2;2;0;2;0;2;2;4;0;0;2;2;2;0;0;2;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;2;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;4
social;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;0;0;2;4;0;4;0;2;8;4;0;2;0;0;0;2;0;0;4;4;4;4;6;0;0;0;0;2;2;6;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;6;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;4;0;2;8;4;0;2;0;0;0;2;0;0;4;4;4;4;6;0;0;0;0;2;2;6;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;6;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;4;0;4;0;2;0;0;2;2;2;4;2;2;4;0;2;0;4;0;2;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;0;4;0;4;0;0;0;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;2;0;4;0;4;0;0;0;2;4;0;0;4;0;0;0;2;0;4;0;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;6;2;6;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0
