;united;states;great;new;trump;world;president;state;big;love;party;man;win;democrats;people;fbi;american;department;working;economic;wisconsin;america;house;federal;millions;league;million;article;team;best;super;pay;country;justice;trying;coming;major;rugby;job;awesome;nfl;looks;women;fact;washington;virginia;bill;development;news;senate;health;tough;jobs;americans;2016;thought;2;important;atlanta;weeks;election;member;baltimore;away;life;nation;york;archive;partner;taken;destroyed;everyone;good;promote;men;guy;presidential;donald;business;report;experience;hard;white;call;number;history;help;security;china;hillary;become;thank;announced;resources;left;england;obama;government;act;may
united;0;22;2;2;4;14;4;4;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;2;6;2;2;0;0;4;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;0;2;0;0;0;2;2;4;0;2;0;4;0;0;2;0;0;0;0;2;2;0;0;2
states;0;0;2;2;4;12;4;4;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;6;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;0;2;0;0;0;2;2;4;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0
great;0;0;0;4;8;6;0;4;0;4;4;0;0;2;2;4;2;2;4;0;0;2;2;2;2;0;0;0;2;0;0;0;0;4;0;2;0;0;4;0;2;0;4;2;0;2;2;2;2;2;0;2;2;2;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;2;2;0;2;2;0;2;0;0;2;0;0;0;0;4;0;0;2;0;2;0;2;0
new;0;0;0;0;6;4;2;0;4;0;2;2;0;2;0;2;0;0;2;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;4;0;0;0;0;0;0;2;0;0;0;0;6;2;2;0;2;0;0;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0
trump;0;0;0;0;0;6;6;2;0;2;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;6;2;2;0;4;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;2;2;0
world;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;2;2;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2
president;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;2;2
state;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;4;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;4;2;2;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0
big;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
