kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
canadians,26,trudeau,39,canadians,63,canadians,51,canadians,50,trudeau,40,canadians,252
conservatives,21,justin,36,conservatives,32,government,31,trudeau,45,canadians,38,trudeau,178
justin,17,illegal,26,government,28,conservatives,27,justin,26,justin,33,conservatives,143
trudeau,16,blockades,25,covid19,24,crisis,26,conservatives,26,conservatives,22,justin,132
canadas,13,canadians,24,help,24,trudeau,24,letting,24,canadas,14,government,86
spending,11,trudeaus,22,support,16,covid19,21,canadas,14,letting,12,help,73
economy,11,country,19,times,14,help,19,help,12,trudeaus,12,trudeaus,64
conservative,11,conservatives,15,trudeau,14,canada,16,canada,11,canada,12,canadas,64
wasteful,10,project,15,spending,13,liberals,16,pandemic,11,pandemic,10,canada,62
stand,10,live,14,unprecedented,12,canadian,13,parliament,10,liberals,10,liberals,62
canada,9,farmers,14,workers,12,businesses,13,trudeaus,9,parliament,10,covid19,54
trudeaus,9,liberals,14,businesses,12,world,12,celebrating,9,world,9,country,51
government,8,watch,14,work,11,workers,12,programs,8,help,8,crisis,47
community,8,canadian,10,taxes,11,real,11,country,8,month,8,work,45
statement,8,people,10,justin,11,canadas,11,canadian,8,government,8,support,45
country,8,end,10,measures,10,ensure,11,liberals,8,canadian,8,canadian,44
plan,7,weak,9,canada,10,support,11,work,8,chinese,8,live,42
fighting,6,jobs,8,important,9,pandemic,10,world,8,work,7,workers,42
real,6,leadership,8,protect,9,continue,10,weak,7,mps,7,world,39
life,6,#qp,8,communities,9,liberal,10,month,7,#backtoworkbonus,7,businesses,39
liberals,6,economy,8,continue,9,live,10,behalf,7,shut,7,letting,36
victims,6,teck,7,health,9,justin,9,women,7,behalf,6,spending,36
tamil,6,work,7,spread,9,family,9,covid19,7,heritage,6,pandemic,35
party,6,coastal,7,liberal,8,health,9,thank,7,deserve,6,parliament,35
health,6,law,7,spoke,8,parliament,9,across,7,important,6,liberal,34
family,6,action,7,behalf,8,forward,9,support,7,live,6,economy,33
important,6,activists,7,trudeaus,8,behalf,8,liberal,6,party,6,stand,33
taxes,6,radical,6,real,8,work,8,stand,6,fall,6,health,32
challenges,5,families,6,liberals,8,questions,8,live,6,liberal,6,behalf,32
families,5,help,6,crisis,8,failures,8,workers,6,celebrating,6,thank,32
thank,5,history,6,economy,8,response,8,falling,6,celebrate,5,real,31
generations,5,spending,6,wasteful,7,celebrating,7,businesses,6,across,5,illegal,31
congratulations,5,opportunity,6,focused,7,thank,7,democracy,6,thank,5,important,31
proud,5,government,6,tax,7,results,7,house,6,think,5,continue,30
remember,5,stand,6,across,7,new,7,struggling,6,leadership,5,celebrating,30
heritage,5,crisis,6,vulnerable,7,minister,7,firearms,6,foreign,5,across,29
grow,5,everyone,6,working,7,may,7,health,6,businesses,5,blockades,29
firearms,5,projects,6,difficult,7,solutions,7,government,5,country,5,people,28
year,5,plan,6,safe,6,opposition,7,best,5,fix,5,watch,27
people,5,frontier,6,legislation,6,times,7,hong,5,programs,5,weak,26
iran,4,costing,6,canadas,6,put,7,communities,5,national,5,everyone,26
international,4,canadas,6,@cpc_hq,6,democracy,7,crisis,5,remember,5,communities,25
deserve,4,energy,6,thank,6,food,7,people,5,still,5,times,25
friends,4,built,6,debt,6,inperson,6,everyone,5,community,5,plan,25
making,4,put,5,take,6,plan,6,lives,5,lost,5,family,25
end,4,hard,5,conservative,6,govt,6,promised,5,questioning,5,taxes,24
happy,4,minister,5,country,6,coast,6,forget,5,communist,5,deserve,24
