;states;united;president;trump;great;people;new;house;news;american;national;white;administration;world;obama;government;country;republican;man;election;city;federal;court;working;supreme;donald;job;party;democrats;take;announce;thank;america;york;history;state;big;hard;deal;best;war;usa;russia;presidential;media;washington;post;americans;help;fbi;2016;justice;called;story;police;team;announced;iran;love;greatest;major;department;committee;press;real;senate;bernie;congress;economy;work;senator;former;decision;security;democratic;fake;john;candidate;act;full;tremendous;able;thursday;league;millions;proud;making;woman;sanders;plan;dc;reports;rights;business;law;happy;latest;please;strongly;place
states;0;74;26;14;2;12;8;4;8;4;4;6;6;8;6;2;2;8;4;6;0;4;4;0;6;2;2;4;4;0;0;2;8;2;2;2;2;0;2;0;2;2;4;4;4;0;2;0;2;2;4;2;4;2;0;0;4;2;0;2;0;0;0;0;2;8;0;2;0;4;2;2;4;8;2;6;0;6;2;2;2;0;2;2;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;2
united;0;0;24;14;2;12;10;4;8;4;4;6;4;8;4;2;2;6;4;4;2;4;2;0;4;2;2;4;2;0;0;0;10;4;2;2;2;0;2;0;2;2;4;4;4;0;2;0;0;2;4;2;4;2;2;0;2;2;0;2;0;2;0;0;2;6;0;0;0;4;2;2;2;8;2;6;0;6;2;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;2
president;0;0;0;42;12;18;4;8;10;16;2;12;8;2;8;6;10;8;8;4;0;2;6;4;6;6;2;2;6;6;0;0;2;2;2;4;4;6;2;4;2;0;4;2;4;2;4;2;0;0;0;0;4;2;0;2;4;0;2;4;2;0;0;0;4;2;0;6;0;2;4;2;6;0;0;6;4;6;2;4;6;4;2;0;2;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0
trump;0;0;0;0;8;16;2;6;6;10;2;8;12;2;6;4;6;6;6;6;0;2;6;2;6;22;2;2;8;4;0;0;2;0;2;2;2;2;4;0;0;0;6;2;2;4;6;4;0;2;4;4;4;4;0;0;4;0;0;2;4;4;0;0;4;2;0;6;0;2;2;2;6;2;0;2;2;2;2;4;4;4;0;0;4;0;2;2;0;2;0;4;2;0;0;0;2;0;0;0
great;0;0;0;0;0;10;8;6;2;4;4;4;2;0;0;0;2;4;2;0;0;2;2;4;2;0;10;4;2;0;2;0;4;4;0;4;4;4;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;4;2;2;4;0;0;0;2;0;4;2;4;4;0;0;0;0;0;2;4;2;2;4;2;2;0;0;6;4;0;0;2;0;0;0;0;0;0;0;2;0;0
people;0;0;0;0;0;0;10;4;10;12;6;6;2;0;0;2;4;4;2;0;0;0;2;0;2;4;0;2;0;2;0;2;2;2;0;4;2;4;2;0;2;6;2;0;8;4;0;2;2;2;2;0;0;2;2;2;4;2;0;4;4;0;0;0;0;0;0;0;2;2;2;0;2;0;0;6;2;0;4;2;2;2;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;2;0;2
new;0;0;0;0;0;0;0;0;0;4;2;2;4;0;2;0;0;0;2;0;4;0;0;2;0;0;0;2;0;2;0;2;6;22;2;0;0;0;0;4;2;2;0;0;2;4;4;0;0;0;0;0;2;4;2;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;4;0;0;2;4;2;0;0;0;0
house;0;0;0;0;0;0;0;0;2;0;4;24;2;0;2;2;0;2;4;2;0;2;2;4;2;0;2;0;2;4;0;2;4;0;0;2;4;2;4;0;4;0;2;0;2;2;2;2;4;2;2;0;2;0;2;0;2;2;2;0;0;0;6;8;4;2;0;0;0;2;0;2;0;2;2;0;0;0;2;4;0;0;2;0;2;0;4;0;2;0;0;2;0;2;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;2;4;0;0;2;2;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;10;0;2;2;0;0;0;2;0;4;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;0;0;12;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;4;4;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;8;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;2;6;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;2;4;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;4;2;0;0
national;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;8;0;2;0;2;2;4;2;2;0;2;0;2;0;2;0;0;0;4;0;0;0;2;0;2;2;0;2;4;2;2;2;0;4;2;0;0;2;0;0;0;0;2;0;2;12;2;0;0;4;0;0;0;0;2;0;4;10;0;2;2;0;2;2;2;2;0;0;0;0;0;4;0;2;4;0;0;2;2;2;2;0;0
