;united;states;2015;trump;president;people;new;news;party;great;big;republican;amazing;house;obama;world;white;state;best;government;fake;department;friends;tuesday;washington;full;power;seen;women;strong;place;good;source;post;usa;beautiful;american;forward;police;reported;country;told;justice;take;national;family;months;times;york;former;little;internet;senator;mike;bernie;support;media;rangers;man;love;hit;left;car;men;trade;complete;article;called;fine;america;electoral;story;russian;administration;speech;donald;human;large;election;nhs;life;federal;democrats;americans;investigating;loud;organization;free;supreme;caused;joe;convention;canada;committee;four;become;court;money;north;close
united;0;24;0;0;8;0;2;2;2;4;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;6;2;0;2;0;2;0;0;4;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;0;2;2;2;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;4;0
states;0;0;0;0;6;0;2;2;2;4;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;4;2;0;2;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;2;2;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;4;0
2015;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;8;2;8;2;10;2;4;6;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;2;4;4;0;2;0;0;0;2;2;2;0;0;4;2;2;0;0;0;0;2;2;0;0;4;0;2;0;0;6;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0
president;0;0;0;0;0;0;8;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;4;0;2;2;0;4;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;4;4;2;0;0;0;0;0;4;0;0;2;2;0;2;0;0;0;2;4;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0
people;0;0;0;0;0;0;2;4;2;4;2;2;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0
new;0;0;0;0;0;0;0;2;2;6;2;2;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;4;4;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;4;0;10;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;4;2;2;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;2;2;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0
great;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;4;2;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;2;4;0;0;0;6;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;4;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0
amazing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;2;0;6;0;0;0;6;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;4;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
friends;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
