;colorado;state;covid19;health;coloradans;home;care;help;#doingmypartco;live;people;stay;work;important;year;update;cases;@ltgovofco;watch;positive;@kerrydonovansd5;@mccluskieforco;money;together;continue;spread;order;saving;provide;new;#covid19colorado;testing;thank;@cdphe;coronavirus;working;resources;case;individuals;facebook;protect;public;great;#unitedwaychat;states;presumptive;12;possible;community;critical;safe;tested;life;22;free;still;family;lives;proud;press;latest;masks;la;stop;bipartisan;save;address;economy;thanks;lab;next;future;relief;friends;face;tonight;best;families;local;response;social;person;staying;insurance;take;number;heres;stand;#211colorado;cost;providing;colorados;page;march;love;school;energy;week;joined;1
colorado;0;40;46;20;10;10;10;10;6;20;10;6;6;8;8;24;18;6;20;20;8;6;8;8;8;2;8;2;10;6;6;12;10;12;12;10;4;6;2;8;2;8;12;0;6;14;4;2;2;2;2;8;4;4;4;4;0;0;8;8;8;2;2;4;2;4;8;4;4;10;4;2;4;0;2;8;4;0;2;4;2;6;0;0;6;10;2;0;0;2;6;2;6;6;4;0;0;4;8;6
state;0;0;30;12;14;8;4;10;8;10;12;0;2;6;6;10;16;12;6;14;14;12;6;14;2;6;8;2;8;12;0;10;6;12;6;10;8;4;2;2;6;2;10;4;2;10;4;4;2;2;2;4;2;6;4;4;0;4;2;4;6;2;0;2;2;4;8;4;2;10;2;6;0;2;0;10;4;2;6;0;0;0;2;2;0;10;0;2;0;2;0;0;2;4;4;2;4;4;4;4
covid19;0;0;0;12;14;8;0;16;12;18;12;8;4;8;0;32;26;0;20;26;0;0;0;2;2;20;10;0;12;10;14;14;2;14;14;0;0;18;0;10;6;8;2;0;8;16;6;2;4;0;2;16;0;2;2;0;4;4;0;4;12;2;2;10;0;0;4;2;0;8;0;0;4;4;2;8;2;0;0;10;4;6;2;2;0;12;4;4;0;2;8;6;4;6;2;0;0;6;6;6
health;0;0;0;0;22;4;34;6;6;8;14;2;6;4;10;4;6;14;6;4;12;10;18;6;2;6;4;10;6;4;0;0;0;0;4;10;2;4;2;4;6;14;4;0;2;4;0;2;4;0;0;2;0;0;4;2;2;2;2;2;2;0;0;2;6;8;4;0;8;0;0;0;2;2;0;2;0;0;2;0;0;0;4;6;4;0;0;0;0;8;0;0;4;2;0;0;0;2;8;4
coloradans;0;0;0;0;0;4;14;12;6;6;4;4;6;4;6;6;0;8;8;2;6;6;14;2;6;10;4;12;4;4;2;0;2;0;4;2;2;2;4;2;12;8;2;0;0;2;0;6;0;0;2;0;0;2;0;2;4;8;6;6;4;4;0;4;2;4;2;4;4;0;4;4;6;2;0;0;0;4;0;0;4;0;0;4;4;2;0;2;0;2;4;2;2;2;2;0;0;2;0;2
home;0;0;0;0;0;0;0;8;14;4;0;30;2;4;0;2;2;0;2;2;0;0;0;2;8;6;4;2;6;6;6;0;0;0;0;0;2;4;0;0;2;2;2;0;2;0;0;10;6;4;0;2;0;0;2;4;4;6;2;4;0;2;0;4;0;2;0;0;0;0;0;0;0;4;2;0;4;0;0;2;0;0;10;0;0;0;4;0;0;2;0;2;2;2;0;0;4;4;0;0
care;0;0;0;0;0;0;0;4;0;2;10;0;4;0;10;0;0;14;0;0;12;10;20;2;0;0;0;10;2;0;0;0;2;0;0;8;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;6;6;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2
help;0;0;0;0;0;0;0;0;8;2;4;4;2;4;4;4;2;2;4;0;2;2;2;2;0;8;0;0;4;4;4;2;0;0;2;2;4;2;4;0;4;0;0;6;2;0;0;0;2;2;6;2;2;2;2;0;4;0;4;2;2;0;0;6;0;2;2;2;0;0;2;0;4;2;2;0;0;2;2;0;0;0;4;2;0;4;0;2;4;4;4;0;0;0;0;0;4;2;0;0
#doingmypartco;0;0;0;0;0;0;0;0;0;6;2;10;4;2;0;2;0;0;2;0;0;0;0;6;4;8;0;0;0;2;8;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;4;2;2;0;2;0;2;4;2;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;0;2;2;6;0;0;0;4;0;0;0;2;0;0;0;4;0;0;2;0;0
live;0;0;0;0;0;0;0;0;0;0;6;4;0;6;0;16;2;0;22;4;0;0;0;0;0;0;2;2;6;0;6;2;0;0;6;0;2;4;2;10;0;2;4;4;2;4;0;0;0;0;2;0;0;2;0;8;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;4;2;6;0;10;0;2;0;0;2;8;4
