;canadians;trudeau;conservatives;justin;government;canadas;help;canada;letting;liberals;crisis;pandemic;covid19;parliament;world;canadian;trudeaus;businesses;support;work;workers;live;celebrating;liberal;behalf;thank;country;democracy;month;health;across;continue;programs;stand;real;deserve;shut;questions;best;cracks;house;fall;solutions;ensure;weak;family;struggling;remember;minister;lost;leadership;everyone;still;failures;important;communities;instead;govt;questioning;national;hong;heritage;new;community;marks;people;response;food;opposition;coast;fix;party;honour;may;communist;results;times;forward;lives;role;cost;transparency;plan;falling;week;essential;put;women;debate;service;enough;hes;farmers;mps;program;cant;commons;chinese;democratic;cerb
canadians;0;110;68;84;34;20;36;16;52;30;30;32;30;30;12;10;30;14;26;20;12;24;16;20;18;8;16;16;20;12;8;10;20;4;8;22;18;16;14;16;16;16;16;8;12;4;16;8;12;10;14;12;14;20;10;4;12;6;12;2;2;10;12;8;10;8;10;2;10;4;18;2;4;8;2;18;12;6;8;6;16;12;10;16;4;14;2;8;10;6;10;4;0;4;0;4;12;4;6;12
trudeau;0;0;44;112;40;12;30;12;64;38;10;28;22;38;8;20;8;4;14;4;12;24;0;22;4;0;10;20;6;10;4;12;18;10;6;14;20;24;4;16;14;16;10;4;6;0;10;0;4;4;6;0;12;12;4;2;18;4;14;6;6;2;6;4;0;12;6;2;10;2;18;6;0;4;6;8;6;4;2;6;8;4;6;12;2;8;6;8;14;6;6;14;4;8;6;6;8;6;6;2
conservatives;0;0;0;26;24;50;38;24;12;14;10;12;14;10;14;14;8;16;20;16;16;12;20;12;34;4;6;10;12;6;12;20;6;20;12;2;2;2;14;6;10;2;18;4;2;8;6;8;2;4;2;12;2;4;2;14;6;6;6;2;10;14;4;8;10;8;2;4;2;4;2;2;2;2;4;8;2;10;4;4;4;0;4;2;0;4;4;0;2;4;0;4;6;4;4;0;2;4;2;12
justin;0;0;0;0;22;10;10;10;52;20;12;20;10;20;4;10;32;4;12;4;6;14;0;18;2;0;4;10;6;4;0;2;8;8;4;12;16;10;0;8;8;10;8;0;10;0;4;0;8;2;8;0;8;14;4;2;6;0;12;2;4;2;2;2;0;4;2;2;6;0;4;8;0;0;6;2;2;4;0;2;12;4;2;6;2;4;2;2;8;2;8;12;2;2;2;2;6;8;6;2
government;0;0;0;0;0;2;8;10;8;8;24;10;12;6;0;8;2;2;8;4;0;8;0;18;2;2;2;6;2;6;0;12;0;6;2;8;4;6;4;2;0;6;2;4;0;2;4;0;0;2;2;0;0;6;6;0;6;0;2;0;0;0;4;2;0;2;6;2;2;2;0;0;0;0;4;2;0;6;2;2;2;6;4;0;4;6;2;2;6;4;4;0;4;0;0;0;0;4;2;2
canadas;0;0;0;0;0;0;4;14;2;0;2;6;2;0;16;4;0;4;8;4;6;2;26;4;34;6;6;4;14;2;10;2;2;8;0;0;0;0;14;0;0;2;0;0;0;6;0;6;2;2;0;14;2;0;4;10;0;0;2;8;6;18;6;8;12;6;2;2;0;2;0;2;8;2;2;0;0;2;2;0;0;0;2;0;4;0;0;0;0;4;0;0;4;0;2;0;0;2;2;0
help;0;0;0;0;0;0;0;4;12;14;6;8;8;2;0;12;4;20;16;6;22;8;0;8;2;4;4;2;2;2;4;12;4;6;18;0;0;2;2;10;0;0;14;8;0;0;10;0;2;2;0;0;4;0;2;4;8;8;0;2;0;0;2;0;0;6;2;4;0;4;6;0;0;6;0;2;0;8;0;0;0;0;8;8;6;2;6;2;2;0;0;0;4;2;4;2;0;0;0;6
canada;0;0;0;0;0;0;0;0;6;0;8;16;8;2;22;8;2;0;2;6;0;4;6;6;8;8;8;2;2;6;14;0;0;8;0;2;0;0;8;4;0;2;6;2;0;4;0;6;2;4;0;6;4;2;4;4;2;0;2;0;2;0;2;6;2;8;2;0;2;2;0;2;4;2;2;2;8;8;4;0;2;2;0;2;0;0;2;2;0;0;0;2;2;0;2;2;0;0;6;2
letting;0;0;0;0;0;0;0;0;0;4;0;8;2;14;2;4;8;4;2;2;6;6;0;10;0;0;4;2;4;2;2;2;14;2;2;8;6;4;0;10;2;8;4;0;2;0;6;0;4;4;2;0;6;0;2;0;2;0;4;2;0;0;4;0;0;4;2;0;4;0;8;0;0;2;0;2;2;0;0;2;0;2;0;10;0;0;0;2;2;0;4;10;0;4;0;0;2;0;2;0
liberals;0;0;0;0;0;0;0;0;0;0;10;12;10;6;0;6;12;10;4;6;8;10;0;2;0;0;2;6;4;2;0;2;8;0;6;6;12;4;0;4;8;6;6;0;2;0;4;0;0;0;2;0;4;8;4;0;6;4;6;4;0;0;2;2;0;4;2;0;2;0;8;0;0;2;0;2;0;0;0;0;6;2;6;2;2;0;2;0;2;0;0;4;0;2;2;0;4;0;0;0
