;florida;state;floridas;year;great;hurricane;new;strong;recovery;communities;info;million;fl;billion;family;floridians;opportunities;economic;announce;pleased;proud;forward;business;2020;infrastructure;2019;administration;chance;work;@flcaseydesantis;office;help;@flsert;president;future;major;continue;initiative;opportunity;executive;impact;remains;resources;commitment;states;best;taxes;education;count;committee;michael;bold;families;thank;protecting;results;everglades;took;health;awarded;natural;session;enjoyed;parents;environment;program;legislature;season;efforts;safe;details;foundation;montalvo;irma;legislative;jobs;honored;study;invest;happy;order;awareness;successful;low;positive;success;management;system;working;implement;care;statewide;announced;nw;provide;military;100;honor;maintaining;dollars
florida;0;16;6;2;8;4;6;6;2;4;4;8;2;2;0;4;6;6;4;4;4;2;8;6;2;4;0;0;4;4;0;0;2;0;4;2;2;4;4;0;4;4;0;2;0;6;4;4;2;2;2;0;2;2;2;2;0;0;4;2;0;2;4;2;2;6;4;2;6;2;2;4;0;2;2;2;2;4;2;0;0;0;4;4;0;2;4;4;2;0;2;4;2;2;4;4;0;2;4;0
state;0;0;6;2;2;0;4;4;0;0;0;0;4;0;4;4;0;2;2;0;4;4;8;0;0;2;0;2;4;0;4;0;2;0;4;2;2;2;2;4;2;4;0;0;0;6;2;2;0;0;0;0;0;2;4;0;0;2;0;0;0;2;2;0;2;2;2;2;2;0;4;0;4;0;2;0;0;2;0;0;2;0;2;2;2;4;2;2;2;0;0;2;0;2;0;2;0;2;2;0
floridas;0;0;0;2;2;0;2;4;0;0;2;0;0;4;0;0;0;6;2;0;6;2;4;4;0;2;2;4;4;2;0;2;0;2;4;2;2;2;4;2;4;4;2;0;4;2;2;2;2;2;0;2;0;2;2;4;0;0;0;0;2;2;4;2;4;0;2;4;2;0;4;2;0;0;2;2;2;2;0;0;0;2;0;2;6;4;0;2;2;0;0;2;2;0;0;2;2;0;2;0
year;0;0;0;0;6;4;6;0;4;0;2;2;0;0;4;2;0;0;0;0;2;4;0;4;0;2;0;0;4;0;2;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2
great;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;6;2;2;0;0;2;4;0;0;0;4;0;0;0;0;2;2;0;0;4;0;0;2;0;2;4;0;4;0;2;0;0;0;0;2;4;0;2;2;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0
hurricane;0;0;0;0;0;0;2;0;10;8;2;8;2;4;0;0;0;0;0;0;2;0;0;2;4;4;4;0;0;0;2;2;6;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;2;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;4
new;0;0;0;0;0;0;0;0;2;2;4;2;4;0;4;0;2;0;4;4;4;2;2;4;2;2;0;0;0;0;0;4;2;0;0;2;2;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2
strong;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;4;2;2;0;0;2;4;0;4;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;4;2;4;0;4;0;0;0;0;0;0;2;0;0;2;0;4;4;0;0;0;2;0;6;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4
communities;0;0;0;0;0;0;0;0;0;0;2;8;4;4;0;0;2;0;2;2;2;0;0;0;6;2;4;0;0;0;2;4;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0
