;#americanidol;love;@lukebryanonline;tonight;new;performance;think;@lionelrichie;#shoesdaytuesday;live;#daisies;@kpcollections;@abcnetwork;tune;@americanidol;u;cant;hope;@;next;believe;people;season;forget;best;good;@vogueindia;#hollywoodweek;show;ive;week;3;voice;jan;thank;song;pt;someone;87c;10;incredible;seen;top;coming;proud;yes;anyone;et;favorite;music;night;may;ready;coast;heart;covid19;hollywood;year;happy;took;sometimes;episode;makes;put;ok;efforts;big;world;talent;light;link;talk;eyes;still;looks;home;video;vote;2020;seeing;gonna;watch;grandma;n;mean;aka;journey;little;give;items;wanna;wait;watching;bio;2;@ryanseacrest;continue;check;real;take
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;0;0;2;2;0;0;0;4;0;0;0;2;0;0;0;0;10;0;14;2;0;2;6;2;0;0;0;8;4;0;2;0;0;6;0;0;0;0;0;0;0;8;2;2;2;0;2;0;2;0;0;6;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
@americanidol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;12;0;0;0;0;0;2;0;2;10;0;0;0;0;2;0;12;2;0;0;2;2;0;0;0;2;2;0;0;2;2;6;0;0;0;2;2;0;0;2;2;2;0;0;2;0;4;0;0;2;2;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;2;4;2;0;0;0
u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;2;2;0;2;4;0;0;2;0;0;0;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;4;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;4;0;12;0;0;0;0;2;2;0;0
hope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;2
@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;4;0;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;0;0;10;6;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
season;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
forget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;4;0;0;0;0;2;4;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0;0;2;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
