;united;states;great;president;trump;people;new;american;house;federal;government;state;national;best;administration;republican;news;working;history;man;department;white;obama;job;court;thank;world;york;night;media;country;democrats;party;congress;senate;end;big;million;russia;campaign;story;fbi;presidential;love;support;security;think;act;americans;proud;election;2016;fake;former;important;help;america;supreme;military;justice;senator;clinton;city;beautiful;may;investigation;political;killed;take;together;washington;released;death;left;hoax;war;year;young;bill;strong;nation;part;university;hillary;china;good;full;information;article;vote;times;shooting;complete;community;video;donald;looking;work;win;post
united;0;174;10;48;16;18;10;10;10;8;14;14;12;2;6;10;4;6;18;2;10;6;6;6;8;4;12;6;2;4;16;4;6;8;6;4;4;2;10;2;2;2;4;4;2;4;2;4;0;2;8;6;2;4;4;2;18;8;4;0;0;8;4;2;4;0;4;2;8;2;4;2;6;4;2;10;4;2;2;0;4;0;2;4;12;0;2;4;2;0;2;0;2;0;0;6;2;4;0;4
states;0;0;12;42;10;22;10;8;6;8;14;16;10;0;4;6;6;6;16;2;10;4;6;6;10;4;12;6;0;4;14;4;4;6;6;2;2;2;10;2;2;2;4;4;2;4;2;4;0;2;8;4;2;2;4;2;18;10;4;0;0;8;4;2;4;0;4;2;6;2;2;2;2;4;2;10;4;2;2;0;4;0;2;4;12;0;2;4;2;0;2;0;2;0;0;4;4;4;0;4
great;0;0;0;24;28;32;26;34;10;10;6;16;8;12;12;14;14;14;4;16;4;4;10;18;2;24;0;12;4;6;8;2;6;2;0;2;6;4;2;12;2;4;6;14;6;2;2;4;4;16;2;2;2;4;6;4;14;2;16;4;18;6;8;4;2;4;2;0;4;4;4;0;2;6;0;6;2;0;8;8;6;0;2;4;2;8;2;2;2;10;4;0;6;2;0;4;4;14;4;2
president;0;0;0;0;80;18;12;28;28;14;18;14;10;4;4;10;12;4;22;12;14;20;10;14;4;8;0;6;4;12;16;6;6;12;12;2;4;8;2;10;0;8;10;0;4;12;8;6;6;4;4;6;12;12;2;0;8;4;4;6;0;10;8;0;6;10;10;0;2;0;6;6;2;6;4;8;0;0;4;4;6;2;0;10;10;2;2;4;6;2;4;2;6;0;2;12;4;6;2;6
trump;0;0;0;0;0;14;14;12;28;16;8;14;14;2;32;14;12;2;8;2;14;20;12;16;10;6;6;6;10;6;0;10;6;8;8;2;6;6;10;32;6;14;16;2;2;16;10;4;12;2;10;14;8;8;2;2;4;4;2;8;2;10;4;0;4;16;6;0;2;0;12;8;2;4;4;4;0;2;6;2;2;0;6;8;2;4;4;6;4;4;4;0;6;2;2;26;6;4;4;8
people;0;0;0;0;0;0;16;36;4;6;8;12;8;2;2;4;8;14;6;4;2;2;6;6;4;10;8;8;4;2;2;4;6;4;4;2;4;10;0;10;4;0;4;8;6;4;2;8;6;12;2;0;0;2;4;6;12;4;2;0;2;4;6;4;4;0;8;14;0;4;2;2;2;6;0;4;4;10;6;2;6;2;0;6;6;8;2;4;0;2;0;6;0;6;2;0;2;8;2;0
new;0;0;0;0;0;0;0;4;4;6;10;6;8;8;6;6;12;4;6;0;6;4;6;10;0;6;0;48;4;2;4;2;2;4;4;4;6;6;4;0;8;4;2;4;0;4;4;4;6;8;2;0;4;4;2;2;2;0;2;2;6;6;10;4;0;2;0;4;2;0;2;8;0;0;4;2;2;2;4;2;2;2;6;4;2;4;0;0;0;2;22;0;2;2;2;2;4;2;0;6
american;0;0;0;0;0;0;0;0;10;10;8;6;6;8;12;8;4;10;10;6;4;2;18;4;0;4;2;4;6;0;6;6;4;12;4;0;2;4;0;4;6;4;4;0;6;2;4;4;2;6;2;0;2;2;2;0;4;0;2;4;0;6;2;2;0;0;0;2;2;0;0;4;0;0;2;2;4;0;4;2;2;0;0;6;2;4;2;2;0;0;2;4;2;0;0;0;2;2;0;2
house;0;0;0;0;0;0;0;0;0;10;4;4;4;0;4;4;4;4;12;0;6;56;2;4;4;2;2;0;2;2;2;8;4;4;16;0;2;6;0;2;2;4;2;6;2;4;0;6;0;0;4;4;2;2;0;4;6;2;2;6;0;4;2;0;6;6;2;2;6;2;4;0;0;4;0;0;4;4;8;2;2;2;2;2;2;0;4;2;2;8;2;0;2;0;2;4;2;2;4;4
federal;0;0;0;0;0;0;0;0;0;0;24;6;2;2;6;2;0;6;8;2;6;6;2;4;8;2;2;0;0;2;2;4;2;4;0;4;4;2;0;0;0;4;2;0;0;2;0;2;2;2;6;4;0;2;0;2;4;4;0;4;0;2;6;0;0;6;0;0;0;0;2;0;2;0;0;0;2;0;2;2;4;6;2;0;0;2;0;2;4;0;0;0;2;0;0;2;0;2;0;2
