;email;councillor_matlow@torontoca;please;welcome;feel;thank;city;support;community;happy;toronto;care;health;public;id;ive;police;covid19;love;hi;staff;council;number;motion;call;reach;together;people;good;budget;homes;pandemic;@johntory;residents;kind;believe;pleasant;mount;safe;emergency;agree;work;longterm;understand;office;government;distancing;conversation;discuss;local;citys;certainly;lets;workers;thoughtful;wonderful;important;working;thanks;details;send;hope;everyone;yes;update;family;mayor;person;cemetery;@kristynwongtam;ones;hear;construction;st;new;beautiful;meeting;loved;pleasure;follow;week;businesses;part;write;due;wish;appreciate;actually;best;ontarios;phone;safety;take;social;physical;home;@sulu1980;still;deeply;grateful
email;0;464;422;368;360;20;30;16;4;74;16;8;28;18;82;18;6;2;8;78;24;8;80;10;60;68;0;0;6;0;2;0;44;2;4;4;26;26;2;22;30;6;2;18;42;14;0;10;30;10;12;24;2;0;4;2;0;8;10;32;32;8;2;10;24;4;2;2;22;6;20;14;4;0;2;2;2;22;2;28;20;2;0;0;2;8;6;8;8;0;24;2;4;0;0;0;6;8;0;0
councillor_matlow@torontoca;0;0;406;368;360;18;22;14;4;82;14;8;26;16;86;18;6;2;4;80;18;6;80;10;62;72;0;0;4;0;2;0;42;4;6;4;26;26;2;20;30;6;2;16;40;14;0;8;40;10;12;20;0;0;6;2;0;8;10;32;36;8;2;10;22;4;0;2;22;6;20;10;4;0;2;2;2;22;2;24;20;2;2;0;4;8;6;8;6;0;24;2;2;0;0;0;4;6;0;0
please;0;0;0;342;346;16;24;22;10;60;16;10;24;18;58;22;12;4;8;74;26;14;58;10;36;54;2;0;4;2;4;4;42;6;4;2;24;24;4;12;26;4;4;16;36;12;2;8;28;12;8;20;4;2;6;2;2;6;6;30;32;6;4;10;24;4;8;0;22;6;20;10;4;2;2;2;6;22;2;26;14;4;0;0;6;4;4;6;4;2;20;2;2;0;2;2;4;8;2;0
welcome;0;0;0;0;364;6;14;10;8;56;12;4;30;18;48;16;2;2;4;60;14;4;48;4;36;48;0;2;4;0;0;0;38;4;2;2;24;24;2;22;28;6;0;12;42;12;0;6;30;10;12;10;0;0;4;2;0;6;6;24;16;0;2;2;20;2;0;0;22;6;20;12;4;0;2;0;4;22;0;14;12;2;0;0;4;6;2;6;2;0;14;2;0;0;0;0;0;6;0;0
feel;0;0;0;0;0;6;12;6;4;52;12;4;30;18;48;18;2;4;4;62;14;4;44;4;30;48;2;2;2;0;0;2;38;2;2;0;24;24;2;20;26;8;0;14;42;12;2;6;30;10;12;10;2;0;2;2;2;6;6;24;16;0;0;2;20;2;0;2;22;6;20;12;4;0;2;0;2;22;0;14;12;4;0;0;4;4;4;6;0;0;12;4;0;2;0;0;0;8;0;2
thank;0;0;0;0;0;0;10;16;22;6;10;10;12;2;8;10;2;6;20;6;8;4;8;4;10;8;6;6;6;0;8;4;6;2;30;4;0;0;6;2;2;16;4;0;0;4;0;6;6;4;0;4;4;12;12;8;12;2;0;0;2;2;6;0;0;4;4;0;0;6;0;2;0;2;2;2;0;0;6;4;4;2;6;20;0;4;8;0;6;6;4;4;2;0;0;0;4;2;8;8
city;0;0;0;0;0;0;0;16;18;4;50;18;0;8;4;6;26;10;6;8;28;52;0;32;6;0;4;2;2;14;18;8;4;16;0;2;0;0;2;2;0;4;12;4;4;10;0;2;4;8;8;2;4;10;4;0;0;4;4;4;0;4;4;4;6;0;12;0;0;2;0;2;8;0;4;2;18;0;2;10;6;0;2;0;8;0;0;0;4;4;0;4;4;0;0;2;2;2;0;0
support;0;0;0;0;0;0;0;0;20;2;16;34;14;10;4;4;10;20;22;6;12;8;2;14;6;4;10;4;14;6;20;4;4;20;2;6;4;4;6;6;0;10;20;4;0;8;2;0;0;12;0;6;6;12;4;2;6;4;2;0;2;2;8;0;0;6;8;6;0;2;4;2;0;8;6;2;6;4;4;0;4;18;8;2;12;4;0;2;6;6;0;0;2;2;6;2;2;2;10;8
community;0;0;0;0;0;0;0;0;0;12;12;12;12;10;2;8;12;10;16;2;24;12;0;8;2;2;26;10;6;12;2;12;0;14;2;6;2;2;4;8;0;16;2;0;2;0;6;8;4;16;10;0;10;2;6;6;6;4;6;2;0;2;10;0;10;6;2;2;0;4;4;0;0;10;2;4;12;4;6;2;0;10;6;2;2;4;4;2;0;0;0;6;2;2;2;2;4;0;10;6
happy;0;0;0;0;0;0;0;0;0;0;2;4;16;8;82;8;4;0;6;18;6;0;50;6;38;52;12;2;10;0;0;2;6;4;2;2;4;2;0;4;2;0;0;6;2;4;2;14;24;8;4;4;2;0;4;2;2;0;2;2;16;4;8;0;0;8;2;0;2;0;0;4;0;2;0;0;0;0;2;4;8;0;2;0;4;8;4;2;0;0;16;2;2;2;0;0;0;0;0;0
toronto;0;0;0;0;0;0;0;0;0;0;0;8;18;24;2;4;42;16;4;8;4;34;2;20;4;2;4;2;0;20;12;6;0;10;0;0;0;0;10;12;0;4;4;0;6;4;0;0;4;2;4;2;0;6;8;0;2;0;4;4;2;0;4;2;2;2;8;2;0;4;0;0;6;0;6;0;10;0;4;4;0;6;2;0;6;0;0;2;0;4;2;6;0;0;0;2;0;2;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;8;12;0;4;0;12;12;6;22;0;2;2;12;0;4;14;2;0;58;8;2;34;6;6;2;0;4;2;0;10;52;0;0;2;2;2;2;4;2;2;8;10;4;4;10;6;2;0;0;2;6;2;0;4;2;4;2;2;4;0;0;2;0;2;2;4;4;0;2;6;8;6;2;4;6;0;0;28;0;10;8;0;0;8;0;0;14;4
