;de;les;la;et;à;le;des;trudeau;pour;du;en;canadians;canadiens;justin;nous;que;canada;au;qui;un;conservatives;une;ont;pas;conservateurs;aux;notre;covid19;cette;ce;est;sur;nos;il;ne;gouvernement;je;government;vous;plus;sont;tous;leur;help;libéraux;aujourdhui;se;trudeaus;canadas;liberals;par;pays;avec;doit;cest;country;son;votre;dans;crise;plan;crisis;leurs;support;canadian;work;important;aider;questions;tomber;ils;leadership;workers;live;direct;travailleurs;besoin;ses;ces;faire;tout;world;businesses;entreprises;ceux;temps;laisse;santé;fait;quil;monde;durant;toujours;continue;letting;spending;travail;avons;pourquoi;parliament
de;0;678;610;636;516;510;480;338;342;346;324;0;354;168;278;242;170;222;206;206;0;172;192;172;176;172;160;90;174;138;162;150;132;130;136;150;140;0;100;116;114;114;116;0;112;106;96;0;0;0;102;82;76;72;76;0;74;64;76;76;30;0;72;0;2;0;22;52;38;58;60;40;0;0;60;58;62;58;58;66;64;0;0;50;42;66;60;58;50;56;60;66;60;8;0;0;46;50;58;0
les;0;0;528;586;484;462;460;330;346;328;316;0;408;174;264;220;174;198;224;182;0;162;182;164;226;146;144;76;152;140;126;144;98;120;138;142;116;0;100;106;116;130;94;0;120;94;118;0;0;0;80;82;76;82;70;0;64;48;68;78;40;0;76;0;2;0;20;74;34;76;64;28;0;0;56;70;72;58;44;62;50;0;0;60;54;50;64;38;40;50;54;58;66;10;0;0;54;38;50;0
la;0;0;0;512;438;394;390;258;302;286;272;0;260;126;214;198;138;168;168;164;0;144;142;124;128;150;138;98;122;102;120;142;110;88;112;108;118;0;84;86;106;100;94;0;86;90;74;0;0;0;92;76;74;48;70;0;58;48;64;54;26;0;50;0;2;0;14;52;28;36;42;22;0;0;62;54;40;46;44;44;50;0;0;48;46;40;34;56;44;48;48;46;46;4;0;0;34;40;44;0
et;0;0;0;0;454;434;412;256;300;308;266;0;296;114;258;218;162;202;182;158;0;158;146;124;162;142;144;72;144;130;126;116;122;90;118;112;124;0;74;106;102;118;104;0;84;92;96;0;0;0;72;84;82;68;54;0;64;52;70;64;32;0;64;0;2;0;20;56;32;32;48;26;0;0;36;64;52;42;52;52;52;0;0;56;54;54;30;50;56;44;62;48;50;2;0;0;56;44;32;0
à;0;0;0;0;0;356;366;264;212;250;220;0;256;134;190;168;134;172;202;166;0;130;116;112;128;104;124;74;118;104;112;114;78;88;100;112;138;0;96;76;80;124;72;0;76;74;68;0;0;0;74;70;64;62;64;0;68;42;56;52;12;0;44;0;2;0;18;48;26;36;30;22;0;0;48;38;30;52;44;42;50;0;0;32;58;36;28;38;42;40;46;46;34;10;0;0;40;30;40;0
le;0;0;0;0;0;0;326;244;240;224;222;0;244;114;186;176;152;140;160;144;0;132;114;120;126;114;110;46;106;110;116;102;78;80;98;120;104;0;58;74;78;88;72;0;70;80;86;0;0;0;74;66;54;78;54;0;50;18;72;60;32;0;46;0;2;0;14;32;20;42;30;26;0;0;48;28;38;44;38;50;66;0;0;32;42;42;40;22;52;44;54;40;36;8;0;0;36;30;40;0
des;0;0;0;0;0;0;0;242;240;232;210;0;260;106;180;154;124;156;154;144;0;112;118;118;144;128;110;52;92;104;84;86;74;74;82;108;98;0;76;86;82;72;70;0;82;66;62;0;0;0;72;60;52;52;46;0;48;32;52;46;26;0;44;0;2;0;8;54;38;44;48;20;0;0;50;36;40;36;34;38;42;0;0;40;38;46;36;40;36;42;48;42;38;4;0;0;34;44;34;0
trudeau;0;0;0;0;0;0;0;0;124;114;164;150;196;408;88;134;74;70;88;92;78;100;88;110;80;86;82;48;40;60;90;78;34;102;98;80;46;60;70;52;46;12;42;38;78;18;48;18;24;58;30;42;36;66;54;32;48;12;24;28;28;16;28;20;28;10;18;18;54;80;26;42;16;48;60;12;32;54;42;44;42;8;6;10;6;26;70;10;36;44;10;14;24;24;64;26;12;16;36;40
pour;0;0;0;0;0;0;0;0;0;162;152;0;166;70;132;118;96;90;98;102;0;76;78;66;112;86;78;40;82;60;74;74;60;52;44;62;58;0;52;56;60;72;58;0;44;42;70;0;0;0;50;40;38;24;30;0;28;34;34;24;38;0;32;0;2;0;16;58;18;20;22;10;0;0;24;36;34;18;26;22;22;0;0;38;32;30;18;28;26;20;32;30;30;4;0;0;42;38;18;0
du;0;0;0;0;0;0;0;0;0;0;128;0;148;56;130;100;138;114;110;94;0;82;80;48;114;96;62;34;78;64;66;68;68;44;42;76;86;0;52;48;40;72;40;0;40;70;46;0;0;0;44;48;36;32;30;0;40;22;40;28;16;0;28;0;2;0;10;16;12;26;28;22;0;0;18;26;30;14;26;28;18;0;0;24;34;24;22;16;26;22;44;28;30;6;0;0;22;22;12;0
en;0;0;0;0;0;0;0;0;0;0;0;0;182;96;110;112;76;96;116;90;0;88;98;70;72;84;76;38;94;66;72;70;60;54;56;62;82;0;40;52;70;48;50;0;50;40;58;0;0;0;44;54;44;36;34;0;16;34;26;50;18;0;18;0;0;0;12;34;28;28;20;12;0;0;80;28;24;28;34;28;32;0;0;18;30;36;24;26;18;24;16;28;30;4;0;0;28;12;20;0
canadians;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;28;0;0;0;132;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;78;0;0;0;50;36;50;0;2;0;0;0;38;0;0;0;0;14;46;0;54;14;38;28;0;22;0;0;20;22;32;0;0;0;0;0;0;0;18;26;0;0;0;0;0;0;0;0;0;0;26;52;28;0;0;0;34
