;#covid19;#akgov;#alaska;live;cases;alaskans;@alaska_dhss;new;tonight;briefing;press;state;alaska;info;tests;cumulative;deaths;todays;watch;0;apply;1;update;alaskas;latest;fishing;rate;travel;thank;help;capacity;announced;interstate;ak;great;#reopenalaskaresponsibly;hall;international;22;proclamation;holding;answer;11;june;numbers;activities;#alaskas;travelers;case;covid19;yesterday;outdoor;another;recovered;hospitalized;housing;wont;average;village;details;rent;care;virtual;stay;@realdonaldtrump;health;12new;across;encourage;federal;family;page;economy;lost;hospitalization;49total;act;sanitizer;@akdnr_official;agreement;protocols;11new;may;cares;visit;12;grant;seasonally;unemployment;dept;anchorage;guidance;1200;work;discussing;stabilize;salmon;eligible;3;set
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;2;2;0;4;0;2;2;2;4;2;2;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;4;0;0;0;2;4;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;0;0;0;0;4;0;2
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;6;0;6;0;6;4;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;6;0;2;0;4;4;0;0;2;6;6;0;2;2;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;4;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
cumulative;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;6;0;6;4;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;6;0;2;0;4;4;0;0;2;6;6;0;2;2;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;4;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
deaths;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;6;4;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;6;0;2;0;4;4;0;0;2;6;6;0;2;2;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;4;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;6;0;2;2;0;0;2;0;2;2;0;0;2;2;2;0;0;0;4;0;4;0;2;2;6;4;0;0;0;6;2;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;4;2;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;2;4;2;0;0;2;4;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;4;0;0;0;4;4;0;2;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
apply;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;4;0;4
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;2;2;0;0;2;2;4;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
