;arizona;health;#covid19;public;thank;protect;testing;state;grateful;safety;continue;work;arizonans;spread;care;contain;continued;safe;leaders;@azdhs;guidance;1;across;support;working;provide;arizonas;home;local;contact;@drcarachrist;families;fellow;partnership;director;mask;@azstateforestry;communities;ppe;call;tracing;#returnstronger;schools;2;latest;school;important;education;3;discuss;law;22;#maskupaz;together;women;additional;expand;information;@supt_hoffman;providing;governors;workers;nation;kids;forward;enforcement;ensure;firefighters;available;efforts;wildfires;resources;role;help;hours;4;new;operations;cooperation;options;joining;#bighornfire;people;classroom;face;stay;honor;emergency;az;students;@uarizonapres;throughout;wear;@vp;safely;focused;men;follow;plan;@arizona_dps
arizona;0;28;34;20;16;22;18;16;26;18;8;12;10;18;12;14;12;12;8;12;4;18;14;12;10;14;8;4;2;8;8;8;4;4;8;2;2;2;6;6;8;8;4;4;8;2;4;8;2;6;2;2;2;12;4;4;10;6;2;8;4;8;8;4;8;2;4;2;4;6;4;8;2;10;2;2;6;4;2;4;8;0;4;6;2;0;2;10;4;2;6;8;2;6;6;4;2;2;4;2
health;0;0;34;44;14;18;18;14;16;32;14;8;4;14;18;12;18;6;10;8;12;8;8;6;6;8;6;4;4;4;6;4;2;10;2;4;0;2;4;8;6;4;0;6;4;2;2;2;4;6;2;2;0;4;0;2;10;0;8;6;2;12;0;4;0;0;4;0;2;4;2;0;6;4;2;2;2;4;6;2;4;0;2;4;2;4;2;4;8;8;12;4;2;4;4;4;0;6;0;0
#covid19;0;0;0;14;2;10;30;16;8;10;8;16;4;30;14;26;10;0;4;18;0;14;10;6;0;12;8;4;0;8;8;2;6;4;8;2;0;0;8;10;8;2;2;0;12;0;4;0;4;10;0;4;0;2;0;4;12;10;0;4;6;10;2;0;0;0;0;0;8;6;0;2;4;2;6;0;2;0;0;0;8;0;2;2;0;0;0;2;4;4;10;6;0;6;0;4;0;0;0;0
public;0;0;0;0;6;14;6;4;12;24;14;4;10;8;0;6;6;6;4;4;12;6;6;4;4;2;4;6;4;2;4;2;4;2;2;4;0;0;2;8;4;4;0;0;4;2;0;2;2;4;4;0;2;4;0;2;6;0;2;2;2;2;0;2;2;2;2;0;0;2;2;0;4;2;0;2;0;0;8;0;2;0;0;4;2;6;2;2;8;4;2;2;4;4;4;2;0;6;0;2
thank;0;0;0;0;0;14;2;18;8;18;4;16;8;0;0;2;10;6;8;2;2;6;6;14;10;0;10;0;2;0;2;4;2;2;2;0;10;4;0;4;0;4;2;0;0;0;0;6;0;0;8;0;0;4;6;0;2;0;10;2;2;0;2;4;2;8;4;10;0;2;6;2;0;4;4;0;0;4;4;4;0;4;6;4;0;0;0;4;4;4;0;0;0;2;4;0;6;2;4;2
protect;0;0;0;0;0;0;6;4;8;12;8;10;2;8;4;10;2;6;4;2;4;4;6;4;10;2;4;2;2;2;2;2;0;0;0;8;8;4;2;4;2;4;0;4;2;0;0;0;2;4;4;0;8;0;2;2;6;0;0;4;0;4;2;0;0;4;2;4;0;2;4;0;2;4;2;0;0;4;0;0;2;2;6;2;2;0;0;4;8;4;4;2;4;4;2;0;0;2;0;2
testing;0;0;0;0;0;0;0;14;2;2;8;4;0;12;16;8;10;0;2;12;4;6;6;4;0;6;4;0;0;12;0;0;4;4;0;0;0;0;12;4;10;2;0;2;6;0;0;0;0;8;0;0;0;0;0;6;14;8;0;6;4;6;0;0;0;0;0;0;8;6;0;2;0;0;6;2;2;0;0;0;0;0;0;2;0;0;0;2;4;2;8;6;0;6;2;4;0;4;0;0
state;0;0;0;0;0;0;0;0;8;6;4;10;4;2;10;4;4;6;8;6;0;6;14;4;4;6;4;0;2;2;0;0;4;0;0;0;6;2;0;0;2;0;0;2;0;0;0;2;4;2;4;0;0;0;2;0;4;2;2;2;2;8;2;2;2;4;0;6;6;2;8;0;0;2;4;0;0;2;2;0;0;6;6;2;0;0;6;4;0;0;6;8;0;0;2;2;2;2;0;2
grateful;0;0;0;0;0;0;0;0;0;12;8;14;6;2;2;2;18;8;14;2;2;4;4;6;8;2;6;2;2;2;2;0;2;10;0;2;4;4;2;6;2;2;0;2;2;2;0;4;2;6;0;2;0;12;8;0;0;0;4;2;4;2;6;8;8;0;6;2;0;0;2;2;2;0;2;0;0;2;4;0;2;4;2;6;0;2;2;4;0;0;2;4;2;4;6;4;6;2;0;2
safety;0;0;0;0;0;0;0;0;0;0;10;4;8;2;2;4;10;4;2;2;4;4;6;4;8;2;4;2;4;0;4;0;4;4;2;0;8;0;0;2;0;2;2;0;2;4;2;0;0;0;2;0;0;4;0;2;2;0;6;4;2;4;0;4;0;2;2;6;2;0;6;0;6;0;2;2;0;2;6;2;4;4;2;4;0;2;2;2;2;2;2;0;0;2;4;2;0;6;2;2
