;virginia;#covid19;health;virginians;commonwealth;continue;public;work;phase;help;care;testing;working;may;important;virginias;together;people;new;home;briefing;state;federal;pandemic;watch;stay;crisis;support;local;across;week;safely;thank;workers;businesses;justice;ppe;live;ensure;communities;restrictions;200;response;latest;laws;year;safe;forward;safety;still;remain;lives;proud;move;capacity;tune;place;access;northern;signed;announced;data;tests;holding;order;next;take;additional;update;plan;starting;protect;face;weeks;provide;cases;times;fight;students;taking;todays;medical;join;updates;benefits;act;full;distancing;education;begin;use;action;june;families;emergency;great;find;information;country;means
virginia;0;92;26;30;28;26;18;20;24;26;8;10;18;16;26;0;14;8;22;16;22;18;18;10;20;6;18;20;6;12;12;10;6;12;6;12;14;18;12;12;8;16;6;18;14;8;10;14;6;8;10;8;16;10;8;16;4;0;26;16;8;8;4;18;8;12;10;12;6;10;14;4;2;12;10;10;10;14;2;4;2;6;10;16;6;10;8;4;2;4;8;10;10;16;8;4;4;2;6;6
#covid19;0;0;36;54;14;16;18;16;4;36;14;26;14;14;18;30;14;10;16;14;36;18;20;32;40;6;20;24;12;12;10;8;14;14;18;2;14;26;8;10;6;28;32;32;0;2;2;12;6;8;12;10;8;8;8;26;4;4;4;6;12;8;8;30;4;2;8;10;22;2;4;8;2;8;18;10;0;18;4;6;6;4;14;22;6;4;6;6;2;0;10;6;8;6;10;10;4;10;2;2
health;0;0;0;22;12;22;38;16;22;18;26;10;14;14;12;18;12;4;8;2;2;8;6;8;2;2;26;2;6;8;8;14;4;8;6;8;10;0;8;4;18;2;0;0;4;4;2;12;16;0;6;2;6;14;4;0;4;16;6;4;12;6;4;0;8;2;6;4;0;8;4;4;2;2;2;4;4;4;2;6;2;2;0;2;2;2;4;2;4;8;4;2;6;6;4;0;4;4;0;4
virginians;0;0;0;0;16;20;8;10;8;16;8;4;20;12;16;6;20;6;10;8;6;4;4;12;2;8;12;12;0;2;10;4;8;0;6;4;2;4;0;0;6;2;8;6;0;4;8;2;2;8;6;4;8;6;4;6;6;4;0;2;4;2;0;4;2;10;8;4;6;4;4;4;6;10;4;0;8;4;0;6;0;0;4;0;8;0;2;6;2;4;2;4;4;0;2;4;0;0;2;2
commonwealth;0;0;0;0;0;8;8;10;8;12;6;4;4;6;8;0;8;2;4;4;4;6;6;0;4;2;8;2;2;22;8;4;2;0;2;6;0;6;4;2;2;2;2;8;4;4;2;2;0;0;0;4;2;2;2;10;2;6;4;2;8;2;0;4;0;4;2;0;6;2;0;4;2;2;0;4;8;0;4;2;0;0;2;0;0;4;0;0;4;4;2;2;2;2;0;0;2;0;8;2
continue;0;0;0;0;0;0;14;16;12;6;6;4;10;12;10;2;10;2;4;8;2;4;6;2;0;12;2;14;8;6;10;10;0;4;8;0;6;0;8;6;4;2;0;0;0;0;14;6;4;6;2;4;0;4;4;0;4;2;4;2;4;8;2;0;2;6;2;4;0;2;4;8;10;2;2;2;4;8;4;6;2;2;2;0;0;4;4;8;2;4;4;4;0;4;0;6;0;2;0;4
public;0;0;0;0;0;0;0;8;16;10;4;4;2;8;4;8;0;12;0;10;0;8;4;2;2;4;10;0;10;2;6;12;4;4;4;4;2;0;4;2;14;2;0;0;2;4;4;4;12;8;6;0;4;2;0;0;10;2;0;0;4;6;2;2;4;0;4;0;0;6;10;6;14;4;0;0;0;2;2;2;0;0;2;0;0;2;0;8;0;6;2;2;2;2;2;0;0;0;0;4
work;0;0;0;0;0;0;0;0;2;4;6;10;6;2;14;4;12;10;6;2;2;10;2;4;0;2;0;8;6;8;10;4;6;2;0;8;2;0;6;6;0;2;0;0;0;4;4;6;6;2;2;2;4;2;6;0;2;4;2;2;8;2;2;0;0;2;8;2;0;2;0;2;0;2;0;0;0;4;4;2;0;2;0;0;2;4;2;0;8;0;0;4;0;0;2;2;0;2;4;4
phase;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0;6;2;2;8;6;0;0;0;2;8;0;0;6;0;6;14;2;0;10;0;2;2;2;0;18;4;2;2;0;0;0;6;4;6;8;0;0;10;4;2;4;0;16;2;2;4;2;2;10;4;2;2;2;16;4;2;14;4;2;0;0;0;0;2;0;0;0;0;0;0;2;10;0;10;0;0;2;0;0;0;0;4;0;4
help;0;0;0;0;0;0;0;0;0;0;10;4;10;8;2;2;2;4;4;4;0;8;8;6;0;0;16;8;4;2;4;4;4;4;6;4;4;2;0;2;2;0;2;0;0;0;0;4;0;2;2;2;8;0;0;2;0;0;0;2;4;0;2;0;2;0;0;4;0;0;2;6;0;2;8;2;0;2;4;4;0;2;2;0;4;2;0;0;2;2;2;2;2;6;4;2;4;0;2;0
