;trump;president;great;states;united;people;federal;government;world;national;media;corrupt;country;left;fake;american;young;new;donald;history;angeles;talking;los;economy;part;fbi;sunday;copy;house;law;bill;story;democrats;act;thank;year;obama;party;days;another;team;transcript;may;former;thing;latest;stop;teams;police;exciting;conference;friday;goodman;state;dr;end;white;healthcare;guard;fact;11;military;step;mass;historic;campaign;legal;final;radiumone;formamy;news;rush;following;beaten;points;reserve;name;jobs;court;michigan;russia;written;game;players;shooting;november;james;clippers;2017;allow;executive;victory;administration;man;think;nation;complete;election;community;job
trump;0;20;6;4;2;8;2;0;0;10;6;0;2;2;2;0;2;2;10;0;0;2;0;2;0;4;4;4;4;0;2;2;2;0;2;0;2;2;2;2;0;4;4;2;6;2;0;0;2;0;2;0;4;0;0;2;2;0;2;2;0;0;0;2;0;6;2;4;0;4;2;4;2;2;0;0;0;2;0;4;4;0;0;0;2;0;2;0;2;0;2;0;2;2;2;0;2;2;2;0
president;0;0;8;8;6;8;2;2;0;0;6;0;0;0;4;2;4;4;2;2;0;4;0;2;2;2;2;2;0;0;2;0;0;0;2;0;4;0;2;2;0;4;2;2;4;2;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;2;4;0;4;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2
great;0;0;0;4;4;10;0;2;0;4;2;0;2;0;6;0;4;0;2;4;0;4;0;0;0;2;0;0;2;0;0;2;2;0;4;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;4;0;0;4;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;4;0;2;2;2;2;4;0;0;0;4
states;0;0;0;0;22;4;2;2;4;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;2;0;0;4;4;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;2;0;0;0
united;0;0;0;0;0;4;2;2;4;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;4;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;0
people;0;0;0;0;0;0;2;2;2;2;2;0;2;0;4;6;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0
federal;0;0;0;0;0;0;0;6;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2
