;new;state;hampshire;nh;#covid19;granite;health;#603pride;staters;help;ensure;live;states;order;@wmur9;services;emergency;provide;work;watch;thanks;hampshires;education;home;care;remain;take;individuals;across;support;conference;great;steps;access;community;press;public;year;response;officials;families;together;covid19;system;taking;communities;students;tax;crisis;executive;issued;affected;week;businesses;local;taken;working;continue;tune;stay;action;spread;school;thank;efforts;without;2020;update;human;service;relief;learning;todays;situation;visit;benefits;outbreak;good;thread;family;nation;children;call;restaurants;remember;serve;holding;place;announced;commissioner;schools;center;administration;along;still;additional;testing;delivery;team;letter
new;0;74;180;38;44;38;26;34;18;20;20;16;18;18;14;10;18;8;14;10;10;46;16;4;8;10;6;10;14;6;12;26;12;8;6;10;10;18;8;14;18;4;8;20;12;6;12;10;8;6;2;2;12;12;12;10;12;12;8;4;8;8;8;6;10;8;16;2;6;10;8;12;6;4;4;4;12;8;10;10;14;8;4;8;0;10;4;6;8;6;4;4;6;6;4;2;4;6;4;4
state;0;0;54;26;38;54;28;18;12;16;20;28;12;12;24;16;16;14;14;22;8;12;10;8;8;12;0;4;22;8;18;4;4;10;10;18;10;8;6;24;6;6;6;10;10;4;4;8;6;6;4;6;8;10;12;6;14;4;10;2;10;8;2;4;6;0;12;10;12;6;0;4;6;12;2;2;8;8;8;2;8;8;4;4;6;2;8;10;2;12;4;6;4;12;4;2;4;4;2;6
hampshire;0;0;0;22;30;26;18;26;12;14;10;10;12;10;6;8;12;4;12;2;6;4;10;2;4;6;2;4;8;4;4;22;10;4;6;2;8;10;4;8;16;4;4;12;10;2;10;6;8;2;0;2;6;6;10;8;10;10;4;4;8;8;2;2;12;8;12;0;6;10;6;8;4;4;4;2;6;4;10;8;10;8;4;8;0;4;0;6;6;6;6;4;4;4;2;0;4;4;4;2
nh;0;0;0;0;30;20;18;10;6;14;14;2;6;18;0;16;10;4;6;2;10;4;16;8;2;10;6;10;18;4;4;6;0;12;6;2;14;2;4;2;6;6;6;4;2;6;6;4;4;10;8;2;4;12;8;4;2;2;0;4;6;10;8;6;4;8;2;0;6;6;4;6;4;6;6;2;8;8;6;8;2;2;4;4;0;6;0;6;8;0;6;2;4;2;2;4;8;6;2;2
#covid19;0;0;0;0;0;32;40;4;26;20;12;28;28;14;32;20;18;24;10;26;2;10;2;10;6;0;8;8;8;2;28;2;12;14;6;26;10;0;28;20;8;4;0;0;10;8;2;0;6;4;8;18;4;2;10;6;10;8;14;10;8;18;4;8;10;6;2;20;10;2;10;0;2;6;4;4;14;0;8;0;0;2;10;6;0;4;14;0;14;10;2;6;4;0;0;4;6;6;2;8
granite;0;0;0;0;0;0;14;14;68;24;14;20;10;10;10;8;6;20;12;12;2;8;8;2;4;4;6;8;10;6;10;8;14;6;6;10;8;2;6;14;8;12;6;10;12;6;6;6;8;10;4;22;8;4;4;10;12;4;6;4;8;4;0;8;8;4;2;6;4;4;12;2;6;4;4;0;0;6;6;2;8;4;2;0;4;6;6;4;2;2;4;2;4;2;2;4;2;0;0;2
health;0;0;0;0;0;0;0;6;10;10;8;8;8;12;6;28;12;8;4;8;6;4;0;4;18;6;2;8;4;2;10;4;2;8;6;8;18;0;4;14;2;4;6;6;6;4;0;0;14;4;10;0;0;0;6;2;2;8;0;4;2;4;2;4;2;4;0;6;16;0;4;2;2;4;0;0;8;4;2;2;0;2;2;0;0;0;6;0;4;8;2;4;2;2;4;6;4;2;4;2
#603pride;0;0;0;0;0;0;0;0;6;8;2;6;0;0;0;0;0;0;12;0;12;8;6;4;6;0;0;4;12;4;0;8;0;0;6;0;2;4;0;0;2;4;0;2;0;2;4;0;2;4;0;0;0;4;4;0;2;6;0;0;0;2;4;4;0;0;2;0;0;4;0;2;6;0;0;0;0;4;0;2;2;2;0;6;4;6;0;0;0;0;2;2;0;2;6;0;0;6;2;0
staters;0;0;0;0;0;0;0;0;0;18;10;12;6;6;8;6;6;16;8;10;0;4;0;0;4;2;6;4;2;6;8;2;14;4;6;8;4;2;6;12;4;12;4;2;12;6;2;2;8;6;2;20;4;2;4;8;10;4;2;2;6;4;0;6;8;4;0;4;0;4;12;2;0;4;2;0;0;2;4;0;4;0;0;0;2;2;4;0;2;0;2;2;4;0;0;4;2;0;0;2
help;0;0;0;0;0;0;0;0;0;0;6;6;6;12;4;6;14;8;6;6;4;6;0;0;8;4;4;8;10;4;6;4;8;4;2;6;4;0;0;6;4;4;8;4;10;0;0;0;4;6;6;12;2;10;2;2;2;2;0;2;12;6;2;2;4;4;0;2;0;0;10;0;2;2;4;0;4;4;0;0;0;2;4;6;0;2;2;2;0;2;0;2;4;0;4;4;2;4;0;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;6;10;2;2;2;2;6;8;2;8;6;2;8;6;6;2;2;6;6;0;2;0;0;2;6;4;6;2;6;4;6;2;0;2;6;2;0;6;2;8;0;6;2;0;0;0;0;2;4;2;2;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;8;0;0;0;2;0;0;2;0;0;4;4;0;6;0;4;0;0;2
live;0;0;0;0;0;0;0;0;0;0;0;0;14;2;36;4;0;20;4;36;0;6;0;2;0;0;0;0;2;0;26;2;8;0;2;26;0;0;14;18;0;0;4;0;12;0;0;0;0;4;2;8;0;0;0;0;0;2;14;2;4;0;0;0;4;0;6;18;4;2;2;0;2;0;0;0;4;2;0;4;6;0;0;0;0;2;18;0;0;4;2;0;4;8;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;4;8;14;0;16;0;6;4;0;2;0;0;2;0;2;16;2;2;2;0;14;4;2;22;4;0;0;2;6;2;4;2;4;2;0;2;2;0;4;4;0;0;2;4;0;2;2;2;0;2;0;0;14;2;0;2;0;2;0;2;0;4;6;0;0;2;2;2;2;0;2;12;4;4;2;2;6;0;2;0;0;0;0;0;2
