;hawaii;state;reopening;businesses;#covid19;2020;may;watch;news;reopen;health;speakers;update;emergency;dr;conference;operations;live;director;guest;recovery;green;proclamation;hawaiis;discuss;anderson;states;dept;department;contact;services;people;parks;josh;flags;bruce;hawaiian;david;flown;governor;halfstaff;care;continues;announcing;lassner;strategy;benefits;mayor;details;president;dlnr;taking;supplemental;#ohananuistrong;starting;human;part;tracing;chair;case;honor;resiliency;university;counties;#hawaiicovid19;activities;yamada;7th;follow;country;land;gov;process;childcare;video;marine;questions;8th;public;support;lt;safely;ensure;across;mediumrisk;division;safety;home;johns;practices;joining;ige;applications;friends;continue;certification;respect;data;june;distancing
hawaii;0;8;4;2;4;0;0;2;0;2;12;10;0;4;8;0;2;0;8;8;6;6;2;0;2;8;4;8;4;2;0;4;0;6;2;8;0;4;2;4;2;2;0;0;4;2;0;2;0;4;2;0;2;0;0;0;2;2;2;2;2;4;4;2;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;4;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;2;2;2
state;0;0;10;4;2;2;2;2;2;6;2;2;2;6;2;2;2;2;2;2;4;2;2;4;0;2;2;2;2;0;2;4;6;2;2;2;0;2;2;4;2;2;4;2;0;2;0;0;0;0;4;0;2;2;0;2;0;0;2;2;2;2;0;0;0;0;2;0;2;0;2;2;0;2;0;2;0;2;0;0;0;2;0;4;2;2;0;0;0;0;2;4;0;0;0;0;2;0;4;2
reopening;0;0;0;8;4;4;4;6;6;4;4;0;6;4;0;6;4;4;0;0;4;2;4;8;2;0;0;0;2;2;0;4;6;2;0;0;0;2;0;2;0;2;2;4;0;6;0;0;0;0;4;2;2;0;0;2;0;0;2;2;0;0;0;2;0;4;0;2;4;0;2;2;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;2;2;4;2;0;0;0;0;0;2;2;4
businesses;0;0;0;0;0;2;2;4;2;10;4;0;2;6;0;2;10;2;0;0;0;0;6;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;4;0;0;2;4;0;2;0;0;0;0;0;0;0;0;6;2;4;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;4;2;2;4;0;2;0;2;0;2;2;0;0;0;0;0;0;2;0
#covid19;0;0;0;0;0;10;10;2;10;2;2;0;10;2;2;10;0;4;0;0;6;2;2;2;2;2;6;0;0;2;0;0;0;0;0;0;2;2;0;0;0;4;0;2;2;4;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
2020;0;0;0;0;0;0;16;4;12;4;2;0;12;4;2;12;2;4;0;0;2;2;4;2;2;2;2;0;2;2;0;0;2;2;2;0;2;4;2;2;2;2;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;4;12;4;2;0;12;4;2;12;2;4;0;0;2;2;4;2;2;2;2;0;2;2;0;0;2;2;2;0;2;4;2;2;2;2;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;6;0;2;6;6;2;2;6;0;8;4;6;2;4;2;0;4;2;0;4;4;2;2;0;2;4;0;2;2;4;0;4;0;0;0;2;2;0;0;2;0;4;0;2;2;0;0;2;0;2;4;2;0;2;2;2;0;4;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;2;2;0;14;4;2;14;0;4;0;0;2;2;4;2;2;2;2;0;2;2;0;0;2;2;0;0;2;4;0;2;0;2;0;4;2;2;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;2;8;0;0;0;2;0;6;4;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;4;4;0;2;0;2;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;4;2;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;0;4;2;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0
