;#akgov;live;#covid19;alaska;alaskans;watch;press;state;@alaska_dhss;briefing;#akleg;health;tonight;#flattenthecurve;update;alaskas;outbreak;#alaska;#reopenalaskaresponsibly;economy;new;public;officials;ak;5pm;businesses;thank;cases;reopen;great;joined;plan;covid19;facebook;join;help;work;page;together;0;holding;1;information;responsibly;numbers;12;discuss;continue;provide;latest;another;@realdonaldtrump;future;virus;year;@annezinkmd;may;approximately;reopening;week;efforts;deaths;team;hosting;care;tests;communities;cumulative;22;protect;yesterday;people;5;alaskan;announced;act;aks;economic;local;todays;#caresact;gt;recovered;commissioner;states;across;town;federal;response;hall;capacity;phase;put;info;good;members;working;discussing;providing;learn
#akgov;0;166;188;92;74;138;106;56;114;98;88;70;78;86;74;56;66;50;68;58;16;48;42;32;48;22;14;6;34;22;32;24;16;32;30;10;14;30;10;0;18;12;10;18;8;8;22;10;14;10;14;4;10;16;18;22;8;20;20;2;18;0;8;16;10;2;10;0;6;12;10;8;14;4;6;10;10;12;2;4;12;4;0;4;8;8;8;2;10;10;4;12;6;6;6;14;12;14;10;6
live;0;0;164;62;42;148;112;24;114;104;2;68;66;84;80;42;70;32;50;42;6;52;50;16;50;4;2;2;28;2;28;16;6;38;28;6;2;34;0;0;14;4;2;14;6;0;20;4;14;0;14;0;2;14;2;24;0;24;14;0;18;0;4;20;2;0;0;0;2;14;0;2;14;0;0;4;8;10;0;0;8;0;0;8;2;2;10;0;6;10;0;8;4;2;2;14;6;18;12;2
#covid19;0;0;0;78;74;140;126;46;114;118;8;76;74;88;86;42;82;52;64;44;24;52;52;30;48;22;20;26;32;6;32;20;14;26;20;12;10;22;8;12;30;12;4;16;24;6;12;10;20;12;22;2;0;20;2;24;4;22;16;4;20;16;10;20;12;12;8;16;4;16;16;4;16;4;10;4;12;16;8;12;18;4;12;10;2;4;10;2;14;12;2;8;4;8;4;12;12;18;12;8
alaska;0;0;0;0;26;52;42;26;54;38;32;22;26;38;30;18;36;14;24;14;16;18;20;6;18;8;14;12;16;6;20;22;14;18;12;10;10;16;6;4;4;10;12;18;8;6;6;8;10;8;12;6;4;2;8;12;6;12;10;6;8;4;4;6;6;8;4;4;4;4;2;2;6;2;8;14;0;4;4;4;8;4;6;10;4;4;4;6;2;2;4;12;6;0;6;4;4;2;10;6
alaskans;0;0;0;0;0;34;28;36;34;26;22;30;16;30;16;16;22;28;22;22;8;16;16;16;12;10;16;10;20;12;12;8;6;4;16;12;14;2;18;0;4;2;8;10;6;4;6;12;6;10;6;6;6;12;6;8;4;4;8;4;8;0;8;6;6;4;2;2;10;18;8;8;6;0;8;2;8;10;8;0;4;0;4;4;2;6;4;2;0;4;2;2;10;6;6;4;4;2;6;6
watch;0;0;0;0;0;0;90;26;96;84;6;56;46;76;72;38;68;30;36;34;4;46;48;16;38;2;2;0;24;2;30;8;6;26;16;4;2;22;0;0;8;2;2;12;6;0;10;2;12;0;10;0;0;12;2;20;0;22;8;0;16;0;2;16;0;0;0;0;0;12;0;2;10;0;0;2;6;8;0;0;6;0;0;8;2;0;8;0;4;8;0;4;2;0;2;14;8;12;12;2
press;0;0;0;0;0;0;0;12;72;124;2;32;52;52;42;18;32;28;44;32;14;18;16;8;32;2;0;14;26;2;10;12;8;12;14;4;6;12;0;10;28;6;4;12;16;4;10;4;12;4;12;0;0;8;0;16;0;6;8;0;16;10;4;14;2;4;0;8;0;8;4;2;10;2;0;4;6;6;0;4;8;4;4;4;0;2;0;0;2;0;0;6;4;0;4;6;6;16;2;0
state;0;0;0;0;0;0;0;0;20;12;24;20;16;16;18;18;24;20;4;10;10;18;16;8;8;6;10;6;8;20;6;2;8;14;12;2;4;12;14;2;4;4;2;4;4;4;4;8;4;4;10;2;4;2;4;2;6;8;0;8;2;2;4;6;6;2;0;2;4;4;10;2;6;4;8;0;4;0;2;2;0;0;2;2;4;8;4;2;8;4;0;2;6;4;0;4;6;0;4;6
@alaska_dhss;0;0;0;0;0;0;0;0;0;68;0;48;44;70;52;24;54;18;32;28;6;32;32;14;32;2;2;2;18;0;18;10;8;24;22;2;4;22;0;0;8;2;2;10;4;0;10;0;12;4;10;0;0;6;0;22;0;18;12;0;4;0;4;12;4;0;0;0;0;12;4;2;14;0;4;2;6;6;2;2;6;0;0;6;0;2;6;0;2;8;0;6;4;4;2;10;2;8;8;2
briefing;0;0;0;0;0;0;0;0;0;0;2;32;44;46;36;18;32;28;36;30;14;18;16;8;24;2;0;14;24;2;10;8;8;10;12;4;6;10;0;10;28;4;4;12;12;4;8;4;8;4;12;0;0;6;0;14;0;6;8;0;14;10;4;14;2;4;0;8;0;8;4;2;10;2;0;2;6;6;0;4;8;4;4;2;0;2;0;0;2;0;0;4;4;0;2;6;6;16;2;0
#akleg;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;12;0;4;4;8;6;4;0;2;0;10;4;0;0;10;0;6;0;0;0;4;6;0;14;0;0;6;0;0;0;6;0;6;2;0;0;4;12;2;12;0;2;0;0;4;0;0;2;0;2;0;12;0;4;2;2;8;0;2;2;8;0;2;4;0;4;0;0;0;6;0;0;2;4;0;0;0;6;0;2;0;2;0;0;4
health;0;0;0;0;0;0;0;0;0;0;0;0;26;48;40;20;50;8;8;12;4;56;48;22;18;6;8;4;12;2;20;2;4;18;10;8;4;18;0;2;8;0;0;6;2;0;4;4;8;0;12;2;0;8;2;4;2;18;2;0;6;2;6;10;12;2;2;2;2;14;2;2;10;0;4;0;8;6;2;2;2;0;2;2;0;4;0;0;2;0;4;2;2;2;0;12;0;8;6;2
