;trudeau;justin;illegal;blockades;canadians;trudeaus;country;conservatives;project;live;farmers;liberals;watch;canadian;people;end;weak;jobs;leadership;#qp;economy;teck;work;coastal;law;action;activists;radical;families;help;history;spending;opportunity;government;stand;crisis;everyone;projects;plan;frontier;costing;canadas;energy;built;put;hard;minister;taxes;shutting;tax;mastercard;lets;control;family;condemn;workers;gaslink;support;hurting;black;across;yesterday;lost;canada;media;online;needs;news;stopped;asking;important;act;wont;deserve;called;prime;wasteful;qp;shut;happy;alberta;dollars;communities;breaking;canola;talked;meet;days;governments;spiraling;take;wetsuweten;fighting;celebrating;failed;outrageous;disgusting;court;paying;political
trudeau;0;42;22;24;18;6;18;10;16;14;8;10;14;8;8;10;6;8;6;8;8;8;4;8;10;6;10;8;4;2;0;6;2;6;4;2;2;2;6;8;2;2;4;4;2;4;4;4;4;6;8;2;6;0;2;2;6;4;6;0;4;0;2;2;4;4;6;2;4;4;2;8;6;6;4;4;2;6;6;0;4;4;4;8;0;0;4;0;2;4;4;4;4;0;6;4;4;6;4;2
justin;0;0;28;28;16;30;20;12;10;18;4;4;18;4;6;8;12;10;12;12;10;8;6;2;8;6;6;6;4;2;2;10;4;2;4;6;0;2;0;8;8;2;4;2;2;6;4;6;8;8;8;2;8;4;4;2;2;2;6;0;4;0;2;2;2;4;4;2;4;4;2;4;6;4;0;4;6;4;6;0;6;4;4;2;0;0;2;0;2;4;0;2;4;0;4;4;4;4;4;2
illegal;0;0;0;42;12;18;20;6;8;18;2;2;16;2;6;8;10;8;12;10;6;4;2;4;8;6;4;4;0;0;2;0;2;4;2;6;2;0;2;4;2;2;0;2;2;0;4;0;8;0;0;2;4;0;2;2;2;0;4;0;4;0;4;2;4;0;2;0;8;4;2;6;2;0;0;4;0;2;8;0;0;2;2;2;0;0;0;2;4;4;2;2;0;0;4;0;0;0;2;0
blockades;0;0;0;0;12;16;20;2;10;18;2;2;16;2;8;8;10;8;12;10;6;4;2;6;8;8;6;6;0;0;2;0;2;2;2;6;2;0;4;4;2;0;2;2;2;0;4;0;8;0;0;2;4;0;2;2;4;2;4;0;4;0;4;2;4;0;2;0;8;4;0;6;2;0;0;4;0;2;8;0;0;2;2;4;0;0;0;2;4;4;2;4;0;0;4;0;0;0;2;0
canadians;0;0;0;0;0;12;16;4;6;8;0;10;10;2;4;10;6;4;6;4;4;2;4;4;6;4;4;2;2;6;6;4;2;4;0;0;6;2;2;2;8;2;0;2;2;0;4;2;0;0;2;4;6;2;2;0;2;4;6;4;6;2;4;0;0;0;4;0;2;0;2;0;0;4;0;4;2;4;6;2;0;2;4;2;0;0;0;2;2;6;2;0;0;2;2;0;2;0;2;0
trudeaus;0;0;0;0;0;0;10;6;4;10;6;6;12;4;2;4;10;6;10;6;6;6;4;0;6;4;2;2;4;2;2;6;2;4;4;6;0;4;0;6;12;2;2;2;2;4;2;4;4;4;2;0;4;4;4;2;0;2;4;0;2;0;4;2;2;0;0;2;2;2;2;0;0;2;2;2;6;2;2;0;2;0;2;0;2;0;0;0;4;2;0;0;0;0;0;0;0;2;2;4
country;0;0;0;0;0;0;0;6;10;12;0;2;12;2;0;4;4;6;4;8;6;8;4;4;6;4;6;4;0;2;4;0;6;2;2;0;6;4;0;8;0;0;4;4;2;0;0;0;10;0;0;10;4;0;2;2;2;4;2;2;10;0;2;2;4;0;0;2;6;6;4;4;2;0;0;0;0;2;6;2;4;0;4;2;0;0;0;0;2;4;0;0;0;2;6;0;0;2;2;4
conservatives;0;0;0;0;0;0;0;0;2;0;6;8;0;8;0;4;0;0;0;0;2;2;4;0;2;6;2;2;4;2;2;2;6;0;8;0;4;2;2;2;2;8;4;2;2;2;0;2;0;2;0;2;2;2;2;4;0;2;0;4;0;2;2;2;0;4;0;0;0;0;2;0;4;0;4;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;2;0;2;2;0;0;4;0;0;2
project;0;0;0;0;0;0;0;0;0;4;0;2;4;0;10;2;6;6;4;4;6;10;4;12;4;2;8;6;0;0;0;0;6;4;4;2;4;2;2;10;0;0;4;2;0;0;0;0;0;0;0;4;2;0;2;2;8;6;2;0;4;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;4;0;4;0;4;6;0;0;0;0;0;2;0;6;0;0;2;0;0;0;2;0
live;0;0;0;0;0;0;0;0;0;0;0;2;26;0;4;4;4;8;4;16;6;4;0;0;4;2;2;2;0;0;2;0;2;0;2;4;0;2;4;4;2;2;2;2;2;0;2;0;4;0;2;0;6;0;2;0;0;2;0;0;4;0;6;2;4;4;2;2;2;6;0;4;2;0;0;2;0;6;6;0;0;4;0;2;0;0;0;4;2;6;0;0;2;0;4;0;0;0;2;0
farmers;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;2;0;6;0;0;0;0;0;8;2;0;0;0;2;4;2;0;0;0;0;4;4;0;0;0;6;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;2;0;2;2;4;0;2;0;2;0;0;2;0;0;0;0;0;0
