;illinois;de;state;#allinillinois;health;care;covid19;en;home;people;que;across;workers;el;million;support;la;stay;communities;help;federal;new;thank;para;testing;together;los;crisis;take;hospital;#covid19;capacity;work;working;important;safe;staying;public;más;families;order;week;una;medical;states;daily;coming;proud;days;essential;virus;lives;may;weeks;fight;place;everyone;government;response;face;protect;chicago;hard;students;community;por;residents;social;las;un;april;pandemic;se;nearly;visit;kids;still;hospitals;illinoisans;local;available;es;centers;ventilators;needs;best;fighting;ive;team;year;share;looking;possible;thousands;program;con;census;masks;professionals;continue
illinois;0;28;32;28;14;18;30;24;20;18;18;28;14;22;14;16;10;4;16;10;14;6;6;14;10;18;16;8;10;8;8;8;6;10;6;10;10;6;8;10;4;10;10;6;2;0;6;10;2;6;2;8;2;4;8;4;6;8;10;2;4;6;4;4;6;8;4;6;6;6;10;6;10;8;6;2;8;4;6;6;6;8;6;4;0;10;8;4;6;12;8;6;6;4;4;2;14;2;6;8
de;0;0;0;2;0;0;8;58;0;0;48;0;0;50;0;0;44;0;0;0;6;0;0;36;0;0;36;8;0;4;6;0;0;0;0;0;0;0;32;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;20;0;4;24;24;0;0;24;0;0;0;0;0;0;2;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0
state;0;0;0;26;28;22;22;0;12;26;0;40;14;0;16;20;0;4;16;6;12;10;8;0;12;6;0;12;6;2;12;4;12;14;2;8;4;10;0;6;6;6;0;6;8;2;10;8;8;2;8;6;2;2;2;2;6;14;16;10;6;6;8;2;4;0;12;2;0;0;2;6;0;6;2;0;2;14;4;8;6;0;6;4;8;2;4;4;6;4;2;2;10;2;6;0;2;4;4;4
#allinillinois;0;0;0;0;10;20;8;2;32;30;2;12;8;2;8;14;0;24;8;22;0;4;16;2;0;22;0;0;18;2;12;2;6;4;10;10;14;2;0;8;6;6;2;6;0;0;2;12;4;6;12;8;4;0;4;2;6;0;4;4;10;4;4;4;8;0;2;8;0;0;2;4;0;6;6;4;6;2;4;2;2;0;0;2;2;4;0;6;6;2;18;2;4;8;4;0;2;0;12;2
health;0;0;0;0;0;58;18;0;8;16;0;14;28;0;6;2;0;8;26;8;10;8;8;0;16;2;0;16;4;6;6;10;8;2;0;6;2;14;0;0;8;2;0;4;6;4;2;2;4;12;2;4;4;2;12;6;2;6;8;14;8;10;0;0;0;0;6;2;0;0;4;6;0;6;2;2;0;12;0;8;4;0;10;0;4;2;4;0;2;2;2;0;4;4;10;0;2;8;12;2
care;0;0;0;0;0;0;20;0;8;18;0;10;32;0;2;8;0;4;10;8;6;2;14;0;10;4;0;6;12;4;6;8;10;2;6;8;2;4;0;4;4;0;0;6;6;2;0;4;4;14;2;2;2;0;12;16;2;6;4;4;6;2;2;0;2;0;2;0;0;0;4;2;0;4;2;6;10;10;4;2;2;0;8;0;4;4;4;0;2;4;2;0;4;2;10;0;2;8;12;2
covid19;0;0;0;0;0;0;0;6;4;8;2;4;8;4;6;16;2;6;10;2;8;8;6;4;4;2;8;6;2;4;0;4;4;4;0;2;0;0;0;4;6;0;2;4;6;26;2;4;4;2;4;4;2;2;18;8;4;2;20;4;2;2;2;4;4;0;6;0;2;4;2;2;4;4;4;2;0;4;6;2;6;0;0;4;2;0;8;2;4;0;0;0;4;0;6;4;0;0;4;2
en;0;0;0;0;0;0;0;0;0;0;32;0;0;38;0;0;32;0;0;0;4;0;0;26;0;2;26;4;0;4;4;0;0;0;0;0;0;0;22;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;14;0;4;16;14;0;0;20;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0
home;0;0;0;0;0;0;0;0;0;14;0;2;4;0;2;6;0;40;0;12;0;2;8;0;0;6;0;4;10;2;6;4;4;2;12;14;34;6;0;4;20;2;0;4;2;0;4;10;0;4;6;8;16;6;0;2;8;0;0;4;0;0;4;0;2;0;0;8;0;0;8;4;0;2;0;6;8;0;14;2;4;0;2;6;2;2;0;2;0;0;4;4;4;8;4;0;2;2;2;2
people;0;0;0;0;0;0;0;0;0;0;0;22;6;0;6;10;0;8;6;8;4;0;4;0;2;12;0;4;2;0;2;2;8;12;2;12;4;2;0;6;4;10;0;2;0;0;0;4;4;2;6;2;6;2;8;2;2;4;2;2;2;2;8;2;0;0;2;4;0;0;0;6;0;6;6;2;0;4;0;2;0;0;4;2;0;0;4;2;2;0;2;4;12;4;4;0;0;0;4;2
