;united;states;great;president;trump;people;federal;new;state;government;american;thank;congress;department;best;part;news;administration;job;national;act;chicago;house;police;working;media;republican;country;help;take;presidential;real;given;freethe;justice;nations;big;white;investigation;court;finally;ruling;support;fake;america;city;world;called;end;million;response;information;committed;nation;women;mobile;program;safe;bend;video;group;forward;john;washington;meet;fed;11;daca;enough;days;billion;system;gop;vpn;story;christmas;players;supreme;important;may;closely;fbi;criminal;devastating;#1;loved;love;conference;able;bring;relief;meeting;100;coming;leader;friends;david;york;massive;history
united;0;32;4;8;4;6;0;2;2;4;2;0;4;2;0;0;0;4;4;4;2;0;2;2;0;0;2;4;0;2;0;0;0;0;0;4;0;0;0;0;4;2;0;0;6;0;2;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;4;2;4;2;0;0;2;2;0;0
states;0;0;4;8;2;6;0;2;2;4;2;0;4;2;0;0;0;2;4;2;2;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;6;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;4;0;4;2;0;0;2;2;0;0
great;0;0;0;6;6;4;4;8;6;2;8;6;0;2;2;0;2;4;4;2;0;0;4;0;0;0;2;2;2;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;4;4;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;4;2;4;2;0;0;0;0;0;4;0;4;0;4;0;4
president;0;0;0;0;14;2;8;0;2;0;6;2;4;6;0;0;2;0;2;0;2;0;4;0;2;2;4;4;0;0;2;2;2;0;2;2;2;2;4;0;2;2;0;4;2;0;0;0;2;2;2;2;0;0;0;0;0;2;0;2;0;2;2;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;4;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;6
trump;0;0;0;0;0;6;10;0;2;4;4;0;2;4;0;0;4;8;0;0;2;0;6;0;0;0;2;0;0;2;0;2;2;0;2;4;0;4;4;2;2;0;0;4;4;2;2;2;0;2;0;4;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;4
people;0;0;0;0;0;0;2;2;4;4;6;2;0;2;0;2;2;2;2;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;4;2;2;0;0;4;2;2;0;2;0;0;2;2;0;0;4;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;2;0;0;0;2;0;0
federal;0;0;0;0;0;0;0;0;2;6;6;2;4;2;0;2;0;2;0;0;2;2;2;2;2;2;2;0;0;0;2;2;0;0;2;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;6
new;0;0;0;0;0;0;0;0;2;2;4;2;0;0;4;0;2;0;2;2;0;0;0;0;2;0;0;4;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;0;2;6;0;0
state;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;4;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;4;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;2;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;4;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;4;2;4
thank;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;0;0;2;0;2;2;0;2;4;0;2;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;0;0;0;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
chicago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0
