kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
states,19,new,21,people,23,president,22,people,23,great,18,people,116,new,49,people,52,people,116
united,16,president,16,great,20,states,20,united,18,trump,16,states,110,people,48,united,49,states,110
new,16,country,11,states,17,united,19,states,17,united,12,united,105,states,45,states,48,united,105
people,16,house,10,united,15,people,17,new,17,new,12,new,98,great,41,trump,43,new,98
great,13,trump,9,party,13,house,14,trump,13,people,12,president,96,united,40,president,41,president,96
president,13,united,9,new,12,trump,14,president,10,states,11,great,95,president,39,great,40,great,95
state,12,people,9,american,11,american,12,great,10,american,11,trump,90,trump,31,new,37,trump,90
trump,11,white,9,trump,11,great,12,federal,9,president,9,american,59,state,25,american,31,american,59
national,8,states,9,president,10,white,11,government,9,big,9,house,52,house,23,house,27,house,52
federal,8,great,8,republican,10,obama,10,white,8,world,8,state,51,american,21,white,24,state,51
man,7,york,7,house,7,man,10,american,8,news,8,national,44,party,21,government,22,national,44
wants,7,released,7,left,7,government,10,history,7,year,7,white,43,country,19,news,19,white,43
campaign,7,radical,7,state,7,administration,8,campaign,7,york,7,country,39,republican,19,national,18,country,39
job,6,democrats,7,trying,7,new,8,post,7,national,7,obama,39,man,18,federal,18,obama,39
sent,6,obama,6,radical,7,court,8,media,7,security,6,news,38,white,18,state,17,news,38
house,6,senate,6,obama,7,bill,7,house,7,house,6,man,38,national,17,big,17,man,38
take,6,american,6,man,6,coughwhooping,7,former,6,country,6,big,38,democrats,17,man,16,big,38
number,6,state,6,white,6,state,7,big,6,democrats,6,government,36,obama,16,administration,16,government,36
world,6,love,6,democrats,6,security,7,killed,6,north,6,democrats,36,york,15,country,16,democrats,36
times,6,government,6,campaign,6,news,7,russia,6,general,6,federal,35,court,15,former,16,federal,35
trying,5,thank,6,court,6,article,7,best,6,help,6,administration,33,radical,15,court,15,administration,33
court,5,police,6,help,6,national,7,racist,6,love,6,campaign,33,federal,14,media,14,campaign,33
americans,5,history,5,republicans,5,work,6,2016,6,administration,6,york,33,campaign,14,obama,14,york,33
home,5,left,5,country,5,thank,6,week,6,donald,5,thank,31,trying,14,security,14,thank,31
act,5,man,5,media,5,former,6,state,5,fake,5,court,30,left,13,history,14,court,30
congress,5,party,5,district,5,fbi,6,saturday,5,bank,5,security,28,news,13,york,13,security,28
