;trump;great;president;people;states;united;new;former;republican;russia;house;donald;democrats;thank;washington;news;white;best;fbi;free;election;real;campaign;2016;important;man;government;state;intelligence;american;presidential;justice;love;post;party;trying;think;federal;stand;investigation;ready;night;hearing;history;economy;happy;harry;senator;clinton;world;hillary;finally;investigating;j;latest;job;million;york;saturday;americans;cost;future;policy;efforts;women;could;private;weekend;health;card;riots;away;running;fake;medical;economic;florida;week;use;administration;country;power;huge;money;voted;yesterday;vote;caught;call;life;mr;called;clear;senate;documents;told;raise;billion;strong;trade
trump;0;4;6;0;2;0;4;4;6;4;4;14;2;0;4;8;6;0;4;0;2;0;6;2;2;2;0;2;2;0;2;0;2;2;2;0;0;2;0;0;0;4;0;2;0;4;0;0;2;0;2;2;4;6;2;2;0;2;2;0;0;2;0;0;2;4;0;0;0;0;0;2;0;2;2;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0
great;0;0;4;8;0;0;2;2;4;0;0;2;0;4;0;4;0;2;0;0;2;0;2;4;2;8;0;2;0;6;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0
president;0;0;0;2;4;4;6;8;6;4;4;0;0;0;0;6;4;2;0;2;2;2;4;6;0;0;0;0;0;2;6;2;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;2;2;0;2;2;0;0;0;2;0;4;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;4;0;2;0;0
people;0;0;0;0;2;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;6;0;2;0;6;0;0;2;0;2;0;4;2;0;0;0;0;0;2;0;0;2;2;0;4;0;2;0;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0
states;0;0;0;0;0;18;0;0;0;4;0;0;0;0;2;0;0;2;0;0;2;0;4;2;2;0;0;4;0;0;4;2;0;2;0;0;2;0;4;0;4;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
united;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;2;0;0;4;2;0;0;0;0;2;0;4;0;4;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;4;4;0;2;2;0;0;2;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;8;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0
former;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;4;2;0;0;0;0;0;4;4;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;0;0;2;4;2;0;0;8;0;2;2;0;0;0;2;0;6;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;2;2;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;2;0;4;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0
