;great;trump;united;new;people;states;american;president;big;world;news;year;york;national;security;house;country;democrats;north;general;help;love;administration;donald;fake;bank;act;federal;may;state;says;white;job;work;fight;media;alabama;justice;official;economic;information;2016;continue;part;quickly;syria;presidential;interest;ufc;attack;team;bad;used;crime;reserve;deal;court;man;investigating;rates;former;care;russia;cause;iran;amazing;july;raiders;strong;little;corrupt;hillary;water;intelligence;campaign;social;shooting;moore;florida;next;season;las;wall;result;large;radical;government;convention;share;black;post;4;clinton;across;department;san;gas;friends;republican;chief
great;0;4;2;6;8;4;8;4;2;0;0;2;4;0;2;2;2;0;2;2;4;4;0;2;0;0;0;2;2;6;0;2;4;4;4;2;0;0;0;0;2;0;2;2;2;2;0;2;0;0;0;2;0;4;2;4;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;2;0;0;2;2;0
trump;0;0;2;4;0;0;2;10;0;0;2;0;0;0;4;0;0;4;0;2;0;0;4;8;0;0;2;2;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0
united;0;0;0;0;2;16;0;2;0;2;0;0;0;4;2;2;0;0;2;2;4;0;2;2;0;0;0;0;2;2;2;2;2;0;2;0;0;0;4;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;2
new;0;0;0;0;2;0;2;0;2;0;4;0;12;2;2;2;0;0;0;0;2;0;2;2;2;0;2;0;0;4;4;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0
people;0;0;0;0;0;2;10;0;2;2;2;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;2;2;0;4;0;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;0;0;0;4;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0
states;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;2;0;0;4;2;4;2;2;0;0;0;0;0;2;2;2;2;2;0;2;0;0;0;4;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2
american;0;0;0;0;0;0;0;2;4;4;0;0;2;0;0;0;2;2;2;0;0;0;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0
president;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
big;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;2;0;2;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0
