;rhode;ri;thank;work;help;everyone;state;islanders;students;coronavirus;support;riers;businesses;please;home;crisis;school;health;new;working;families;people;care;proud;@rihealth;hard;order;ris;call;public;year;continue;virus;business;live;safe;together;information;available;announce;still;program;access;week;announced;community;island;visit;important;face;learning;may;april;able;find;workers;family;take;lost;response;tomorrow;place;stay;#askgovraimondo;loved;announcing;ive;grateful;free;questions;child;across;days;communities;employees;distance;critical;anyone;difficult;testing;means;services;members;providence;ones;phase;watch;cant;rules;remind;taking;share;economy;violence;reopening;weeks;service;facebook;social;give
rhode;0;2;20;8;18;10;20;104;0;44;16;2;0;12;2;22;2;10;16;8;18;2;10;14;2;6;2;4;0;4;6;6;14;0;6;10;18;6;8;2;6;2;2;2;2;14;46;6;2;4;2;2;0;2;2;8;4;2;32;8;6;2;2;2;22;0;8;4;0;2;2;8;2;8;2;0;4;2;16;8;0;0;6;2;22;0;2;0;0;0;2;18;0;4;2;0;0;4;2;10
ri;0;0;16;12;16;10;20;0;16;8;8;6;12;2;10;8;14;14;14;10;4;4;20;16;10;4;8;6;4;14;12;8;6;8;10;6;2;4;4;16;4;14;8;4;10;4;2;2;8;2;8;0;8;8;0;10;0;6;2;6;8;6;4;0;0;8;10;2;6;2;8;10;6;2;6;6;10;6;2;0;0;4;4;8;0;0;2;10;2;6;8;0;4;2;0;4;2;2;2;2
thank;0;0;0;22;6;18;16;10;20;2;12;6;6;12;2;8;10;6;4;20;12;2;4;4;4;16;0;4;4;6;4;16;0;2;0;6;16;0;8;0;2;2;2;8;0;10;6;0;8;2;12;2;2;0;0;4;4;4;0;2;2;0;0;2;0;2;2;6;8;4;0;10;0;2;2;10;6;2;0;0;0;6;4;8;0;0;4;8;2;2;4;0;0;0;0;0;0;0;2;2
work;0;0;0;0;4;8;18;4;18;0;4;8;10;4;22;2;10;2;8;8;10;10;4;10;6;14;6;6;2;2;4;14;0;8;8;2;6;0;0;0;0;10;4;4;0;6;4;0;4;4;8;2;4;4;0;8;4;4;0;0;4;6;8;4;0;4;4;2;0;0;4;6;0;0;12;6;4;4;0;2;10;0;2;14;0;0;0;2;0;2;0;0;2;2;0;0;2;0;6;2
help;0;0;0;0;0;4;6;12;10;2;20;10;12;14;4;16;6;10;8;6;0;8;14;2;2;4;0;2;18;4;4;4;4;10;0;6;4;10;16;10;6;8;8;2;6;2;4;4;0;2;2;4;2;2;6;4;0;2;2;2;2;2;4;4;4;2;4;2;10;4;6;0;0;0;0;2;0;2;0;4;0;4;4;4;4;0;0;4;4;4;0;2;0;4;0;0;0;0;4;0
everyone;0;0;0;0;0;0;2;4;2;6;6;6;8;16;10;4;2;6;2;6;4;12;2;4;4;6;14;2;8;6;6;10;8;8;2;6;8;8;4;2;10;0;6;8;4;0;4;2;6;4;2;6;4;4;4;0;8;2;4;0;4;12;8;4;6;2;4;4;2;4;0;0;0;2;0;4;0;4;2;2;8;2;4;0;6;2;2;8;10;26;4;4;2;2;6;0;4;0;4;2
state;0;0;0;0;0;0;0;16;2;2;4;8;0;6;12;6;2;8;2;12;6;10;6;6;6;2;4;4;0;4;6;4;2;4;10;4;6;2;4;8;6;0;6;4;6;8;4;0;2;0;0;0;6;6;0;8;0;4;0;2;0;2;2;0;2;4;2;2;4;0;4;22;2;4;2;0;6;0;2;0;0;2;2;2;2;2;4;4;2;0;2;0;2;2;2;0;4;0;2;2
islanders;0;0;0;0;0;0;0;0;0;36;8;0;0;12;2;16;0;6;12;4;12;2;2;10;2;2;0;2;0;0;4;2;8;0;4;6;14;2;6;2;2;0;2;0;0;6;2;2;0;2;2;2;0;2;2;4;2;0;28;4;4;2;2;2;18;0;2;0;0;2;0;8;2;8;0;0;0;0;14;4;0;0;0;0;18;0;0;0;0;0;0;14;0;0;0;0;0;0;0;6
students;0;0;0;0;0;0;0;0;0;0;10;0;0;4;4;0;26;0;2;10;12;0;0;2;6;10;0;6;2;6;8;14;2;0;2;2;0;2;2;2;2;6;4;10;6;4;0;0;4;0;24;4;10;4;2;0;0;6;0;0;2;4;0;2;0;4;0;4;2;12;0;0;0;0;0;20;2;0;2;0;0;0;0;6;0;0;4;2;0;2;0;0;0;0;0;2;4;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;6;4;0;8;0;8;0;2;10;0;14;0;0;2;20;0;2;14;4;2;0;6;16;0;16;0;2;4;2;2;2;0;0;2;2;2;0;0;2;2;2;0;0;0;0;2;6;0;34;30;2;0;0;2;22;2;0;2;2;2;0;0;8;12;2;0;0;4;12;0;0;0;2;0;22;0;12;2;2;0;4;18;0;0;0;2;0;16;2;4
support;0;0;0;0;0;0;0;0;0;0;0;16;8;6;2;18;10;0;8;8;10;2;6;18;2;6;2;8;8;6;2;4;2;2;0;2;8;8;10;8;2;10;4;2;8;4;2;4;2;0;8;2;0;2;6;2;4;6;4;6;0;0;2;0;6;4;4;10;4;2;4;4;0;2;4;4;4;0;8;0;0;2;0;2;6;0;0;2;0;0;4;0;0;0;0;0;2;0;0;4
riers;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;10;0;6;10;8;2;6;8;4;4;6;2;2;0;6;2;2;6;0;0;4;6;2;8;4;6;0;8;2;4;0;2;4;4;0;0;0;4;6;2;2;2;4;2;0;2;2;2;2;2;6;2;6;6;0;2;6;2;4;0;0;2;4;2;4;0;4;0;2;2;4;0;2;0;2;0;6;2;2;4;2;0;0;6;4
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;0;0;4;0;0;4;0;8;0;4;2;4;8;0;0;4;2;14;0;2;0;6;2;6;0;14;4;2;2;4;0;4;2;8;2;2;2;2;4;4;0;10;0;0;4;2;2;0;0;2;2;2;0;4;0;0;0;0;14;0;0;0;2;0;8;4;0;0;0;2;0;6;4;6;0;0;2;0;2;0;0;2;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;8;12;4;16;6;6;0;2;4;6;2;0;10;2;2;14;2;4;0;8;4;14;8;0;6;2;2;4;8;0;0;8;2;0;2;4;0;0;6;0;12;6;8;0;0;0;12;10;4;0;0;0;2;0;2;0;0;2;0;2;0;2;4;0;2;4;4;0;4;2;0;6;6;6;2;6;0;2;2;0;2;0;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;2;6;6;6;8;2;6;6;10;2;4;6;2;2;0;4;8;2;0;0;4;0;2;2;8;0;2;0;0;0;2;2;4;0;4;8;6;4;6;8;0;0;4;6;18;4;4;2;4;2;0;0;2;4;0;2;8;2;4;8;0;0;8;0;4;0;2;2;0;4;2;2;2;0;2;6;2;4;6;0;4;2
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;8;2;4;10;6;2;8;6;4;6;8;0;4;0;2;2;0;8;4;14;2;2;2;4;2;0;8;2;6;2;4;4;0;4;2;4;4;2;2;6;0;0;2;2;2;6;0;10;0;4;0;4;2;2;6;4;0;6;4;4;0;2;4;6;0;6;0;0;4;2;4;2;4;0;6;0;4;2;0;0;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;2;2;2;4;2;6;0;2;4;12;20;16;2;0;0;4;0;2;0;14;0;6;4;4;6;8;2;4;8;0;16;4;4;2;0;0;0;10;0;0;2;4;0;0;0;2;4;0;2;2;4;0;2;2;0;14;0;0;0;2;0;0;6;10;0;0;0;2;0;2;2;0;2;0;2;2;4;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;6;10;4;0;4;4;8;6;16;4;0;2;0;2;2;4;4;12;2;6;2;8;0;0;6;4;2;6;8;2;4;0;0;2;2;2;0;0;0;2;4;2;2;0;2;4;2;2;0;0;4;4;4;0;0;6;8;2;0;0;4;2;4;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;8;6;10;8;8;2;6;0;2;6;4;2;6;4;6;4;0;6;8;2;8;4;4;10;0;4;2;0;2;0;4;0;2;4;0;4;4;4;6;2;0;4;0;2;6;2;0;4;0;4;6;2;2;4;0;0;2;2;6;0;0;0;6;2;0;2;2;2;0;0;2;0;0;2;0;4;0;0;4
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;6;4;18;2;6;2;6;4;6;4;0;0;12;2;0;4;2;6;4;2;6;0;0;2;4;2;0;8;0;0;0;4;4;0;2;0;2;0;0;2;8;0;4;4;4;0;0;4;6;0;0;4;8;4;2;0;2;0;4;2;2;0;0;0;2;0;2;6;0;2;2;2;4;0;0;2;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;6;0;8;0;8;0;4;2;4;2;0;2;4;4;0;0;4;0;2;2;2;0;0;2;4;2;0;8;0;6;4;4;2;10;0;14;0;2;0;0;0;8;2;2;0;2;0;6;6;2;6;0;6;0;2;2;0;0;0;0;2;4;0;0;0;2;0;0;4;0;2;0;2;6;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;4;2;4;0;4;2;4;2;2;4;12;8;4;0;0;10;0;2;4;2;0;0;0;4;0;0;2;2;4;2;2;0;4;0;0;0;6;6;6;2;2;0;4;0;0;2;6;2;4;2;4;4;0;4;0;6;8;0;0;2;2;0;2;6;0;6;2;2;0;0;0;0;0;4;0
