;states;united;president;great;trump;people;federal;called;american;national;new;hillary;win;war;government;massive;administration;world;country;congress;fbi;best;working;russia;state;committee;billion;news;thank;strong;greatest;americans;big;public;despite;republican;james;game;democrats;intelligence;director;believe;fund;year;lot;air;continue;interest;support;low;campaign;investigation;final;drug;become;obama;nothing;media;scrolls;step;presidential;high;heard;reserve;british;party;network;worked;general;may;wisconsin;used;senate;left;agency;house;information;live;trying;unity;trade;fake;@foxnews;considering;team;top;china;stop;election;economy;job;life;nation;governor;elder;hard;possible;emergency;wwe;start
states;0;22;8;2;2;6;2;0;0;0;0;0;0;2;4;4;0;2;2;2;4;0;4;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;4;0;2;0;0;2;4;2;4;0;2;2;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;6;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;2;0;0
united;0;0;8;2;2;4;0;0;0;0;0;0;0;2;2;2;0;2;2;0;2;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;4;2;0;0;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0
president;0;0;0;2;10;2;0;4;0;2;2;2;2;0;2;0;0;0;0;4;2;0;4;2;2;0;2;0;2;4;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;2;2;0;0
great;0;0;0;0;2;4;2;6;2;0;0;0;2;2;0;0;0;0;4;0;0;0;2;2;4;0;0;0;0;2;2;4;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2
trump;0;0;0;0;0;0;2;2;2;2;2;4;2;2;0;4;4;0;0;2;0;2;2;4;2;2;2;2;0;2;2;4;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;2;0;4;4;0;4;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;2;0;0;0
people;0;0;0;0;0;0;4;2;4;2;2;0;0;0;4;0;0;0;4;2;0;0;4;2;0;0;0;0;2;4;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;4;0;0
called;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2
american;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;4;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0
