;trump;people;president;house;national;united;great;states;democrats;republican;watch;white;country;war;news;american;government;friend;new;man;department;men;obama;army;campaign;may;incredible;state;bill;investigating;fbi;proud;live;law;york;conference;justice;media;syria;party;russia;released;supreme;complete;election;trying;called;senate;believe;support;nuclear;federal;world;team;forward;little;wall;committee;end;english;city;2016;thursday;george;collusion;wednesday;court;stop;big;good;love;promote;#magathank;announced;weeks;washington;thousands;article;area;j;rally;decision;debate;movement;full;former;please;allegations;coverage;final;share;military;iraq;shot;administration;petition;congress;donald;job;several
trump;0;2;14;4;2;0;4;0;2;0;2;6;2;2;4;0;4;0;2;0;0;0;0;0;8;2;0;0;0;4;2;0;0;2;0;2;2;4;0;0;6;0;0;2;4;2;2;2;0;0;0;2;0;0;2;0;2;2;2;2;0;2;2;0;4;2;0;0;0;0;0;0;0;4;0;2;0;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;6;2;2
people;0;0;0;0;2;2;4;2;0;2;2;0;2;0;2;4;0;4;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2
president;0;0;0;2;4;2;4;2;2;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;2;0;0;0;0;2;4;2;0;0;4;2;2;0;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;4;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0
house;0;0;0;0;4;4;2;2;2;0;0;12;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;2;0;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;2;0;0;2;0;2;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0
national;0;0;0;0;0;2;0;2;2;4;0;4;0;0;0;2;0;2;4;0;2;0;2;2;0;2;2;2;0;2;2;2;0;0;4;2;0;0;2;0;0;6;0;0;0;2;2;0;2;2;0;0;2;2;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;0;0;4;2;4;0;4;0;0;0;0;0;0;0;0;0;2
united;0;0;0;0;0;0;0;14;2;0;2;2;4;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;4;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0
great;0;0;0;0;0;0;0;0;0;4;2;2;0;0;4;2;0;4;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;0
states;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4
