;state;utah;covid19;home;stay;spread;help;family;utahns;take;utahs;people;local;coronavirus;lives;#utpol;gatherings;work;new;health;together;slow;thank;provide;school;year;great;safe;ensure;making;morning;following;working;prepare;plan;care;future;visit;recommend;employees;continue;still;best;schools;order;march;service;@utahdepofhealth;avoid;grateful;place;individuals;learn;everyone;public;part;earthquake;good;hear;taking;session;quality;steps;nation;growth;measures;safety;monday;information;available;emergency;join;live;distancing;tonight;education;symptoms;watch;recommendations;coming;budget;social;community;call;weeks;k12;directive;air;medical;celebrate;full;jeanette;communities;women;system;food;efforts;drive;57;effective
state;0;24;8;2;0;4;6;6;6;0;4;6;4;6;2;6;2;4;4;4;2;0;4;0;4;4;6;0;0;2;4;4;0;10;2;0;2;2;2;4;2;0;4;0;4;2;4;2;2;4;2;0;2;0;2;0;4;2;0;0;2;0;0;6;6;2;4;0;2;4;6;6;2;0;2;2;0;2;0;4;2;0;6;2;2;0;0;0;0;2;2;2;0;4;0;2;6;4;4;0
utah;0;0;16;4;6;10;14;8;6;6;6;6;2;6;2;10;0;4;8;6;4;6;6;0;2;4;6;2;6;4;0;4;4;10;8;0;6;4;4;0;0;4;10;2;4;4;6;0;0;4;6;0;6;0;2;4;0;4;0;4;2;2;4;8;6;2;0;2;0;2;4;4;4;0;2;0;0;2;0;2;0;0;2;2;4;2;2;0;2;2;6;2;0;4;0;2;2;2;0;0
covid19;0;0;0;8;2;14;12;4;2;4;6;0;4;2;4;2;0;0;0;6;0;10;0;0;0;0;0;2;0;0;0;4;4;4;2;4;0;4;2;4;2;0;0;0;6;2;0;2;0;0;0;0;8;2;2;0;0;4;2;2;0;0;0;0;0;2;0;0;0;2;4;0;0;4;2;0;6;2;0;0;0;4;4;0;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;2
home;0;0;0;0;22;10;10;8;6;6;2;0;0;8;6;0;0;4;0;0;2;8;0;2;0;0;0;12;0;2;2;2;0;0;2;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;4;0;8;0;2;0;0;0;2;0;0;4;0;0;0;0
stay;0;0;0;0;0;6;4;6;4;2;2;0;0;6;6;0;0;2;0;0;0;4;0;2;0;0;0;12;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;4;0;0;4;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;4;0;8;0;0;0;0;0;2;0;2;4;0;0;0;0
spread;0;0;0;0;0;0;8;4;2;8;2;0;2;16;4;0;0;0;0;2;4;18;0;0;0;0;0;4;0;0;0;4;0;0;0;4;0;0;2;0;4;0;0;0;4;2;0;0;0;2;0;0;2;0;2;4;0;4;0;2;0;0;4;2;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;4;4;2;2;2;2;0;0;0;0;0;4;0;0;0;2;0;0;2
help;0;0;0;0;0;0;0;2;2;6;4;0;2;6;4;4;0;4;2;2;4;8;0;0;2;0;2;2;2;0;2;4;2;4;0;4;0;2;2;2;2;2;2;0;2;2;0;0;0;4;2;0;4;0;0;0;0;4;0;0;0;0;4;0;0;2;2;2;0;2;4;0;0;2;0;0;0;2;0;0;0;2;4;0;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;2;4;0;0;2;0;2;0;0;0;0;4;0;4;0;0;0;0;2;0;2;2;0;2;0;2;6;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;4;2;0;0;0;6;2;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;0;6;0;0;0;2;0;2;0;0
utahns;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;4;0;2;2;2;4;2;4;2;0;2;2;4;6;6;2;2;2;0;4;0;2;0;4;0;0;4;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;4;0;4;4;0;2;0;0;0;2;2;2;0;2;0;0;2;2;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;2;0;0;2;6;0;2;2;0;2;0;0;2;0;2;0;2;0;6;0;0;0;2;0;0;2;2;0;0;0;0;0;4;0;2;2;0;2;2;0;2;0;0;0;0;8;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4
