;missouri;covid19;state;testing;recovery;health;missourians;care;continue;director;plan;#showmestrong;missouris;across;may;social;people;working;home;work;order;public;data;economy;@healthylivingmo;businesses;thank;week;live;ppe;forward;help;new;stay;reopen;give;distancing;hospitals;positive;million;dr;safe;facebook;county;important;economic;community;capacity;briefing;st;still;3pm;update;local;federal;everyone;protect;good;reopening;support;efforts;williams;take;@missouri_ng;budget;tests;randall;food;hard;phase;families;louis;move;cases;system;another;critical;yesterday;business;medical;safety;place;governor;response;available;providers;proud;law;1;facilities;emergency;citizens;essential;workers;2020;states;throughout;show;4;news
missouri;0;190;162;66;70;62;78;56;60;20;54;48;40;80;64;48;36;44;78;50;86;34;54;34;16;56;32;20;24;24;54;42;50;74;54;26;36;42;38;36;8;22;10;30;18;24;30;12;8;26;26;16;18;26;26;18;42;44;32;40;28;8;24;4;4;16;8;18;18;18;22;20;38;28;20;18;12;22;38;14;2;28;14;16;18;14;30;22;12;2;30;30;14;24;22;24;8;20;30;26
covid19;0;0;88;92;80;66;70;54;78;66;42;58;68;50;22;48;46;48;26;32;22;44;44;42;60;18;30;38;58;20;40;36;36;20;28;40;36;42;40;26;50;14;58;12;28;38;34;20;54;22;38;46;50;12;12;20;32;40;10;18;38;44;30;36;32;20;40;12;40;12;14;14;24;42;14;26;14;22;14;16;8;6;36;56;28;12;22;16;8;14;20;12;4;20;10;14;30;16;8;26
state;0;0;0;48;38;40;60;30;46;12;34;20;20;134;36;30;28;34;32;22;40;26;40;34;18;28;28;18;20;14;24;26;30;28;30;16;22;16;12;12;8;32;14;14;8;14;22;16;4;26;6;16;20;24;22;6;8;12;22;20;26;8;12;8;26;10;6;4;14;10;12;24;14;10;6;18;18;14;16;14;10;10;14;16;12;10;26;14;14;2;18;14;8;8;14;10;24;18;18;4
testing;0;0;0;0;62;36;22;38;36;6;46;44;34;28;8;8;24;26;2;18;2;24;26;12;44;8;4;42;12;18;18;14;20;4;14;28;8;8;24;2;4;8;4;30;14;14;32;48;6;16;2;2;10;6;2;6;6;12;2;6;14;2;6;30;0;60;0;0;8;6;2;4;18;22;8;10;18;12;0;2;2;6;2;4;6;6;0;0;8;24;0;14;12;4;0;4;10;4;4;2
recovery;0;0;0;0;0;52;54;38;68;32;146;110;60;12;48;20;12;22;2;42;4;36;36;40;14;26;2;12;20;32;50;8;14;4;24;32;10;4;12;0;14;22;22;2;14;60;10;38;16;4;12;24;20;12;4;8;18;8;26;6;12;12;14;6;4;18;12;0;8;52;6;4;30;2;22;18;14;8;12;8;14;10;0;18;0;12;0;0;32;2;2;22;24;6;4;18;4;32;24;4
health;0;0;0;0;0;0;34;162;28;10;50;40;28;18;38;18;12;20;6;26;14;102;32;30;10;16;12;24;6;34;16;16;24;8;8;6;14;36;8;0;10;4;2;6;22;8;2;28;4;4;12;4;6;16;4;6;4;6;8;4;6;2;10;2;6;8;2;2;12;10;2;4;14;6;44;10;16;6;18;16;46;12;4;4;2;46;4;10;4;6;14;2;12;20;4;0;6;14;18;2
missourians;0;0;0;0;0;0;0;18;34;4;10;22;16;30;24;26;18;18;48;70;36;16;28;40;2;28;32;12;0;0;32;30;10;42;28;16;20;2;28;6;0;54;0;2;22;14;4;6;0;0;10;0;8;14;10;14;10;8;16;10;32;0;22;4;4;6;0;6;16;14;8;0;18;10;4;4;6;6;6;0;14;8;4;10;4;2;14;10;10;2;2;4;6;6;2;6;12;2;8;2
care;0;0;0;0;0;0;0;0;34;6;42;28;30;18;22;2;10;24;4;24;4;34;26;18;10;8;10;20;4;34;16;14;26;4;8;6;2;46;16;4;8;2;0;4;12;6;0;34;2;12;4;0;6;8;8;4;8;8;6;6;10;0;10;10;2;10;0;4;8;2;8;12;10;6;48;6;30;6;16;16;4;8;0;4;12;46;2;2;0;24;10;6;12;22;0;2;6;14;14;8
continue;0;0;0;0;0;0;0;0;0;10;40;26;14;28;28;46;18;24;16;24;6;18;18;10;2;12;10;14;6;16;22;8;8;14;16;14;26;28;18;2;0;14;4;2;16;10;12;12;6;4;26;8;8;10;2;24;42;14;20;8;12;0;22;6;2;12;0;4;0;12;24;4;26;14;8;14;16;4;14;6;10;4;4;6;8;20;4;8;12;6;4;6;2;6;4;10;12;2;12;6
director;0;0;0;0;0;0;0;0;0;0;26;6;20;10;8;0;0;2;0;2;0;6;6;4;80;6;2;4;86;4;0;0;4;0;4;58;0;0;8;2;96;4;84;0;2;18;4;2;60;2;0;70;60;2;0;4;4;6;0;2;4;88;2;10;6;0;84;6;4;6;0;2;4;0;0;34;0;2;2;6;4;0;32;6;2;0;0;0;0;0;2;6;0;0;0;4;0;2;0;4
