;united;states;people;great;new;president;government;state;trump;news;house;national;federal;white;american;love;man;country;year;russia;york;department;work;good;military;fake;party;city;world;media;administration;obama;thursday;article;live;security;senate;working;order;hard;police;fbi;night;big;trying;called;pay;job;democrat;americans;provide;america;youthank;team;times;california;disaster;help;billion;republican;stop;economy;democrats;saturday;signed;usa;fact;rights;post;executive;close;lot;election;congress;left;committee;powerful;believe;take;video;best;history;campaign;game;support;thing;bernie;2016;could;dangerous;win;released;week;looking;means;group;vote;continue;south;little
united;0;80;10;2;8;14;10;8;4;6;4;4;4;0;0;0;2;12;0;8;2;4;0;2;8;2;2;2;4;4;6;2;6;0;0;2;4;4;4;2;2;2;2;0;2;0;4;0;0;4;2;0;0;0;2;2;2;0;0;4;4;0;6;0;0;0;0;4;0;2;4;0;2;2;0;2;4;4;2;2;0;4;2;0;8;0;2;0;0;4;0;0;2;2;0;2;2;4;2;0
states;0;0;10;4;6;16;10;8;4;6;4;4;4;0;0;0;2;10;0;8;2;4;2;2;8;2;2;4;2;6;6;2;8;0;0;2;4;4;4;2;2;2;2;0;2;0;4;0;0;4;2;0;0;0;2;4;2;0;0;4;4;0;6;0;0;0;0;2;0;4;4;0;2;2;0;2;4;4;2;2;0;2;2;0;8;0;2;0;0;2;0;0;2;2;0;0;2;4;2;0
people;0;0;0;6;4;12;6;4;10;4;6;2;6;8;8;0;2;4;0;0;0;4;4;6;0;0;4;0;2;4;2;0;4;2;8;2;0;4;2;2;0;2;4;0;0;0;2;4;2;0;0;2;0;0;0;2;0;6;0;2;0;2;2;4;0;2;0;2;0;0;0;6;2;2;0;0;0;0;2;2;4;0;0;2;2;6;2;0;2;2;2;0;0;0;2;0;0;0;2;2
great;0;0;0;0;4;6;2;6;4;6;6;2;2;2;4;10;0;4;2;0;0;0;4;0;2;4;0;2;2;6;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;8;2;4;0;2;0;0;2;0;0;0;4;0;2;2;2;0;0;2;10;2;0;0;0;0;0;0;4;0;0;4;0;2;2;0;2;0;0;2;2;0;4;2;0;2;2;2;0;0;2;0;0;2
new;0;0;0;0;0;2;4;6;2;0;0;0;0;0;2;2;2;2;4;4;22;4;2;2;0;0;2;4;2;0;4;4;0;2;6;0;2;2;2;2;0;0;2;0;0;0;4;0;0;2;2;0;0;2;10;2;0;2;2;0;0;0;0;0;2;0;2;2;4;0;2;4;2;2;2;0;2;2;0;2;4;2;2;0;0;0;2;0;0;4;2;4;4;0;0;2;0;2;0;4
president;0;0;0;0;0;0;6;6;26;2;6;4;8;2;2;2;2;2;0;8;0;6;0;2;0;2;2;0;0;2;0;4;4;0;0;0;2;0;6;0;0;2;0;2;6;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;2;2;2;0;2;4;4;0;0;6;0;0;4;2;4;4;0;0;0;0;4;2;6;0;4;4;4;2;4;2;0;0;2;0;0;0;2;2;0;4
government;0;0;0;0;0;0;0;4;4;4;2;2;14;0;2;0;0;0;2;2;0;2;4;2;2;2;0;2;4;0;4;6;0;2;0;4;0;2;2;0;0;0;0;2;0;4;4;2;0;2;2;0;0;2;2;0;2;0;0;0;2;6;0;0;2;0;0;2;0;2;2;0;0;4;0;2;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0
state;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;8;0;2;2;0;2;6;0;2;2;0;4;6;0;0;2;4;0;0;2;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;2;0;2;0;0;2;2;2;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;4;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;4;4;2;2;0;0;0;2;2;0;4;0;0;0;0;4;2;4;0;2;2;0;4;4;0;2;0;2;0;0;2;4;0;0;2
news;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;2;0;2;0;0;0;4;0;12;0;0;0;4;2;0;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
