;great;trump;president;united;states;people;new;american;national;government;house;country;administration;news;federal;obama;state;republican;world;fbi;york;party;white;working;congress;washington;donald;article;history;fake;best;democrats;women;security;may;called;election;team;love;big;help;job;department;court;war;thank;released;j;senate;americans;story;bill;thing;forward;city;million;presidential;fight;man;good;could;russia;2016;final;order;whether;times;nfl;general;political;military;men;hillary;end;transcript;china;former;citizens;media;report;bernie;left;important;post;trying;reserve;second;america;says;health;huge;senator;committee;campaign;latest;nation;following;illegal;hes;year
great;0;30;36;28;24;36;12;24;6;4;10;22;4;12;6;4;24;22;6;2;6;8;10;8;6;8;8;2;10;6;10;0;6;6;0;2;6;6;16;14;10;24;6;4;0;8;0;8;2;6;2;8;10;8;0;0;2;4;6;6;6;4;6;0;4;4;2;4;2;0;8;10;2;0;0;0;2;2;2;2;0;4;4;8;0;4;0;8;0;0;2;4;0;0;0;0;2;4;4;2
trump;0;0;98;22;18;20;22;18;12;10;16;10;28;12;10;16;16;22;0;14;6;10;10;16;6;16;44;0;2;8;0;10;4;6;10;8;8;2;2;10;8;6;14;4;0;2;14;34;0;8;6;6;6;4;2;4;4;4;6;2;10;12;2;10;14;12;4;2;6;2;2;4;8;6;10;0;4;8;6;8;6;4;6;2;6;0;0;4;6;4;4;4;2;20;0;6;0;4;6;8
president;0;0;0;30;28;24;12;16;10;6;24;16;8;16;8;18;10;10;2;6;4;6;22;6;12;12;14;2;6;14;0;8;6;8;6;6;6;0;0;2;8;10;4;4;2;2;4;10;2;6;6;10;2;0;0;0;0;2;4;8;4;10;4;6;12;4;4;2;4;0;4;4;4;6;4;2;12;6;6;0;2;4;8;4;6;0;6;8;6;2;2;0;0;10;4;4;0;2;4;6
united;0;0;0;0;134;18;14;14;10;10;4;18;10;2;0;6;8;4;14;4;4;4;4;4;4;0;6;4;6;2;4;0;4;6;6;4;8;2;2;2;4;4;2;12;10;4;4;6;2;0;4;2;6;2;4;4;6;6;2;2;2;4;6;4;10;4;0;0;6;4;10;4;0;2;4;4;0;12;0;2;2;4;2;2;4;0;2;6;2;0;0;4;2;0;4;4;0;8;0;2
states;0;0;0;0;0;16;16;12;6;10;2;16;10;2;2;6;8;4;14;4;4;2;2;4;4;0;6;2;6;2;4;0;4;4;4;4;8;2;2;2;4;4;0;12;8;2;2;6;2;0;4;2;4;2;2;2;6;6;2;2;2;4;6;4;6;4;0;0;4;0;8;4;0;2;4;2;0;8;0;0;2;4;2;2;4;0;2;6;2;0;0;4;0;0;2;4;0;8;0;2
people;0;0;0;0;0;0;8;32;2;8;2;14;6;10;12;6;4;4;8;4;0;6;0;8;4;6;8;4;2;6;4;0;0;4;2;2;2;6;6;2;8;8;4;4;2;8;10;2;4;2;2;4;2;6;2;4;0;4;4;8;6;4;4;2;6;2;4;0;2;4;2;2;4;4;0;2;2;6;6;6;2;2;6;2;0;2;0;2;2;6;4;0;2;0;0;2;2;6;0;0
new;0;0;0;0;0;0;0;4;10;12;8;2;6;10;12;6;4;4;4;8;50;4;2;6;4;4;6;2;6;6;6;4;0;0;4;4;6;2;0;6;6;4;2;2;4;2;12;4;4;6;10;2;8;0;10;8;4;2;2;6;10;4;6;0;4;2;18;4;2;0;0;2;6;2;0;2;4;4;0;6;2;0;0;4;0;4;4;0;0;4;4;8;4;0;4;2;0;0;6;0
american;0;0;0;0;0;0;0;0;12;4;2;6;4;8;10;2;2;10;0;2;2;4;4;4;2;4;2;4;10;6;2;2;4;2;0;4;2;0;0;2;2;0;4;2;2;2;6;2;2;2;6;0;0;2;0;2;0;0;0;0;6;4;2;0;0;2;2;0;2;2;6;4;4;4;0;0;2;4;6;2;2;0;4;2;0;2;2;0;0;6;2;2;0;4;2;0;2;2;0;0
national;0;0;0;0;0;0;0;0;0;4;2;0;8;2;6;2;0;6;0;4;2;2;2;2;4;2;0;4;6;0;0;4;4;20;4;2;0;2;0;2;2;2;0;2;2;0;4;0;0;4;0;0;2;2;0;4;0;0;0;0;2;2;0;2;0;0;2;2;2;4;0;6;2;2;0;0;0;6;2;2;2;2;0;0;0;0;4;4;4;6;2;0;10;4;4;4;4;0;0;2
government;0;0;0;0;0;0;0;0;0;0;4;6;6;2;32;6;0;0;2;6;2;0;0;8;4;0;0;4;0;2;0;2;2;4;2;4;2;0;0;6;8;2;4;4;2;4;0;0;0;0;0;2;4;2;2;6;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;4;0;2;2;2;2;2;4;0;0;2;0;0;4;4;2;4;2;2;2;2;0;0;0;0
