;covid19;ontario;update;thank;people;#covid19;visit;2020;daily;help;updates;health;premier;check;businesses;support;ford;work;safe;provides;continue;province;across;please;working;workers;safety;#ontariospirit;may;ontarios;care;ontarians;stay;reopen;together;home;families;economy;everyone;great;april;frontline;week;june;million;testing;critical;action;communities;making;fight;community;announced;family;ensure;vulnerable;homes;best;protect;new;happy;local;guidelines;provide;2;longterm;food;lives;medical;incredible;centre;tested;join;tune;access;#strongertogether;learn;keeping;seniors;part;plan;proud;thanks;challenges;spoke;reopening;public;government;stage;top;women;cant;spread;service;loved;heroes;1;ones;hard;children
covid19;0;26;248;12;12;2;134;124;128;18;126;14;112;126;8;2;112;18;10;112;14;10;10;10;10;4;4;4;44;6;14;12;6;4;10;6;6;4;4;10;50;4;2;34;2;2;12;4;2;2;12;4;6;6;8;2;4;6;4;4;0;0;0;6;10;4;2;2;4;4;10;12;0;8;6;2;2;2;2;4;6;0;6;10;4;0;4;6;0;2;4;2;18;0;4;2;6;4;2;4
ontario;0;0;2;44;64;48;12;4;0;38;0;30;4;0;44;32;2;34;34;0;28;40;62;14;20;18;18;12;10;12;20;16;18;14;24;14;20;4;26;20;0;8;10;8;24;6;10;6;20;12;6;8;12;8;14;4;4;6;6;12;20;10;8;6;2;8;4;14;2;10;12;10;6;4;10;4;8;6;6;6;6;16;6;10;12;16;8;12;8;4;4;10;4;10;6;2;8;6;6;4
update;0;0;0;0;0;12;126;124;126;0;128;0;112;126;0;0;112;0;0;112;0;0;2;0;0;0;0;2;42;2;0;0;0;0;0;0;0;0;0;0;50;0;0;34;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;12;6;0;0;0;0;0;0;0;6;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
thank;0;0;0;0;36;32;0;0;2;24;0;12;4;0;10;22;0;34;22;0;10;28;32;14;44;42;4;28;4;12;18;18;14;0;12;12;8;0;14;22;4;30;16;2;8;6;10;6;16;12;12;6;2;2;4;14;4;6;4;4;4;0;0;4;2;6;10;8;10;16;2;0;12;0;14;16;6;16;4;10;0;10;2;8;8;4;0;2;2;0;16;4;4;18;6;22;2;6;20;0
people;0;0;0;0;0;32;2;2;2;36;0;10;4;0;16;26;0;18;22;0;14;24;16;8;14;18;4;8;6;12;6;18;8;2;12;12;12;10;4;28;2;8;12;2;18;6;12;8;12;8;6;12;8;6;6;14;0;8;2;8;12;2;4;2;2;4;2;18;6;6;4;0;8;0;6;6;14;2;2;2;6;12;6;6;10;6;2;10;2;4;2;10;2;6;2;4;2;2;0;4
#covid19;0;0;0;0;0;0;6;2;0;24;2;30;0;0;24;24;0;22;20;0;36;26;20;30;30;24;16;8;4;12;12;16;18;6;10;12;6;12;12;6;0;8;8;0;12;22;20;12;2;12;26;6;12;8;2;16;2;14;12;8;2;6;4;12;0;6;6;6;4;4;16;22;6;12;4;2;6;8;6;14;8;12;6;4;8;4;6;10;2;6;2;8;8;2;4;2;4;4;12;0
visit;0;0;0;0;0;0;0;124;126;4;126;4;0;126;0;2;0;10;0;0;0;2;2;2;0;0;2;0;42;2;10;0;0;0;0;0;2;0;0;0;50;0;2;34;2;4;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;6;0;4;0;0;0;14;12;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
2020;0;0;0;0;0;0;0;0;124;2;124;4;0;124;0;4;0;0;0;0;4;0;2;2;0;0;2;0;46;6;0;2;2;0;0;0;0;0;2;0;50;0;0;34;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0
daily;0;0;0;0;0;0;0;0;0;0;126;4;0;126;0;2;0;2;0;0;0;0;0;2;0;0;0;0;42;2;0;2;0;0;0;0;0;0;0;2;50;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;16;0;0;26;18;0;22;14;0;12;6;14;12;4;14;6;18;4;2;12;4;10;2;10;14;8;6;12;4;2;10;6;0;10;2;6;8;6;2;10;6;10;2;4;10;2;2;6;14;0;0;4;6;2;2;4;4;4;4;4;4;0;0;2;4;12;2;6;0;6;6;2;6;2;2;4;8;2;4;2;2;4;0;4;4;2;4;2;4
