;tennessee;state;testing;covid19;#covid19;tennesseans;health;new;visit;across;free;economic;businesses;tennessees;care;todays;group;efforts;work;live;recovery;briefing;information;order;bulletin;guidance;local;update;week;thanks;support;@tndeptofhealth;safely;home;help;states;95;business;executive;pandemic;counties;ct;test;guidelines;available;relief;safe;learn;site;working;watch;critical;continue;unifiedcommand;access;capacity;doubt;near;communities;facebook;county;program;public;tn;proud;89;rural;weekend;community;find;may;families;reopening;students;stay;#tnsots;grateful;spread;#tennesseepledge;300;full;safety;interpretation;thank;offer;reopen;tennessean;economy;protect;expanded;taking;contact;tune;social;maria;lives;workers;sites;continues;leaders
tennessee;0;78;50;72;58;24;36;36;32;54;28;36;40;6;16;16;28;22;18;4;24;16;14;22;16;10;18;10;22;22;30;12;12;20;20;12;16;36;20;18;12;0;4;16;6;28;10;22;14;16;8;4;12;10;10;6;0;12;18;0;16;24;6;4;14;10;16;4;12;4;10;20;14;22;10;16;18;12;4;4;8;6;2;8;20;16;2;14;14;4;6;6;4;4;6;18;4;4;8;8
state;0;0;42;36;48;84;32;24;14;86;30;18;14;14;6;10;12;20;40;2;16;4;4;12;4;4;26;14;26;22;16;6;12;14;20;0;10;14;6;6;0;0;16;4;4;6;14;16;16;18;0;4;16;10;2;8;18;16;14;0;14;6;10;8;22;2;6;12;18;12;2;18;6;4;4;8;16;12;6;0;4;14;0;14;18;4;14;6;4;6;6;6;0;14;18;12;4;10;8;12
testing;0;0;0;66;130;46;58;44;54;58;104;14;6;22;20;26;36;40;18;14;12;24;36;18;30;8;30;22;10;24;10;14;12;4;0;6;14;0;16;2;0;12;38;2;38;2;2;6;42;6;4;8;10;38;2;14;40;46;6;14;36;0;2;4;0;2;14;36;8;28;22;8;14;0;4;0;2;0;2;12;0;0;12;0;32;2;10;0;2;34;6;14;8;0;0;4;6;30;26;0
covid19;0;0;0;0;16;54;48;50;34;32;40;28;24;20;36;36;26;24;16;24;14;24;24;32;34;4;14;24;2;2;8;20;12;24;16;16;4;12;26;26;0;18;12;2;22;18;6;6;24;12;20;16;6;18;4;12;8;18;10;10;18;10;16;16;2;0;14;14;4;10;8;4;2;2;10;0;8;16;0;6;2;8;2;4;16;4;14;8;8;14;6;8;10;0;0;8;16;12;8;4
#covid19;0;0;0;0;0;50;58;64;56;48;76;28;16;22;22;56;36;32;20;36;26;50;40;34;58;22;32;28;16;24;18;16;10;10;12;2;12;8;32;6;0;30;36;4;24;10;8;20;26;10;12;6;18;30;6;10;38;32;6;28;28;2;4;6;0;0;12;28;2;26;20;8;24;0;12;0;4;18;2;24;0;4;28;0;22;4;4;4;2;22;4;18;12;12;2;4;6;16;24;8
tennesseans;0;0;0;0;0;0;44;26;18;50;36;16;12;2;24;12;20;36;34;8;24;8;6;12;12;14;18;16;10;16;6;10;24;18;20;32;6;8;8;12;4;6;12;12;18;4;26;8;16;18;4;14;16;10;18;16;10;12;8;6;2;6;6;4;6;6;2;14;8;12;6;8;8;0;8;8;12;16;6;6;4;2;4;8;2;12;0;10;6;6;18;8;4;14;14;8;8;18;4;6
health;0;0;0;0;0;0;0;12;42;40;52;18;16;14;52;10;8;22;12;2;4;6;18;14;10;12;38;2;12;14;4;8;10;10;16;20;20;8;8;12;6;2;18;8;18;2;2;6;20;14;4;16;8;6;14;8;14;20;2;0;42;8;16;12;0;4;12;0;8;6;10;0;0;2;2;6;2;4;6;2;0;10;0;6;30;4;10;6;8;8;10;2;0;6;4;4;28;8;2;4
new;0;0;0;0;0;0;0;0;8;16;4;22;14;16;16;12;14;16;4;4;18;10;6;36;72;16;6;14;8;2;10;6;6;8;2;8;8;0;34;4;6;4;2;10;8;10;6;0;6;4;0;8;6;10;6;8;0;6;4;4;4;4;6;2;4;8;8;16;6;6;8;6;16;2;8;2;2;4;10;4;8;4;4;2;2;8;0;4;2;16;0;14;2;6;0;0;4;6;12;2
visit;0;0;0;0;0;0;0;0;0;12;50;28;28;24;12;2;24;8;8;0;16;2;70;6;4;14;24;2;8;18;6;18;20;0;10;10;24;14;6;8;12;4;12;14;18;10;2;4;6;6;4;6;14;14;14;8;20;6;0;0;22;8;18;12;2;10;0;6;6;8;18;8;0;0;0;0;4;0;16;0;10;2;0;0;14;10;2;2;6;2;6;2;0;4;0;0;10;0;10;2
across;0;0;0;0;0;0;0;0;0;0;50;12;10;6;4;4;10;14;8;2;12;0;2;6;4;2;28;8;16;10;0;6;4;2;6;0;8;6;4;8;2;0;14;0;10;4;6;6;26;10;0;2;8;10;4;4;14;30;8;0;26;4;2;6;2;0;14;22;6;14;2;12;0;4;0;2;4;2;0;2;0;6;2;2;30;0;2;4;0;10;4;6;2;0;8;2;2;18;12;4
