;tennessee;state;testing;covid19;#covid19;tennesseans;health;new;visit;across;free;economic;businesses;tennessees;care;todays;group;efforts;work;live;recovery;briefing;information;order;bulletin;guidance;local;update;week;thanks;support;@tndeptofhealth;safely;home;help;states;95;business;executive;pandemic;counties;ct;test;guidelines;available;relief;safe;learn;site;working;watch;critical;continue;unifiedcommand;access;capacity;doubt;near;communities;facebook;county;program;public;tn;proud;89;rural;weekend;community;find;may;families;reopening;students;stay;#tnsots;grateful;spread;#tennesseepledge;300;full;safety;interpretation;thank;offer;reopen;tennessean;economy;protect;expanded;taking;contact;tune;social;maria;lives;workers;sites;continues;leaders
free;0;0;0;0;0;0;0;0;0;0;0;2;0;6;6;0;24;8;8;0;2;0;32;2;0;0;32;0;12;24;4;8;4;2;4;6;14;0;2;4;0;0;26;0;30;0;0;4;34;2;0;4;10;26;2;4;34;36;2;0;36;0;0;4;0;0;12;22;8;20;20;6;0;2;2;0;4;0;0;0;0;0;0;0;32;0;6;0;0;6;2;4;0;0;2;0;6;16;14;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;36;12;0;18;48;6;10;12;66;14;6;6;8;26;0;12;12;2;2;0;14;2;2;8;14;28;4;16;14;10;0;14;0;14;8;6;0;8;0;0;0;0;6;12;0;0;4;12;0;12;8;8;0;14;4;2;4;0;4;0;6;0;4;2;0;2;16;8;8;0;10;4;2;4;2;6;6;4;2;2;4;8;0;0;0;0;4;6
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;12;14;6;16;2;18;12;6;2;2;12;2;4;4;2;6;0;24;0;10;10;24;24;2;4;22;2;0;24;0;18;8;6;0;4;0;10;4;0;12;12;0;0;4;2;0;16;0;6;4;24;2;0;2;0;4;0;12;0;2;0;2;0;20;2;10;6;2;0;2;14;2;14;6;0;8;12;0;4;0;0;10;0;2;6
tennessees;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;8;18;8;10;4;6;4;14;4;10;8;6;4;10;12;10;2;16;0;2;2;14;0;2;8;14;2;2;14;0;4;0;2;2;6;6;10;8;14;8;12;2;0;6;4;0;2;2;0;6;14;6;2;6;6;10;6;12;4;0;0;2;0;2;2;14;4;4;2;2;6;0;4;2;4;4;6;0;0;0;2;8;2;4;10
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;18;8;2;2;10;6;6;12;4;16;2;2;16;12;2;4;2;8;10;0;0;6;10;0;2;2;0;4;2;0;2;10;8;2;22;2;14;6;6;0;0;4;2;0;6;0;6;2;0;6;0;4;0;4;2;2;0;0;4;6;0;0;2;0;6;2;6;0;0;2;0;4;6;8;0;2;0;2;8;30;6;0;12
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;16;6;48;16;74;2;12;20;10;4;26;0;2;10;0;6;6;6;2;0;2;10;4;0;40;2;2;2;8;4;0;0;4;16;0;2;4;2;10;2;0;6;34;0;2;0;4;0;0;8;2;0;0;0;0;8;0;0;0;0;4;0;28;0;2;32;2;0;2;8;4;2;6;2;0;16;2;0;2;0;0;2;2
group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;48;6;16;4;10;18;0;2;16;10;4;4;10;2;6;6;12;12;2;2;10;0;2;12;4;4;8;2;2;6;0;6;8;40;2;16;8;0;2;2;0;0;2;8;0;12;2;6;2;0;10;4;8;0;2;0;4;4;12;0;6;2;2;2;2;2;2;6;4;4;0;0;0;6;0;0;4;4;8;6
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;16;14;2;6;10;8;8;16;4;12;4;6;0;6;4;6;2;2;4;2;4;10;2;2;2;0;10;4;2;8;2;4;8;12;6;2;2;0;4;10;0;0;2;0;2;0;2;2;2;0;6;2;4;4;2;2;4;6;2;12;2;4;8;4;2;2;4;2;2;14;2;2;8;4;0;4;12;4;4;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;8;2;2;8;6;4;14;6;4;20;2;10;10;4;6;6;6;4;0;12;8;2;2;8;4;0;2;0;8;8;2;4;6;12;0;8;2;0;2;2;8;6;4;6;2;2;0;2;2;6;10;2;2;4;8;6;2;0;4;0;2;0;10;4;14;0;6;4;6;2;14;0;0;2;4;0;10
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;50;0;2;0;6;2;36;0;0;2;0;0;2;0;2;0;0;2;0;0;50;0;0;0;2;2;0;0;0;28;2;0;0;0;4;0;0;2;48;0;0;2;4;2;0;6;0;0;0;0;0;4;0;0;4;0;2;0;38;0;2;38;0;0;0;2;0;0;4;0;0;26;0;0;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;4;10;24;4;20;18;4;6;0;12;2;6;4;14;14;2;4;14;8;0;14;0;0;8;2;0;8;0;2;2;0;2;12;0;0;2;10;0;0;4;2;0;14;2;2;2;0;2;0;6;0;4;0;0;2;14;6;8;0;8;2;0;4;0;4;6;4;0;2;4;6;4;0;0;0;2;8
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;8;4;16;0;0;6;2;2;6;2;4;0;0;2;2;0;42;2;0;2;4;0;0;0;2;18;0;0;2;2;8;2;0;2;36;0;2;2;2;0;0;6;2;0;0;2;0;6;0;0;0;2;0;2;30;2;2;34;0;0;0;4;0;2;6;0;2;20;0;0;2;0;0;2;2
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;10;0;0;16;6;18;2;2;0;4;0;2;6;6;2;4;14;0;16;2;0;2;2;2;0;0;12;16;0;2;16;0;0;0;6;0;16;6;2;0;0;6;0;2;16;8;0;0;2;0;2;0;0;0;2;2;0;0;4;0;4;0;2;2;0;0;0;4;0;0;4;0;10;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;6;4;8;0;2;6;0;4;10;2;0;0;2;58;6;0;0;0;2;0;6;6;2;0;2;0;4;4;0;0;8;0;0;2;2;0;0;0;0;2;0;2;2;2;0;4;2;6;0;4;0;0;4;0;0;4;6;0;0;0;4;4;0;2;6;0;4;2;8;0;0;2;0;6;4
bulletin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;12;2;2;10;0;4;6;2;2;0;2;36;0;0;0;0;2;0;10;4;0;0;0;0;0;2;6;0;8;0;0;4;0;0;2;2;0;0;0;6;8;0;0;4;2;12;0;8;0;0;0;2;0;0;0;0;0;0;2;0;0;0;12;0;4;0;2;0;0;0;0;8;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;0;2;10;0;2;10;18;8;6;4;16;4;2;12;0;0;8;2;0;0;0;0;8;0;18;10;0;0;2;6;0;0;2;0;0;18;2;4;0;4;10;0;6;2;2;0;0;4;22;4;14;6;6;2;0;10;2;6;8;4;2;4;2;8;0;0;0;2;4;4
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;10;6;8;0;0;6;4;10;0;0;6;0;0;16;0;16;0;6;2;6;10;0;8;0;2;0;2;14;10;2;0;24;0;0;2;0;0;4;2;8;4;4;2;0;2;0;0;4;4;0;2;0;6;2;2;14;0;2;0;0;0;0;2;2;0;6;0;4;4;0;14
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;2;2;2;0;2;8;2;0;24;0;0;0;4;2;0;0;2;14;2;0;2;0;0;0;0;2;24;2;0;2;4;2;0;6;8;0;0;2;2;10;0;0;2;0;4;0;22;0;2;18;2;0;0;2;2;0;8;2;0;16;0;4;0;0;0;4;4
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;2;0;2;0;14;4;0;6;6;0;2;6;2;4;6;2;2;2;2;0;0;2;2;8;4;4;4;0;8;4;0;4;2;6;2;2;4;2;0;6;6;10;0;4;2;2;6;0;6;2;0;2;12;0;0;2;2;0;2;0;0;4;8;0;0;0;0;4
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;2;0;4;2;2;0;4;2;0;2;2;0;0;4;2;4;8;0;8;8;10;4;4;6;0;2;0;0;2;0;6;4;0;0;4;4;0;10;8;2;4;2;2;2;4;0;0;0;0;0;2;4;2;2;2;0;2;2;2;0;2;2;6;8;4;10;6
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;2;10;2;6;2;2;0;0;0;10;0;4;0;2;0;6;4;4;2;2;0;0;8;2;0;10;0;2;6;0;8;0;4;0;2;10;2;8;0;4;6;2;0;2;0;4;2;4;2;0;2;4;0;0;2;0;0;0;6;0;2;0;4;4
@tndeptofhealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;2;0;0;0;2;4;6;0;8;0;0;4;0;6;4;2;2;6;0;0;2;2;0;0;2;0;18;0;0;0;0;4;2;4;2;2;0;0;16;0;4;10;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;2;4;0;0
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;24;8;4;2;24;0;4;22;6;0;2;0;2;0;4;4;4;0;6;14;2;0;0;0;0;0;0;0;0;24;0;2;0;0;2;0;8;0;4;0;2;0;16;0;14;2;0;0;0;20;4;10;10;2;10;8;2;8;0;0;0;8;0;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;8;0;0;0;2;0;0;0;4;2;2;4;2;2;0;2;4;0;2;2;2;2;0;0;0;2;0;0;2;0;2;0;2;2;0;20;0;6;6;0;0;2;4;0;4;0;0;8;0;4;0;0;6;0;2;0;18;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;2;4;0;0;4;6;2;4;6;14;0;10;0;12;2;2;2;2;4;0;2;0;0;0;4;8;0;2;2;0;8;2;2;2;0;2;4;0;2;12;6;0;4;2;0;0;0;4;4;8;4;0;2;2;0;6;4;2;8;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;4;8;2;2;8;2;2;8;4;2;2;4;4;0;2;12;0;2;0;2;0;2;8;6;2;2;10;0;2;0;0;2;0;2;0;0;0;4;2;8;2;4;2;0;0;0;2;4;10;2;4;0;2;0;0;0;2;0;2;0;2
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;44;0;2;26;2;0;6;2;4;0;0;0;0;0;12;20;4;4;0;0;14;2;0;0;0;44;0;0;0;2;4;0;10;2;0;2;0;0;22;0;16;2;0;0;12;10;0;4;4;0;2;8;0;4;0;0;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;6;0;22;2;12;0;4;0;0;0;0;4;8;0;0;0;0;0;22;4;0;2;8;0;0;6;0;0;0;2;2;0;0;0;0;10;0;4;2;0;0;0;4;0;8;4;0;2;2;0;0;0;0;0;0;0;4
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;6;4;2;0;0;0;2;2;0;0;6;0;0;2;2;0;0;0;0;2;0;2;2;0;0;4;2;6;0;2;0;0;4;0;0;2;0;0;0;0;4;0;0;0;6;0;4;2;8;0;0;2;0;6;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;4;2;10;2;0;2;2;0;0;2;0;2;2;2;10;0;0;0;2;4;2;0;2;0;2;2;0;8;2;0;0;2;2;0;8;0;0;4;2;8;0;2;0;0;2;0;2;2;2;0;8
counties;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;4;0;0;0;0;0;0;0;12;18;0;0;4;0;0;4;0;2;2;40;4;0;0;0;8;0;10;8;0;4;0;0;18;0;14;2;0;0;0;8;0;4;4;0;4;6;0;4;0;0;0;0;2;0
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;8;0;0;0;0;2;0;0;0;38;0;0;6;0;0;0;4;0;0;0;0;0;4;0;0;0;0;2;0;36;0;2;34;0;0;0;0;0;0;4;0;0;24;0;0;0;0;0;0;0
test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;10;8;0;0;4;0;2;0;2;38;16;0;0;12;0;0;2;0;0;0;10;0;12;4;0;2;0;0;0;0;4;0;0;0;0;0;0;6;0;6;0;0;6;0;2;0;4;0;0;0;8;2;0
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;2;0;2;0;18;14;0;0;2;0;2;0;0;0;0;26;0;0;0;0;4;0;12;2;0;0;0;4;20;0;24;8;0;0;0;16;0;6;10;0;4;10;0;4;0;0;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;4;0;2;12;12;0;0;14;0;4;2;0;0;0;8;2;10;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;6;4;0;0;0;0;0;12;4;0
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;0;0;0;4;0;0;4;2;0;22;0;0;2;0;4;0;2;0;0;2;2;0;2;0;0;4;0;2;0;0;2;0;2;2;4;6;0;0;2;0;2;0;0;0;0;0;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;2;6;2;0;0;4;2;0;6;0;0;0;2;0;0;6;0;0;0;0;2;4;8;0;2;2;0;4;6;0;8;0;0;2;0;4;6;6;2;2;4;2;0;0;2;2;0;0;2;2
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;0;0;0;2;4;0;6;4;0;0;0;4;6;0;0;2;0;0;4;6;0;4;0;4;4;0;0;6;4;0;2;4;0;0;2;0;2;4;0;0;2;4;0;4;0;0;0;0;0;0
site;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;12;36;0;0;14;0;0;0;0;0;10;12;4;24;6;2;2;4;2;0;0;0;0;0;0;0;0;0;14;0;0;0;0;6;4;8;0;0;2;0;4;6;8;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;2;0;0;0;6;2;2;0;2;0;8;0;0;6;2;0;4;0;0;6;0;0;0;2;0;2;0;0;6;6;0;2;0;0;0;0;2;2;4;0;0;4
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;4;4;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;4;2;0;0;0;0;4;0;2;2;0;2;0;2;0;0;2;0;0;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;2;0;2;0;6;2;0;2;2;2;0;0;0;0;2;0;2;0;4;0;0;0;0;0;6;0;2;4;4;0;4;0;0;2;0;0;0;14;2;0;6
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;4;0;6;0;0;0;0;4;0;0;0;0;0;4;8;4;4;0;2;2;0;4;0;0;0;6;0;0;0;6;4;4;2;0;0;0;0;4;6;2;2;0;0;4
unifiedcommand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;2;0;0;0;0;4;0;0;2;10;0;2;10;4;0;0;0;0;6;0;0;0;0;4;0;0;2;0;2;0;0;8;0;2;0;0;0;0;6;8;8;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;2;2;0;0;12;0;0;0;4;4;2;2;4;2;4;0;2;12;0;8;6;0;0;2;6;0;4;4;0;6;2;0;2;0;0;0;0;0;4
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;20;0;2;0;0;0;0;6;0;0;0;0;2;12;2;4;0;2;0;0;6;4;2;4;2;2;4;2;4;0;0;0;2;0;2
doubt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;14;0;0;4;0;0;0;14;0;10;6;0;2;0;0;0;0;4;0;0;0;0;0;0;4;0;6;0;0;6;0;2;0;4;0;0;0;4;6;0
near;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;8;14;0;32;2;0;2;0;2;0;0;0;0;0;0;0;0;0;16;0;2;0;0;4;0;10;0;0;0;0;0;6;6;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;10;0;10;0;0;0;2;6;2;4;0;6;0;4;0;0;0;4;0;4;2;0;4;2;4;0;4;0;0;0;4;6;0;0;0;2
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;30;0;2;36;0;0;0;0;0;0;4;0;0;18;0;0;0;0;0;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;12;0;2;4;4;0;0;0;0;0;0;2;0;0;0;4;0;2;24;0;0;0;0;2;0;2;0;0;0;0;0;6;2;2
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;4;0;0;0;0;0;2;0;0;2;0;2;0;6;0;2;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;0
tn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;4;0;6;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;6;4;6;0;2;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;2;0;0;4;0;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4
