;#covid19;south;live;update;watch;dakota;todays;dakotans;thank;people;state;help;ct;together;fight;plan;tune;situation;work;great;spread;smithfield;normal;good;another;@sddoh;health;social;app;cut;public;14;34;may;god;24;week;money;continue;@sanfordhealth;details;responsibility;soon;folks;theres;data;difficult;theyve;hope;questions;working;healthcare;national;sd;plant;dakotas;county;@averahealth;positives;@_monumenthealth;seattle;business;personal;hard;thanks;join;distancing;feel;easter;team;budget;lost;jewish;download;additional;communities;projected;tax;curve;#doyourpart;taking;townhall;@vp;cdc;peak;#prayforsd;care;community;april;sioux;answer;assistance;keeping;available;especially;give;exercise;congress;offense;prayers
#covid19;0;44;68;64;62;32;50;16;6;4;6;4;26;8;8;4;20;4;4;0;6;0;2;6;10;2;2;0;0;2;6;8;0;0;0;0;0;6;2;6;2;2;2;4;2;2;0;2;0;4;0;0;2;4;0;2;0;4;0;4;0;0;0;4;2;4;0;0;0;0;2;6;0;0;2;0;2;2;0;0;4;6;0;0;2;0;0;0;0;2;2;2;4;0;4;6;0;2;6;2
south;0;0;12;4;6;56;4;42;8;18;14;8;2;20;10;6;4;6;8;10;6;4;4;6;2;2;6;4;2;6;8;8;6;0;4;8;6;6;6;4;2;6;2;6;2;6;2;6;2;4;2;2;4;6;0;8;0;2;0;2;0;6;6;6;2;2;4;0;4;0;6;6;4;2;2;6;4;4;4;2;4;6;0;0;4;2;2;4;4;4;4;2;2;2;4;0;4;2;4;4
live;0;0;0;58;56;12;50;6;2;0;0;0;22;2;0;4;20;2;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
update;0;0;0;0;60;4;48;2;0;0;0;0;24;0;0;2;16;0;0;0;0;0;2;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
watch;0;0;0;0;0;6;48;2;0;0;0;0;22;0;0;2;16;0;0;0;0;0;2;0;8;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
dakota;0;0;0;0;0;0;2;10;6;10;8;6;2;12;2;2;4;4;6;6;2;0;0;2;0;2;2;2;0;2;6;2;2;0;2;0;0;2;2;4;2;2;2;4;0;2;2;0;2;4;0;0;2;4;0;0;0;2;0;2;0;4;2;6;0;0;2;0;2;0;4;2;2;0;2;2;2;4;0;0;4;6;0;0;2;2;0;0;2;4;2;2;2;2;4;0;0;0;4;2
todays;0;0;0;0;0;0;0;2;0;2;0;0;16;0;0;6;16;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
dakotans;0;0;0;0;0;0;0;0;4;6;6;2;0;12;6;4;2;6;2;4;4;2;4;4;2;0;2;2;2;6;4;6;4;0;2;4;2;0;4;0;0;4;2;2;2;2;2;6;0;4;0;0;4;2;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;0;0;2;2;2;0;4;4;0;6;2;2;4;0;0;4;2;2;2;4;0;2;0;0;0;0;0;4;0;0;4
thank;0;0;0;0;0;0;0;0;0;2;4;0;0;2;4;0;0;4;6;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;2;0;0;4;8;2;0;2;4;0;0;4;2;0;4;2;0;4;2;2;4;2;0;2;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
