;help;continue;vermonters;work;vermont;state;health;@healthvermont;covid19;act;nation;take;economic;working;pandemic;safe;spread;equity;guidance;public;week;important;hate;team;together;country;community;protect;takes;force;schools;recovery;includes;provide;close;kids;racism;states;critical;play;enough;means;sports;months;fact;relief;support;new;systems;racial;testing;police;data;reminder;package;protests;risk;result;change;equal;task;gap;businesses;social;funding;lives;law;part;still;people;cases;guidelines;without;federal;across;possible;expect;vaccine;approach;family;tools;methodical;crisis;rates;weeks;response;25;care;systemic;efforts;virus;great;proposal;safety;stay;another;good;wearing;15;bridge
help;0;6;6;4;0;2;2;8;2;4;0;0;6;4;10;0;6;0;6;0;2;2;0;2;8;2;2;8;4;0;0;6;0;6;0;0;0;4;2;0;0;2;0;4;0;4;6;2;4;0;0;0;0;0;4;2;2;6;0;0;0;0;4;0;4;2;0;2;4;0;0;2;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;0;0;2;2;2;4;2;0;4;0;6;0;0
continue;0;0;4;6;4;2;4;6;6;2;4;2;2;4;12;12;6;2;4;2;2;2;2;2;4;0;0;6;6;2;2;0;0;0;2;2;4;0;2;0;0;2;0;2;8;0;0;4;2;2;0;0;6;0;0;0;2;0;0;0;2;6;2;4;0;0;0;0;8;2;0;2;2;0;0;2;0;4;4;0;2;2;0;4;0;4;0;2;2;0;0;0;0;2;4;4;4;4;0;6
vermonters;0;0;0;0;4;6;4;0;4;4;0;0;6;4;8;4;4;0;2;4;0;4;4;0;0;0;0;6;0;0;2;4;2;2;0;2;2;0;2;0;0;0;2;4;0;0;2;0;2;2;0;0;0;2;4;0;0;4;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;2;0;2;4;2;2;2;2;0;2;4;0;2;0;2;2
work;0;0;0;0;4;2;2;8;2;2;6;8;0;0;2;0;0;0;2;2;6;2;0;6;6;4;0;0;2;0;4;0;0;2;2;4;0;0;4;4;4;4;0;0;0;2;0;2;0;0;4;0;2;2;2;2;0;2;4;4;0;4;0;2;2;0;0;2;0;2;6;0;2;0;2;4;0;4;2;0;0;4;2;0;0;4;2;0;2;4;0;4;0;2;0;0;0;0;0;4
vermont;0;0;0;0;0;14;2;4;6;2;4;4;2;2;0;2;2;4;2;0;6;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;4;0;0;4;2;0;2;0;2;2;0;4;4;4;0;2;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;6;2;2;0;0;0;2;2;2;0;0;0
state;0;0;0;0;0;0;4;4;6;2;6;2;2;0;2;0;0;6;2;4;2;4;6;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;2;2;0;0;4;0;4;0;6;2;0;2;0;2;2;2;0;2;0;0;4;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
health;0;0;0;0;0;0;0;2;8;6;6;0;4;4;4;2;4;2;4;8;0;2;6;0;2;0;0;4;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;2;6;2;0;0;0;4;0;2;6;0;2;2;8;2;0;2;2;2;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;2;6;0;0;2;0;0;0;0;2;0;0;8;0;0;0;2;0;2
@healthvermont;0;0;0;0;0;0;0;0;4;0;2;4;0;8;4;0;4;0;10;0;4;0;0;8;8;0;2;4;4;0;2;0;0;0;0;2;0;0;4;0;0;6;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;6;6;0;0;2;0;4;0;2;0;0;4;0;0;0;0;2;0;0;4;0;6;0;2;0;6;2;6;2;0
covid19;0;0;0;0;0;0;0;0;0;4;8;2;2;0;2;2;0;2;0;0;4;0;6;4;2;0;0;2;0;4;0;0;0;0;2;2;0;0;0;0;2;0;0;2;8;0;0;0;0;2;2;0;2;2;0;0;6;2;0;0;4;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0
act;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;2;6;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;4;0;2;2;0;2;0;0;4;0;0;2;0;4;0;0;0;0;0;6;0;2;0;0;0;2;0;0;4;0;2;0;0;0;2;2;0;0;6;2;2;0;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;6;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;0;0;0;2;0;0;0;2;0;0;6;0;0;4;2;0;0;0;0;0;0;2;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;4;4;0;2;0;0;0;0;0;0;0;0;4;0;4;0;4;6;2;6;0;0;2;0;0;2;0;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;2;2;0;2;6;0;0;0;0;2;0;0;4;2;4;0;0;2;0;2;0;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;8;4;2;0;2;2;2;4;0;0;0;0;2;0;6;2;0;4;0;0;0;0;0;6;0;0;4;0;2;0;2;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;0;4;2;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;10;2;0;0;0;0;6;0;2;4;4;2;4;2;2;2;0;6;0;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;2;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;4;2;0;2;0;0;4;0;0;12;6;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;2;0;2;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;4;2;0;0;2;2;0;0;2;0;0;2;2;4;2;4;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;4;6;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;4;0;0;8;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;8;0;0;0;2;4;2;4;0;0
equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;8;0;0;0;6;0;0;2;0;2;0;8;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;4;4;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;4;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;6;0;0;2;0;2;4;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;2;2;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0
hate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0;0;4;0;0;0;0;6;0;0;0;0;4;0;0;0;2;0;0;6;0;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;6;2;0;6;0;2;2;2;0;2;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;2;4;0;0;0;2;4;0;0;0;0;2;0;0;4;0;6;2;0;0;0;0;0;2;0
