;#covid19;arizona;thank;health;#aztogether;arizonans;state;care;public;testing;support;continue;work;grateful;1;arizonas;protect;businesses;across;help;guidance;safety;@azdhs;#returnstronger;working;safe;resources;medical;workers;az;@aznationalguard;continued;leaders;spread;discuss;2;provide;call;available;home;professionals;stay;3;efforts;responders;new;ensure;local;families;kids;#thearizonaway;together;information;details;relief;economy;law;communities;@azcommerce;emergency;antibody;@drcarachrist;nation;latest;take;@uarizona;partnership;may;food;enforcement;#aztestingblitz;access;president;4;tests;coronavirus;forward;week;officials;healthy;additional;fund;people;million;employees;5;22;business;frontline;continues;partners;sites;fellow;students;@arizona_dps;schools;contain;joining;ppe;@uarizonapres
#covid19;0;218;128;142;212;106;76;84;56;82;76;58;66;44;52;70;42;50;58;74;18;28;62;26;36;22;48;38;56;38;30;40;20;72;64;8;38;46;46;22;42;14;18;46;42;28;28;12;20;18;44;12;38;36;32;16;8;22;36;26;38;32;22;44;20;40;18;14;8;8;38;32;16;14;26;20;8;10;12;24;18;18;6;22;12;4;14;20;24;12;24;28;18;20;0;16;28;26;12;32
arizona;0;0;94;118;88;48;60;68;70;52;64;52;48;84;62;20;54;40;44;56;32;34;30;48;28;34;30;36;38;26;18;32;22;36;16;28;34;18;20;16;30;12;14;18;30;34;26;22;34;28;26;24;26;20;30;32;10;24;22;28;32;14;18;10;18;28;12;8;12;6;8;24;26;8;28;24;20;12;14;18;18;20;12;16;22;10;10;10;22;20;16;10;8;16;8;20;14;10;12;24
thank;0;0;0;58;110;52;40;24;28;10;62;16;66;34;20;40;28;4;16;26;10;24;4;32;32;20;10;34;20;38;26;26;22;6;18;0;14;16;6;10;32;10;0;16;16;8;10;6;12;8;32;20;0;4;28;14;16;14;2;12;4;8;14;4;2;8;16;4;6;16;6;2;10;0;2;26;6;4;10;14;2;24;6;12;2;6;8;8;6;4;12;2;6;10;6;6;2;0;10;6
health;0;0;0;0;46;50;40;114;140;40;32;50;34;40;40;32;52;38;22;26;64;68;26;44;34;18;10;18;38;18;6;38;32;32;12;16;24;16;12;8;36;8;8;18;34;18;14;8;8;8;12;18;10;10;10;30;6;8;2;26;32;14;4;4;10;34;20;12;4;2;12;12;10;8;22;8;14;12;30;6;8;6;4;8;10;14;4;12;8;12;18;4;6;10;0;2;12;8;6;34
#aztogether;0;0;0;0;0;56;16;28;10;4;56;12;28;22;6;22;10;26;8;54;0;2;2;12;14;6;38;38;26;32;22;2;2;12;6;0;16;4;12;12;34;10;2;10;22;8;16;2;14;12;48;8;22;16;28;4;4;12;34;20;8;0;12;4;2;12;0;0;4;4;0;22;8;0;4;26;0;4;0;16;4;22;2;12;10;2;4;2;12;0;6;0;2;12;0;8;0;2;2;10
arizonans;0;0;0;0;0;0;34;20;30;20;34;38;42;30;14;16;12;6;22;30;16;26;12;22;16;18;14;8;4;8;6;10;4;16;8;8;6;10;28;16;14;12;8;16;6;10;12;2;6;0;8;10;6;16;10;2;4;6;12;6;2;0;8;4;10;4;10;6;8;4;16;12;4;4;2;6;8;2;8;6;2;6;6;8;2;10;8;2;4;6;18;6;8;0;4;0;4;0;2;2
state;0;0;0;0;0;0;0;24;22;40;24;14;24;18;16;16;14;10;74;10;8;14;28;6;18;12;8;8;22;0;10;8;24;4;8;6;22;12;20;2;4;2;12;2;22;6;8;14;4;4;8;8;8;18;4;6;14;10;2;12;16;6;4;0;0;14;2;8;0;12;22;8;2;6;12;0;2;12;6;0;2;0;8;2;4;2;2;8;12;8;14;20;4;2;18;0;4;0;0;14
care;0;0;0;0;0;0;0;0;18;38;20;24;14;10;12;10;16;4;10;14;8;4;14;0;22;6;10;8;42;8;6;6;8;10;0;12;18;0;12;2;30;0;8;4;34;18;6;0;10;6;10;6;8;6;8;0;6;0;2;6;32;0;2;0;6;28;8;6;8;4;14;16;6;12;26;6;0;10;4;0;14;8;2;10;2;14;2;4;8;8;16;4;0;0;2;0;4;2;10;26
public;0;0;0;0;0;0;0;0;0;10;10;48;28;26;26;26;40;22;18;10;52;44;10;34;14;16;2;8;8;18;6;24;20;22;10;8;6;18;4;6;8;8;4;14;6;6;12;8;4;4;2;12;4;2;8;28;8;4;0;6;6;12;2;6;6;8;12;2;2;4;0;2;4;6;2;6;16;6;30;6;2;4;2;0;6;4;4;8;4;12;4;0;6;6;8;4;6;4;4;8
testing;0;0;0;0;0;0;0;0;0;0;8;14;6;2;12;20;10;2;28;4;8;4;38;2;8;8;2;6;12;6;6;18;6;16;20;10;16;20;34;2;2;0;10;16;14;6;2;0;0;0;2;0;10;22;0;6;0;0;0;2;38;4;2;12;4;24;8;18;2;0;28;4;6;6;20;0;2;2;2;2;8;2;0;2;0;4;2;2;4;12;12;26;12;2;0;0;8;0;16;16
