;tennessee;state;tennesseans;covid19;#tnsots;#covid19;across;health;update;watch;new;students;efforts;safe;communities;@tnpromise;week;proud;great;work;live;support;year;working;maria;address;give;tn;thank;thanks;executive;@tndeptofhealth;order;todays;bulletin;nation;recovery;school;spread;learn;morning;families;local;care;taking;join;response;volunteer;media;briefing;strong;officials;economic;grateful;help;visit;prayers;capitol;community;tonight;home;public;national;special;pandemic;grant;tennessees;states;rural;fight;education;emergency;businesses;partnership;program;stay;programs;unified;vulnerable;counties;life;together;healthy;honor;command;teachers;provide;important;future;expand;partners;information;workforce;business;steps;investment;leadership;additional;coordinated;federal
tennessee;0;44;12;20;16;10;18;8;4;2;8;16;8;4;8;10;8;2;10;10;0;12;10;6;6;6;10;2;4;12;6;4;6;4;2;6;8;10;8;8;10;4;6;4;2;8;2;4;6;6;4;2;8;8;6;6;6;10;6;12;6;0;4;6;6;4;0;2;4;8;6;6;8;2;4;0;6;2;4;4;4;4;2;4;2;6;0;6;2;2;2;4;6;4;0;6;4;2;4;6
state;0;0;30;4;8;2;30;0;10;0;6;4;8;8;10;6;14;14;10;12;0;8;10;10;10;4;6;4;8;12;2;2;2;0;0;10;8;0;4;4;12;10;8;0;0;4;4;14;0;0;8;6;4;6;4;0;8;14;8;6;2;2;0;4;0;2;4;0;0;0;6;8;0;0;2;0;4;0;0;0;2;4;4;4;0;0;2;0;4;0;4;0;4;6;0;4;8;4;2;6
tennesseans;0;0;0;10;8;10;16;12;14;2;8;0;16;16;4;6;4;6;4;6;2;6;4;14;6;0;0;0;6;4;2;4;4;2;6;2;12;0;8;6;6;6;8;4;8;2;4;4;0;0;2;8;0;4;6;0;4;4;4;0;4;4;2;2;0;0;0;6;2;2;0;4;0;2;0;2;0;0;4;0;0;8;10;2;0;0;6;4;4;0;6;0;0;2;6;0;2;4;6;6
covid19;0;0;0;0;0;4;0;10;12;14;10;0;6;6;4;0;2;0;2;6;10;2;0;4;0;2;0;4;0;0;8;6;8;10;8;0;4;2;8;2;4;0;4;4;2;2;6;0;4;4;2;0;6;2;2;6;0;0;0;0;4;4;2;2;10;0;2;4;0;12;0;0;6;0;0;2;0;10;4;0;0;4;2;0;8;0;2;0;0;2;4;6;0;2;2;0;0;0;4;4
#tnsots;0;0;0;0;0;0;2;6;2;0;2;6;2;2;6;26;4;0;8;2;4;4;10;0;2;12;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;4;10;4;0;2;0;0;2;0;2;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;4;4;0;2;0;0;10;4;4;4;0;0;0;0;0;6;4;0;2;0;0
#covid19;0;0;0;0;0;0;2;6;4;6;12;0;2;2;0;0;0;0;0;0;6;2;0;2;0;2;0;2;0;0;10;2;8;8;14;2;4;2;6;2;0;0;2;4;2;0;6;0;8;8;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;4;4;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;2
across;0;0;0;0;0;0;0;0;4;0;0;4;6;4;6;2;4;2;4;2;0;0;2;6;4;0;4;4;2;2;2;0;2;0;0;4;6;0;2;2;2;8;4;0;0;4;2;0;0;0;4;6;2;0;6;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;6;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;2
health;0;0;0;0;0;0;0;0;2;4;2;2;4;2;2;6;0;0;0;2;2;4;2;4;0;4;0;4;0;0;4;4;6;2;2;2;0;0;4;2;0;0;2;8;4;0;4;0;4;4;0;8;6;0;0;2;0;0;0;0;4;8;0;0;6;0;0;6;0;4;0;0;2;0;2;0;0;4;2;2;0;0;2;0;4;2;4;2;0;2;0;2;0;0;4;0;0;2;2;0
update;0;0;0;0;0;0;0;0;0;12;0;0;10;2;2;0;6;2;4;4;10;0;2;2;4;0;4;4;2;0;0;0;0;8;0;0;10;0;4;0;4;0;2;0;2;0;2;0;0;0;0;6;0;0;2;2;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;2;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;18;0;0;2;0;0;0;2;0;0;0;4;0;10;0;0;0;0;2;0;0;0;0;0;0;0;2;0;12;12;0;4;0;2;0;0;0;0;0;0;2;4;0;2;0;0;2;4;0;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;0;0;0;2;2;2;0;0;2;0;2;0;6;2;6;0;16;2;2;2;2;0;2;0;2;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;4;0;2;2;4;0;0;2;0;2;0;4;2;0;2;0;2;4;0;4;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2
students;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;2;2;2;8;0;4;6;0;0;0;12;4;0;4;0;0;0;0;0;2;0;10;0;4;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;8;0;0;2;0;8;2;0;4;8;0;8;0;0;8;0;0;0;0;0;6;2;0;0;8;0;0;6;2;2;0;0;2;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;0;0;4;2;2;2;4;0;0;4;0;2;2;2;0;2;0;2;0;10;4;2;4;2;0;4;2;2;0;2;0;0;0;2;6;0;0;4;2;2;0;0;2;0;2;0;0;0;0;0;4;0;2;2;2;0;0;0;2;0;0;0;0;0;4;2;0;0;2;2;0;0;2;2;0;2;2;2;0;0;0;6;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;8;0;0;0;0;2;4;0;0;0;2;2;0;0;0;2;6;0;4;4;0;2;2;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;6;0;2;0;0;2;0;0;4;0;0;0;4;0;0;0;4;2
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;0;4;2;0;4;0;2;0;2;4;2;2;2;0;2;0;0;4;0;2;2;0;0;6;0;0;4;0;2;2;0;0;6;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;6;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0
@tnpromise;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;8;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;8;0;0;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;4;4;0;2;0;0;8;4;2;0;0;0;0;0;0;6;2;0;2;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;4;2;0;8;4;6;4;2;2;0;0;0;0;0;2;6;0;0;0;2;2;2;0;2;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;2;2;0;0;4;2;2;2;2;0;2;0;0;6;0;0;0;0;0;4;0;0;0;0;0;4;0;0;4;0;0;2;0;2;0;2;0;2;2;2;2;4;0;2;4;0;4;0;4;0;2;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;6;0;0;2;2;0;0;0;4;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;4;6;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;2
